T,P,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_carbon monoxide,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_carbon monoxide,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4617884453,0.97,0.018294,0.008095,0.000869,0.002742,0.02778714337947967,0.00015393277807138983,0.9921493196660989,2.292876319070984e-05,9.016507119125524e-05,4.613207358925288e-06,0.00773297329216031,0.9653472002798543,0.022132114958786007,0.009776536691782875,0.001050577524164485,0.0016935705454122483,0.027568995399415097,6.371248302943901e-07,2.5054297610124015e-06,1.281878543217277e-07,0.00021487723761894544,0.00014859857634251633,3.4068579402012934e-06,1.5049294528830129e-06,1.6171831687400187e-07,2.6069601891518623e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,19.995985745217084,-0.012345142569724743
200.0,4.1336162569,0.97,0.018294,0.008095,0.000869,0.002742,0.027784339914868776,0.00025660725057505073,0.9948723068289707,0.000502009741204606,0.0016364667905972622,9.306686692874992e-05,0.0028961497722987404,0.5903533180451838,0.28986792812702084,0.10667695784191424,0.01271271202136285,0.00038908396451825685,0.027641870344825747,1.394800929020408e-05,4.546814956934871e-05,2.585801465560247e-06,8.046760971791801e-05,0.0001514889418114331,7.438221206656123e-05,2.737408085152421e-05,3.2621740791543167e-06,9.984176637787048e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,19.743819996648185,-0.03833989078026434
200.0,5.8054440686,0.97,0.018294,0.008095,0.000869,0.002742,0.027789567006239444,0.0003593722444477823,0.9931339361297532,0.0010268522115526968,0.002817139082639269,0.00017500491602614915,0.002847067660028636,0.42762680114715246,0.4231208365814377,0.13183400804401918,0.017139656734412916,0.00027869749297771286,0.027598762064248102,2.8535778338448828e-05,7.828707530289988e-05,4.863310840329979e-06,7.911877750966312e-05,0.00015367720331427764,0.00015205788471489456,4.7377483365326156e-05,6.159516909710516e-06,1.0015614357337071e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,19.56305478878967,-0.05628199714628934
200.0,7.4772718803,0.97,0.018294,0.008095,0.000869,0.002742,0.02779544599561575,0.00046215497777101877,0.9916178600289588,0.001584222825228266,0.003720994425289795,0.0002487368231081057,0.002828185897415018,0.3372870703164101,0.507356842318672,0.1361136789034612,0.019022902897900425,0.00021950556355638062,0.027562460676722984,4.403417998365408e-05,0.00010342669959812978,6.9137509338223805e-06,7.86106883771612e-05,0.00015587889848453254,0.00023447749018376012,6.29056142479607e-05,8.791529265919419e-06,1.0144558884601403e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,19.39383126563483,-0.06364830576935532
200.0,9.1490996919,0.97,0.018294,0.008095,0.000869,0.002742,0.02780179845676389,0.0005649192561897785,0.9902798991209361,0.0021654579005794413,0.004423164311060836,0.00031426321400883735,0.002817215453414796,0.279834600800931,0.5671804431802842,0.1330548890476686,0.019747798808163256,0.00018226816295301162,0.02753156217114474,6.020362411851668e-05,0.00012297192271726426,8.737082538248554e-06,7.832365624511885e-05,0.00015808395454062552,0.000320411154086795,7.516526895322245e-05,1.115591181409298e-05,1.0296679504249266e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,19.23320486022356,-0.06329590459575485
200.0,10.8209275036,0.97,0.018294,0.008095,0.000869,0.002742,0.0278085068024637,0.0006676503575304243,0.9890761139993892,0.0027641212878210066,0.004977994937152594,0.0003722022195895961,0.002809567556047743,0.24008214300552383,0.6125206747483718,0.1273623547551339,0.019878195019928473,0.00015663247104196753,0.027504729844306377,7.686608563520519e-05,0.00013843060607243775,1.035038795534937e-05,7.812987849433497e-05,0.00016029092861430844,0.00040894964749052715,8.50335216881819e-05,1.3271684012114745e-05,1.0457572529204345e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,19.07912849481699,-0.057269262321035797
200.0,12.4927553153,0.97,0.018294,0.008095,0.000869,0.002742,0.027815486488890324,0.0007703418163135062,0.9879734198533148,0.003375554178430249,0.005423961015826385,0.00042340305422321103,0.002803661898205241,0.21094750013680016,0.6483290009821708,0.12089817461649409,0.01968742623071517,0.00013789803381985502,0.027480961311312644,9.389268164264387e-05,0.00015087011435198664,1.1777161934100624e-05,7.798521964894448e-05,0.00016250168040217623,0.0004994349401853264,9.313291942305748e-05,1.516604768110729e-05,1.0622862183884842e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,18.930141859001875,-0.04701150387860764
200.0,14.164583127,0.97,0.018294,0.008095,0.000869,0.002742,0.027822675909939684,0.0008729905242390592,0.9869478103410197,0.003996398126324144,0.005788253398498722,0.0004687416979171756,0.002798796436240313,0.18868347278573377,0.67743240305346,0.11443907676170963,0.019321438414130615,0.00012360898496592326,0.027459529067142812,0.00011119048987580684,0.0001610446983910369,1.3041648346624427e-05,7.78700061834084e-05,0.00016471888382246398,0.0005913920686781656,9.990422961563882e-05,1.6867432650204582e-05,1.0790947258605934e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,18.785198527835796,-0.033544720942451534
200.0,15.8364109386,0.97,0.018294,0.008095,0.000869,0.002742,0.027830029716032014,0.0009755947106629193,0.9859818960714175,0.004624215577526856,0.006090252186950763,0.0005090290092811941,0.002794607154823758,0.17112142066842093,0.7015982781904262,0.10830526777111456,0.018862679372019332,0.00011235399801892629,0.02743990546713714,0.00012869205693591054,0.0001694918993409687,1.4166292454617968e-05,7.777400016338087e-05,0.00016694515288523582,0.0006844755692127912,0.0001056620463744305,1.8402330224272617e-05,1.0961196618909661e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,18.6435415944304,-0.017601205542153053
200.0,17.5082387503,0.97,0.018294,0.008095,0.000869,0.002742,0.02783751411913299,0.0010781530783004678,0.9850629644369333,0.005257216116326851,0.006343956434159086,0.0005449783374587778,0.0027908846751219882,0.15691907432277147,0.7220041064914289,0.10261425146448451,0.01835930440996839,0.00010326331134663446,0.02742170418074813,0.00014634782786558223,0.00017659997680706811,1.517084216363035e-05,7.769129154858024e-05,0.00016918278302515595,0.0007784309499593128,0.00011063387109393225,1.979414056506277e-05,1.1133365700387356e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,86.02971371321541,3.87,18.504616346894558,0.00028626866690473207
