T,P,z_carbon dioxide,z_oxygen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_oxygen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_oxygen,rhoL3_carbon monoxide,rhoV1_carbon dioxide,rhoV2_oxygen,rhoV3_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_oxygen,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4939147774,0.97,0.011993,0.018007,0.027774740392648108,0.00015606525605191686,0.9997264911578043,0.00016774776818983148,0.00010576107400576944,0.9607626201336913,0.015667646506386194,0.023569733359922577,0.027767143755561028,4.659150712918684e-06,2.9374863741578905e-06,0.00014994166431627506,2.445175263750082e-06,3.6784164718917236e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.892124512216586,-0.010702427113287172
200.0,2.940233861,0.97,0.011993,0.018007,0.027772461299971032,0.00018395617289469223,0.9985366547960685,0.0008850375989733657,0.00057830760495814,0.8202788053651604,0.07027233976584088,0.10944885486899866,0.027731820601926346,2.457967246650708e-05,1.606102557817888e-05,0.00015089534974160505,1.2927030683679581e-05,2.0133792469407596e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.802221868544216,-0.05711294348714091
200.0,3.3865529445,0.97,0.011993,0.018007,0.027770099105762145,0.00021194207909165584,0.9973642772773375,0.0015716764139625946,0.0010640463086999206,0.716540632150295,0.10851965266850659,0.17493971518119852,0.027696904824538498,4.36456097779301e-05,2.9548671445717174e-05,0.0001518651113315829,2.2999880808867647e-05,3.707708695120532e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.71255364598128,-0.10260384228573827
200.0,3.8328720281,0.97,0.011993,0.018007,0.027767655683439803,0.00024002016733518574,0.9962087919857177,0.00222851790889428,0.001562690105388134,0.6368276768731503,0.1361213911214628,0.22705093200538692,0.027662382724674913,6.188071797855563e-05,4.3392240786335966e-05,0.00015285148556677114,3.267187907487177e-05,5.449680269354285e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.623118449027135,-0.14719748736807858
200.0,4.2791911116,0.97,0.011993,0.018007,0.027765133220534532,0.0002681888797657799,0.9950696514424454,0.002856445548931582,0.0020739030086230413,0.5736780624249714,0.15643126517174666,0.26989067240328185,0.027628241436010358,7.930959120328827e-05,5.758219332088612e-05,0.00015385407690795625,4.19531257667544e-05,7.238167709106924e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.533914043304392,-0.19090482018176758
200.0,4.7255101952,0.97,0.011993,0.018007,0.027762534117113238,0.0002964473438693132,0.9939463058365184,0.003456380796509579,0.0025973133669720187,0.5224276839197883,0.17154806684351803,0.30602424923669364,0.02759446822636501,9.595788978483222e-05,7.210800096339493e-05,0.00015487229926181836,5.085496876167632e-05,9.072007584581853e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.444937390688278,-0.23373737978418774
200.0,5.1718292787,0.97,0.011993,0.018007,0.02775986091803606,0.00032479509107606174,0.9928381956097818,0.004029281008551993,0.003132523381666278,0.4800121517886808,0.18285262477298006,0.3371352234383392,0.027561050224241424,0.0001118522803970874,8.695841339755187e-05,0.00015590559055782095,5.9389634916637e-05,0.0001094998656016038,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.356184797944955,-0.2757041456383398
200.0,5.6181483623,0.97,0.011993,0.018007,0.027757116264472224,0.000353231905739608,0.9917447509175273,0.004576132658563187,0.003679116423909432,0.44433548608615114,0.19129070640220416,0.3643738075116447,0.027527974355897853,0.00012702024624538675,0.00010212166232898337,0.00015695347053794624,6.756998077272641e-05,0.00012870845442893537,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.26765207620229,-0.31681337036729573
200.0,6.0644674459,0.97,0.011993,0.018007,0.027754302855235967,0.0003817577388905456,0.9906653939875268,0.0050979428254918505,0.004236663186981347,0.41391576496774624,0.19753180931107722,0.3885524257211765,0.02749522737293148,0.00014148984911737818,0.00011758563318710951,0.0001580155465252373,7.540929688155525e-05,0.000148332895483753,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.179334677993374,-0.3570730424563493
200.0,6.5107865294,0.97,0.011993,0.018007,0.027751423415944665,0.00041037265647592434,0.9895995429886246,0.005595730171093777,0.00480472684028158,0.38767569322013523,0.20206302972281934,0.4102612770570455,0.027462795929702657,0.0001552894772993999,0.00013333800894260806,0.0001590915040778924,8.292114228292703e-05,0.00016836001011510496,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,63.65845399182276,3.87,19.091227818710706,-0.39649118157255714
