temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_oxygen,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_oxygen,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_oxygen,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.5210711609675247,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.028419244290018318,41.5342151412484,2.4961100603638857,1222.2901144256653,6.795239014278808,0.999728768565597,1.386825838421173e-05,0.0001509287073411368,4.023798681809179e-05,3.898864898515397e-05,2.720783287428895e-05,0.9508688331795218,0.01299619651682601,0.015869571395524033,0.01065959341288941,0.003604301957405723,0.006001503537832982,19.882083611550335,0.605415040179141,1.0000000007864827,2.03179424433757,4.621109048605115,6.151107858629462,3.996909941558029,6.783708163347696,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.8520298447216073,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.043422723985138176,41.5342151412484,2.4961100603638857,1221.4078556716559,8.878553075359322,0.9970202409726688,0.00016660625977299776,0.0016237108637539468,0.0004650274342581754,0.0004130875309856674,0.0003113269385604671,0.6336869675796707,0.10227018534839967,0.11260833982335756,0.08104138589124228,0.025193712624027594,0.045199408733302075,19.575320197738318,0.6158889738363236,1.0000000011022026,2.0015410077084264,4.536294988481094,6.004868549819442,3.9273522149838174,6.618604928384566,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.18298852847569,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.05842620368025803,41.5342151412484,2.4961100603638857,1220.538959287097,10.878790192594824,0.994478055689738,0.00033729342141173885,0.0029440089863223386,0.0009032042326291657,0.0007388840207826001,0.000598553649115956,0.4784410826456907,0.15349137427737583,0.15243540420509097,0.11722455364399555,0.033653302499023666,0.06475428272882325,19.284420053939645,0.6259572477140054,1.0000000010764387,1.9740694962459382,4.4561018775176615,5.8692979196505295,3.862126364386366,6.466698744090638,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.513947212229773,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.0734296833753779,41.5342151412484,2.4961100603638857,1219.68561295655,12.792763757127409,0.9920951993797863,0.0005266449515285548,0.004120896940592164,0.0013498917266922517,0.001021925448181323,0.0008854415532194212,0.3864443723314828,0.19004926543655473,0.17039036895699342,0.1395779747321934,0.03717911279770314,0.0763589057450725,19.008960398703586,0.6355901755694227,1.0000000008271732,1.948337806620402,4.38104825405122,5.742671145037139,3.8008887757838217,6.324012235496035,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.844905895983856,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.08843316307049776,41.5342151412484,2.4961100603638857,1218.8500943814583,14.619207754707512,0.9898637173650577,0.0007350806667747235,0.005165042872393816,0.0018000404678652961,0.001267408135405177,0.0011687104925031785,0.3256237978713326,0.21948701788449396,0.17792059483823197,0.1547154498365253,0.038425334326593855,0.08382780524282231,18.74846059185677,0.6447900550284985,1.0000000005932945,1.9238715040666658,4.3111469222151015,5.623423342340183,3.7436282009947437,6.189495264354185,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.175864579737938,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.10343664276561762,41.5342151412484,2.4961100603638857,1218.034438207359,16.358256569431955,0.9877747279218222,0.0009627654625574874,0.006088149033761299,0.0022487717694133296,0.0014801405392479532,0.001445445273197821,0.28244597478938666,0.24493486759865837,0.1798851663161066,0.16544041699388257,0.03850193238501694,0.08879164191694879,18.502340167712976,0.6535603510198699,1.0000000004837268,1.9005875687276832,4.245884714239621,5.51098735335114,3.69023861402703,6.063718295657612,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.506823263492022,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.11844012246073748,41.5342151412484,2.4961100603638857,1217.2402944732673,18.011147715886484,0.9858187751424643,0.001209625931361654,0.006902274098440403,0.0026916229212471912,0.0016644909267330733,0.001713210979753299,0.25021608141202156,0.2678960330603458,0.17869518802131598,0.17316401258533126,0.03794803650998396,0.09208064841100146,18.26995329253805,0.6619460012487188,1.0000000012631012,1.878710438831351,4.185083808066643,5.405958196677654,3.6407296947902474,5.9454923815169405,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.837781947246103,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.13344360215585735,41.5342151412484,2.4961100603638857,1216.468865010076,19.580017335664184,0.9839861799501657,0.001475367504154701,0.007619273845440404,0.0031247135895972455,0.0018243610136055397,0.001970104097036256,0.22524401170830965,0.2891610762579904,0.17567393574494378,0.17869399365593713,0.03705151518868098,0.09417546744413818,18.05057936212829,0.6699285524671473,1.0000000005855452,1.8579239441747681,4.128512078842851,5.307166786116868,3.5948191602419404,5.8342538451289805,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.168740631000187,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.1484470818509772,41.5342151412484,2.4961100603638857,1215.720886516764,21.067733211157268,0.9822673148275811,0.0017594968608072162,0.00825040654425347,0.0035448407344351655,0.0019631876188828286,0.0022147534140401714,0.2053292972217148,0.3091703767122008,0.17159780459868787,0.18254333249929428,0.03597576635984192,0.09538342260826033,17.843459825026173,0.6775148355409186,1.000000000654849,1.8383312326089767,4.076080491506642,5.2141556107988185,3.5521346586430953,5.7297317410449695,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,14.49969931475427,0.96,0.01057,0.012932,0.008675,0.002938,0.004885,306.27,88.71,0.6530185783785549,0.16345056154609708,41.5342151412484,2.4961100603638857,1214.996649903783,22.477746702672317,0.9806528041779384,0.002061349247313392,0.008806088493638365,0.00394950964206676,0.0020839648890044866,0.0024462835500385074,0.1890786799967092,0.3281782150004149,0.1669427153148136,0.18506660440460582,0.034817151587614455,0.09591663369584202,17.647811581995846,0.6847820708833219,1.000000001094499,1.819814473876864,4.0275002702331655,5.1267671924091225,3.5124455419498934,5.631972529982487,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
