T,P,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4416615825,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.02777523814623725,0.00015275976975916158,0.9999511989635712,1.2195508552345239e-05,6.216094122130006e-06,3.038943375444264e-05,0.9806069160694578,0.011799714773975916,0.0006745027150699811,0.006918866441496145,0.027773882685828657,3.3873315435586207e-07,1.726534945815865e-07,8.44073759658945e-07,0.00014979728672301186,1.8025217120963382e-06,1.0303687945601968e-07,1.0569244445973407e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.909592512955026,-0.004631508456977684,-0.005603164624314871
200.0,3.0307036132,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.027775283938270043,0.00018894893732016843,0.9993925709991295,0.00016278585927490433,6.943016033975976e-05,0.0003752129812559044,0.797221349221553,0.1274422844729814,0.006108580386971742,0.06922778591849385,0.027758412425298525,4.521423462495738e-06,1.928442417316443e-06,1.0421647091707541e-05,0.00015063412674436332,2.4080084220824437e-05,1.1542097726531337e-06,1.3080516582327533e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.874983847024012,-0.058134813185969136,-0.07021479249624818
200.0,3.6197456439,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.027775611563473683,0.00022516349906048387,0.9988721602892033,0.00032234818470300086,0.00011721261406734985,0.0006882789120263186,0.6726854894698737,0.2118564581995079,0.008675685404342407,0.106782366926276,0.027744285125760736,8.953417966501421e-06,3.2556520386740607e-06,1.91173677077733e-05,0.00015146421857625104,4.7702341426762336e-05,1.9534476823897052e-06,2.4043491375080792e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.843115642715517,-0.10866989646893543,-0.13107501966438662
200.0,4.2087876746,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.027776199473810458,0.000261389870106731,0.9983845026233598,0.0004900292374933748,0.0001542807017053827,0.0009711874374414614,0.5826180110964325,0.2774843328982553,0.009859510651703022,0.13003814535360914,0.02773132709642748,1.3611149848615217e-05,4.28533154552816e-06,2.6975895988832846e-05,0.00015229044624233846,7.253159373292787e-05,2.5771762085645836e-06,3.39906539229001e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.813617062332874,-0.15648861428571337,-0.18854925455190852
200.0,4.7978297054,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.027777024381985503,0.00029762021272199444,0.997925197382395,0.0006649895896669682,0.0001836610274816643,0.0012261520004562495,0.5144559657308677,0.33075860358007503,0.010331014002662727,0.14445441668639442,0.027719392539088485,1.847143204594591e-05,5.101556838378699e-06,3.405885401269354e-05,0.00015311249395691994,9.844044595713176e-05,3.074718585106384e-06,4.299255422283633e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.786185043598167,-0.20185373400816076,-0.24299151530534857
200.0,5.3868717361,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.02777806274718744,0.0003338497397171846,0.9974905461553842,0.0008464263189240698,0.00020737389295094643,0.0014556536327407247,0.46107521531315343,0.37534829014920734,0.01042115921813232,0.15315533531950684,0.027708354980830532,2.35120833979437e-05,5.760445010519921e-06,4.043523794844319e-05,0.0001539298406223411,0.00012530992896960314,3.479101292524814e-06,5.113086883271548e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.760560008122702,-0.24502207334894166,-0.29473503902593023
200.0,5.9759137668,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.027779291817661925,0.00037007546171361464,0.9970773764654316,0.0010335895448138218,0.00022681286756828298,0.0016622211221862383,0.41813711628054845,0.4135105059760797,0.01030370941953066,0.15804866832384118,0.027698103405621982,2.8712385585067512e-05,6.300700836180042e-06,4.617532561869299e-05,0.00015474228636712335,0.0001530300914225281,3.813150020795729e-06,5.848993390316747e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.736515713367247,-0.28623554171041476,-0.34408702513163547
200.0,6.5649557975,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.02778069029179557,0.00040629551721817366,0.9966829452545798,0.0012257926840199972,0.00024296598218879128,0.0018482960792114346,0.38284928961793313,0.44672106070575696,0.01007412274432263,0.1603555269319872,0.02768854022123212,3.405336691670837e-05,6.7497627026287294e-06,5.134694094411292e-05,0.0001555499501419285,0.00018150076441169667,4.0930709109239295e-06,6.515173175362452e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.71385416993792,-0.3257207157445805,-0.39133027978524026
200.0,7.1539978282,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.027782238677725352,0.000442508774416863,0.996304876522041,0.0014224169981708185,0.0002565502397732713,0.0020161562400148538,0.3533334616596629,0.4759948906073752,0.009786558375773762,0.16088508935718812,0.02767957987531703,3.9517928542435305e-05,7.127539994208691e-06,5.6013333871677986e-05,0.00015635315707948508,0.00021063191567135837,4.330637952622733e-06,7.11930637133968e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.692402381793222,-0.36366943283578834,-0.4367051672712101
200.0,7.7430398589,0.9900000000000001,0.006076000000000001,0.00035000000000000005,0.0035740000000000004,0.02778391943424124,0.00047871458163561216,0.9959411139535996,0.0016229116695419996,0.00026809645885352034,0.002167877918004774,0.3282798777781411,0.5020601163305755,0.009472400560085801,0.16018760533119766,0.027671147671335286,4.509084707544486e-05,7.448770413391581e-06,6.023214541711528e-05,0.00015715236434995272,0.0002403434985451182,4.534576271206412e-06,7.668414246933485e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.67200965615323,-0.4002627437090105,-0.4804345976261999
