T,P,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_carbon monoxide,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_carbon monoxide,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4125210777,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027782753116554284,0.0001509457576823617,0.9949687719169426,4.6192891152777374e-06,4.6095967235298845e-05,9.873346824706924e-06,0.004970639479882278,0.9869822578011489,0.004537934711098553,0.005083350486782494,0.002286072716486157,0.0011103842844838632,0.027642971748849623,1.2833656906374785e-07,1.2806728773670832e-06,2.7430875726494763e-07,0.00013809804950096712,0.00014898078472284245,6.849819932798601e-07,7.673101907923857e-07,3.4507297830697777e-07,1.6760779714000378e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.966922059142078,-0.007194128182696602,-0.00840396940255772
200.0,2.70821679,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.02777916605647629,0.00016921715174410037,0.9966760908925251,5.292179643984715e-05,0.00046545880973002346,0.00010720724115514192,0.0026983212601499897,0.8852868481040262,0.04630449281546199,0.04575703625678321,0.022111000953305187,0.0005406218704232003,0.027686830633423108,1.4701233713095496e-06,1.2930057567940124e-05,2.9781277545053864e-06,7.495711435942692e-05,0.00014980571891267536,7.835514387187637e-06,7.742875347624387e-06,3.741560603529392e-06,9.148249308358206e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.905617836188775,-0.031687795705718,-0.04414830345975673
200.0,3.0039125022,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.0277790236399407,0.00018747674724064545,0.9962117131519047,0.00010795921779508314,0.000836172732239337,0.0002062687585946539,0.002637886139466121,0.8015617048831176,0.08524904635261259,0.07428225530131632,0.03842772078305657,0.0004792726798968487,0.027673788730032584,2.9990016632791213e-06,2.322806209595035e-05,5.729944721182112e-06,7.327790142770128e-05,0.00015027418114415308,1.598221391555482e-05,1.3926195601589976e-05,7.204304096279194e-06,8.985248306836829e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.872736238667574,-0.05763941988966437,-0.08052736004359673
200.0,3.2996082145,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027779051229504203,0.00020573366983311103,0.9957543070083242,0.00016903629493169583,0.001156134596884218,0.0003038137979250789,0.002616708301934873,0.7326309920883248,0.12161649701849593,0.09370006265796567,0.05161726527354109,0.00043518296167259127,0.027661109906383693,4.69566789655316e-06,3.211632219504888e-05,8.439659056791004e-06,7.268967397211779e-05,0.000150726862635804,2.5020608243862775e-05,1.9277257754215726e-05,1.061940941147481e-05,8.95317877537443e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.84328545062059,-0.08267206129974625,-0.115049211374739
200.0,3.5953039267,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027779207749761482,0.0002239848684383045,0.9953296315409129,0.00023593296766640076,0.001430533387478056,0.00039821067464493505,0.002605691429297637,0.6749059397413824,0.15589367599330817,0.10661051559845733,0.06219010895022526,0.0003997597166268486,0.02764946861406857,6.554030923822705e-06,3.973908416372296e-05,1.1061977059134328e-05,7.2384043546232e-05,0.00015116871812120378,3.4917824507724795e-05,2.3879142310460274e-05,1.3929643371380028e-05,8.954012753559856e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.816721290415376,-0.10673073731162219,-0.1477305178708299
200.0,3.890999639,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027779483317453,0.00024222828699843138,0.9949396660998913,0.00030830765918863,0.0016649904544777311,0.0004882085317733609,0.0025988272546689545,0.6258605494716973,0.18834907138450158,0.11486259803304319,0.07055756943091591,0.0003702116798421529,0.027638909856294185,8.564627475073533e-06,4.625257455388262e-05,1.3562180763836303e-05,7.21940783660184e-05,0.00015160112879842626,4.562347291921309e-05,2.7822970361733446e-05,1.7091039178023648e-05,8.96757410349764e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.79272378087642,-0.12981462416408718,-0.1786547656148123
200.0,4.1866953513,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027779870919983542,0.0002604627550573469,0.9945821700504137,0.0003857339315563112,0.0018650530352720554,0.0005729633335565437,0.0025940796492012834,0.5836726676052296,0.2191287302603589,0.11978389870739398,0.07706965994657819,0.0003450434804391813,0.027629364303317614,1.0715638828092091e-05,5.1810932578781214e-05,1.591684744808426e-05,7.206319781096785e-05,0.00015202499105612915,5.707487279583129e-05,3.1199244268838e-05,2.007377596101861e-05,8.987097552976494e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.771001305406212,-0.15195317942016828,-0.20793964208598936
200.0,4.4823910635,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.0277803629752304,0.00027868778234674496,0.9942538066310966,0.00046774071980675263,0.0020358792270310975,0.0006520096951944333,0.0025905637268710613,0.5469961534594587,0.2483168662228368,0.12233207889962139,0.0820316109150301,0.0003232905030530349,0.027620731637716403,1.2994006974527128e-05,5.6557463900655385e-05,1.8113065995870692e-05,7.19668006429437e-05,0.00015244114495981635,6.920287676693572e-05,3.409245577840252e-05,2.2861207728240777e-05,9.009711334961387e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.75127683199014,-0.1731968060319815,-0.23572182647888695
200.0,4.7780867758,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027780951108729402,0.00029690336243195955,0.9939510586029724,0.0005538463244340061,0.002182068646580388,0.0007251957164710282,0.002587830709542246,0.5148154426108846,0.27597132925834295,0.12319886484869735,0.08571008858187786,0.000304274700197234,0.02761290576351901,1.5386377660850605e-05,6.0619942386541094e-05,2.0146626743541624e-05,7.189239841946166e-05,0.00015285043594306916,8.193681559161944e-05,3.6578157221378794e-05,2.5447613494300638e-05,9.034018159153521e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.733292629679635,-0.19360913399406243,-0.2621454558098435
200.0,5.073782488,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027781626542621576,0.00031510980724267537,0.9936705813561619,0.0006435834135162353,0.002307603205824765,0.0007926045079615725,0.002585627516535527,0.4863501406464363,0.30214275115942135,0.12288379622542739,0.08833581605537928,0.00028749591333571535,0.027605784997626562,1.787979404333364e-05,6.410897047277993e-05,2.2019842436186735e-05,7.183293804271611e-05,0.00015325369907154659,9.520814407761689e-05,3.8721889341842625e-05,2.7835481969834994e-05,9.059278183427417e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.716815123151108,-0.21326045686573636,-0.28735348319703036
200.0,5.3694782003,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.02778238053116074,0.0003333076185306236,0.9934093456800587,0.0007365151406684805,0.0024158599332361505,0.0008544792925139342,0.002583799953522801,0.46099075777023,0.32688360142181694,0.12174737204459658,0.09010569538971064,0.00027257337364573563,0.027599276464894792,2.0462143905013107e-05,6.71183399751513e-05,2.3739468860619126e-05,7.178411352516589e-05,0.00015365173163702295,0.00010895279472661938,4.057932663854631e-05,3.0032914746390244e-05,9.085078204471798e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.70163719739219,-0.23222263369314433,-0.31148180467845066
200.0,5.6651739126,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.02778320469704146,0.0003514973945044635,0.993164683104944,0.0008322438859106871,0.0025096637651587307,0.0009111608344599674,0.002582248409526659,0.4382543772323396,0.3502514015485815,0.12004954778455607,0.0911854629845563,0.00025921044996635715,0.027593297688576976,2.312240224011784e-05,6.97265021081528e-05,2.5314967975728386e-05,7.174313614048892e-05,0.00015404527172734365,0.00012311245506586299,4.2197103257710544e-05,3.205145265575474e-05,9.111179779150413e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.68757818893556,-0.25056551319558196,-0.3346557731820283
200.0,5.9608696248,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027784091246230207,0.00036967976606665275,0.9929342825832866,0.00093041456022979,0.0025913575214571026,0.0009630398031361218,0.0025809055318903994,0.4177534186838058,0.3723088551321802,0.11797761624947933,0.0917129380917262,0.0002471718428083688,0.027587776708804166,2.5850723038245637e-05,7.19985138277691e-05,2.6757185764085583e-05,7.170811479594316e-05,0.00015443498609257376,0.0001376350504698077,4.361393757620885e-05,3.3904417499034746e-05,9.137442902766124e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.6744823351197,-0.2683546843211744,-0.3569885427069437
200.0,6.2565653371,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027785033079208328,0.00038785535594222013,0.9927161635971322,0.001030714290134204,0.002662874912163925,0.0010105231076202495,0.0025797240929494765,0.3991732063732795,0.39312257777829324,0.11566636049489762,0.09180158724736101,0.0002362681061686555,0.027582651443811106,2.863843064659159e-05,7.398806752026863e-05,2.8077417972533028e-05,7.167771925783191e-05,0.0001548214660405056,0.00015247469733312304,4.486181742028966e-05,3.560573729788598e-05,9.163785041583813e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.66221639058396,-0.28565026705043195,-0.37858069639028
200.0,6.5522610493,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027786023826397784,0.00040602475442637044,0.9925086394976942,0.0011328699353570532,0.002725808889766145,0.0010540116954198212,0.0025786699817627276,0.38225558243489055,0.41276138245991434,0.11321259416350246,0.09154409616961819,0.0002263447720744186,0.02757786870498858,3.14779510160408e-05,7.5739390757249e-05,2.9286794082237076e-05,7.165098555367588e-05,0.00015520522898623563,0.0001675913389499759,4.596711574320843e-05,3.716916916645326e-05,9.19015804972086e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.650666923758287,-0.3025064382892495,-0.39952068437504806
200.0,6.8479567616,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027787057833707263,0.00042418850655215345,0.9923102786604415,0.0012366444878731584,0.002781471900755329,0.0010938870020969378,0.0025777179488331273,0.36678674935246847,0.43129461227930244,0.11068564269904817,0.09101572116632675,0.00021727450285419225,0.027573383102119858,3.436271190426675e-05,7.728892056911999e-05,3.039590139080827e-05,7.162719772321136e-05,0.00015558672343094263,0.00018295021746674736,4.695157747327451e-05,3.8607822834311366e-05,9.216534687758142e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.639737617299012,-0.31897144609358463,-0.4198857255248001
200.0,7.1436524739,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027788130118559934,0.000442347106754891,0.9921198674107499,0.0013418330488559655,0.0028309470877668145,0.0011305035397202873,0.0025768489129068747,0.3525881220788098,0.4487907367273102,0.10813490008108248,0.09027728980746608,0.00020895130533149368,0.027569155968818346,3.728703135899356e-05,7.866672603362255e-05,3.141457946123993e-05,7.160581288772595e-05,0.0001559663356777018,0.00019852128392972167,4.7833160190096066e-05,3.993389795200543e-05,9.242900536604406e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.629346753110564,-0.3350879086289211,-0.4397429180450523
200.0,7.4393481861,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027789236310876674,0.0004605009982135444,0.9919363765570961,0.001448258811524341,0.002875130811977031,0.0011641856234620445,0.002576048195940519,0.3395093555695767,0.46531627506918516,0.10559528377179313,0.08937779940141939,0.00020128618802551233,0.027565154373499892,4.0246006352759316e-05,7.989768955871244e-05,3.235182940011204e-05,7.158641206519862e-05,0.00015634439714262723,0.00021427860915436796,4.862673358355322e-05,4.115856584248356e-05,9.269249051234761e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.61942496622261,-0.35089327119966285,-0.4591504112057656
200.0,7.7350438984,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.02779037258856691,0.00047865057492619384,0.991758932166004,0.0015557692896431762,0.002914767460146788,0.0011952267525916585,0.00257530433161453,0.32742296730880777,0.4809350341006093,0.10309118055925362,0.08835661418037365,0.00019420385095551265,0.027561350242932506,4.323540822103394e-05,8.10024737265101e-05,3.321579678234507e-05,7.156866690451806e-05,0.0001567211915464012,0.00023019983057440528,4.93446528445068e-05,4.2291944175967735e-05,9.295578491273699e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.60991329248112,-0.3664203245130757,-0.4781585378212654
200.0,8.0307396106,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027791535613405118,0.000496796185245699,0.9915867905659188,0.0016642329076385302,0.0029504776866656223,0.0012238905994162884,0.002574608240360641,0.31622014476758953,0.49570761491329074,0.10063930835017786,0.08724529184053445,0.00018764012840734225,0.027557719603794814,4.6251588121636964e-05,8.199830570552479e-05,3.401379918058951e-05,7.155231660254904e-05,0.00015709696161838116,0.0002462656520861668,4.999722447413398e-05,4.334312816702522e-05,9.321889999178074e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.600761501576287,-0.3816977442542182,-0.496810873408446
200.0,8.3264353229,0.9900000000000001,0.0028250000000000003,0.0031800000000000005,0.0014260000000000002,0.0025690000000000005,0.027792722470623005,0.0005149381360609851,0.991419317248479,0.0017735359921047262,0.0029827812168383466,0.0012504128970955216,0.0025739526454823876,0.30580744375176344,0.5096911344993993,0.09825079797426495,0.0860690837849521,0.00018153998962029563,0.02755424193630152,4.9291393620227686e-05,8.289961055017535e-05,3.475237862266351e-05,7.153715152841788e-05,0.0001574719150791076,0.00026245940276592954,5.059308277537241e-05,4.432025357669999e-05,9.348186387560561e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.591926690312505,-0.39675057482436316,-0.5151451549994945
