feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
sensitivity_src_89,selected_diverse_Pbubble,2,"CO2,CO",0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0
sensitivity_src_21,selected_diverse_Pbubble,4,"CO2,H2,CH4,H2S",0.9500000000000002,0.031349032073306,0.0,0.0,0.0038762195156032,0.0,0.0,0.0147747484110907
sensitivity_src_13,selected_diverse_Pbubble,6,"CO2,H2,Ar,N2,CH4,O2",0.9800000000000004,0.0058268244563953,0.0091038894484014,0.0010974277044856,0.0028797208714395,0.0010921375192779,0.0,0.0
synth_7comp_CO2_096_Pbub75,synthetic_replaces_src_48,7,"CO2,H2,N2,CH4,O2,CO,H2S",0.96,0.02,0.0,0.008,0.004,0.004,0.002,0.002
sensitivity_src_95,selected_diverse_Pbubble,8,"CO2,H2,Ar,N2,CH4,O2,CO,H2S",0.9700000000000004,0.0074631004355608,0.003992573610865,0.0079014319359245,0.0099051237458289,3.7883113831758814e-05,0.0006994968989845,3.902590042765682e-07
