temperature,pressure,z_carbon dioxide,z_methane,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_methane,x_carbon monoxide,y_carbon dioxide,y_methane,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_methane,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.5470821978870637,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.02954851737688009,18.361154849177673,2.5218635622644197,1221.255843798082,6.811393983401576,0.9989138149638263,0.0009483481728219112,0.00013783686335186717,0.9408595108976724,0.029114716553329097,0.0300257725489986,19.827783379021646,0.606981653187318,1.0000000013036092,3.720664272155898,6.755951055168885,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0860636152249548,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.035801202032772095,18.361154849177673,2.5218635622644197,1217.5955532614541,7.601132795053268,0.9953383652545043,0.004006797653656144,0.000654837091839624,0.7811193855336757,0.10168549183101303,0.11719512263531139,19.54573850606981,0.6157040375770017,1.0000000010402499,3.636547724609412,6.608812581500224,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.6250450325628454,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.0420538866886641,18.361154849177673,2.5218635622644197,1214.2999441155278,8.41650129219354,0.9920765032089576,0.006695304608258853,0.0012281921827835846,0.6688406977611248,0.14485549039683923,0.18630381184203593,19.283256688470882,0.623923997763027,1.0000000009762715,3.5603208540951212,6.47435847829766,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.164026449900736,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.0483065713445561,18.361154849177673,2.5218635622644197,1211.3478741039062,9.256076095813837,0.9891106139242962,0.009034917064070965,0.0018544690116329052,0.5856782434850474,0.17041650280899695,0.24390525370595564,19.038521861350834,0.6316992041478038,1.0000000007876904,3.491022523482187,6.350019109316332,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.703007867238627,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.05455925600044811,18.361154849177673,2.5218635622644197,1208.708520230437,10.11791337264135,0.9864145548782648,0.01105664100768242,0.0025288041140528123,0.5216515410793975,0.18493308696453423,0.29341537195606826,18.809518990799624,0.6390499956110418,1.0000000008868384,3.4278054694902256,6.234532949214429,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.241989284576518,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.060811940656340116,18.361154849177673,2.5218635622644197,1206.3459663486556,10.999820019507832,0.9839576282240116,0.012796759587224796,0.003245612188763711,0.4708666794847939,0.19234943792109369,0.3367838825941125,18.594209490120445,0.6460998018924258,1.000000000881528,3.36983929255505,6.127638482758512,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.780970701914409,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.06706462531223212,18.361154849177673,2.5218635622644197,1204.223280293632,11.899584450127552,0.9817081310614342,0.014292667667720891,0.003999201270844813,0.42962012203059874,0.19515232210016323,0.37522755586923806,18.3906702293355,0.6528337484456103,1.0000000008249255,3.3163608129402355,6.027273294091486,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.319952119252299,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.07331730996812412,18.361154849177673,2.5218635622644197,1202.3054048647812,12.815135414183557,0.9796358869068491,0.01557991310016365,0.004784199992987307,0.395468647415346,0.19495610859312312,0.4095752439915309,18.197176646741937,0.659340071569919,1.0000000007660004,3.266700176676638,5.932475356818013,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.8589335365901904,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.07956999462401612,18.361154849177673,2.5218635622644197,1200.5607864410654,13.744628023689012,0.9777136829248142,0.016690522874184092,0.00559579420100172,0.36673599696002074,0.19282706378946496,0.4404369392505142,18.012237743425807,0.6656458252895462,1.0000000009970165,3.2202881838729525,5.842470381080285,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.3979149539280815,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.08582267927990814,18.361154849177673,2.5218635622644197,1198.962013895546,14.686473806661606,0.9759178456236988,0.017652339757672365,0.006429814618628884,0.34223432226826067,0.1894765171202804,0.46828916061145887,17.834595509914706,0.6717683143101149,1.0000000008922052,3.1766500511849047,5.757170871246934,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.936896371265973,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.09207536393580014,18.361154849177673,2.5218635622644197,1197.4858175660702,15.639335409011709,0.974228256704859,0.018489013320547563,0.0072827299745934606,0.3210987026706983,0.18538159739042298,0.4935196999388787,17.66320499215063,0.6777380834130845,1.0000000008557968,3.135395860347583,5.6755553187464125,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.475877788603864,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.09832804859169215,18.361154849177673,2.5218635622644197,1196.112724300379,16.60210288755263,0.9726280660640919,0.019220343807245185,0.008151590128662942,0.3026845927385188,0.18086301457626525,0.5164523926852159,17.497205637360924,0.6835954370642036,1.000000000463079,3.0962067033977307,5.59705687601437,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.014859205941754,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.10458073324758414,18.361154849177673,2.5218635622644197,1194.8265701223759,17.57386293169936,0.9711032776151874,0.019862773132420044,0.009033949252392565,0.2865019610613841,0.17613612155817396,0.5373619173804419,17.335891926996425,0.689350098585571,1.000000000504013,3.058822165484841,5.521325183154224,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.553840623279644,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.11083341790347614,18.361154849177673,2.5218635622644197,1193.6139890986055,18.553867530089803,0.9696423118252298,0.020429901933305093,0.009927786241465196,0.2721716810538606,0.17134485562069812,0.5564834633254413,17.178684873544388,0.6950077324191412,1.0000000006326655,3.023029285670557,5.448073122370676,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.092822040617534,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.11708610255936815,18.361154849177673,2.5218635622644197,1192.463936481142,19.541505329380154,0.9682355956153805,0.02093297187226064,0.0108314325123588,0.25939587893286004,0.1665844993840904,0.5740196216830497,17.025109399180064,0.7005816268376727,1.0000000005734464,2.9886530870781547,5.377516380381917,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.631803457955428,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.12333878721526018,18.361154849177673,2.5218635622644197,1191.367275223267,20.53627682897752,0.9668752067201845,0.02138128607798337,0.011743507201832128,0.24793730049502824,0.16191707444813516,0.5901456250568367,16.8747732053114,0.7060841377022684,1.0000000004450234,2.9555489560246486,5.309033114627396,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.170784875293318,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.12959147187115216,18.361154849177673,2.5218635622644197,1190.3164252745923,21.537773686591024,0.9655545708531906,0.021782564450909106,0.01266286469590023,0.2376046519047729,0.15738180360872417,0.6050135444865029,16.7273512522682,0.7115252224178604,1.000000000370265,2.923596537066539,5.242395730501695,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.709766292631208,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.13584415652704418,18.361154849177673,2.5218635622644197,1189.3050756879006,22.54566172912999,0.9642682131276208,0.022143236207414513,0.01358855066496481,0.2282419939447649,0.1530022755640838,0.6187557304911512,16.582572550073852,0.7169100182044645,1.0000000003226412,2.892714735875189,5.177468908471295,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.248747709969098,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.14209684118293617,18.361154849177673,2.5218635622644197,1188.3279500780864,23.55966718269552,0.9630115553008497,0.022468678190238525,0.014519766508911722,0.21972094055675992,0.14879137439145884,0.6314876850517813,16.44020977152809,0.7222447280447419,1.0000000002858302,2.8628152848541975,5.114137587135441,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.787729127306989,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.14834952583882816,18.361154849177673,2.5218635622644197,1187.3806170092241,24.579565575305683,0.9617807517372986,0.022763407598387065,0.015455840664314345,0.2119348341503969,0.14475468795763907,0.643310477891964,16.300070982500905,0.7275346006523578,1.0000000002423544,2.833801289993275,5.052417181081465,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.326710544644882,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.1546022104947202,18.361154849177673,2.5218635622644197,1186.459337170082,25.60517281583141,0.9605725571172056,0.023031237369709856,0.01639620551308452,0.2047943375526804,0.1408928740003911,0.6543127884469285,16.161993164162915,0.7327841158810905,1.0000000007268626,2.805610816999568,4.992382405404329,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.865691961982773,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.16085489515061221,18.361154849177673,2.5218635622644197,1185.5609402660762,26.63633802286663,0.959384219814851,0.02327540138089027,0.01734037880425876,0.19822405662743606,0.13720330750713428,0.6645726358654296,16.025836466941065,0.7379971417389293,1.000000000125865,2.778190242708967,4.933658106560532,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,14.404673379320663,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.1671075798065042,18.361154849177673,2.5218635622644197,1184.682725731343,27.672937751596155,0.9582133958694047,0.023498655443756768,0.018287948686838515,0.19215992315915364,0.13368122963923007,0.6741588472016162,15.891481012414943,0.7431770273429145,1.0000000001177467,2.7514926894972156,4.876180202417483,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,14.943654796658553,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.1733602644623962,18.361154849177673,2.5218635622644197,1183.8223824640252,28.714871334021115,0.9570580794124829,0.02370335896637823,0.01923856162113893,0.18654714568606193,0.1303205491046139,0.6831323052093241,15.758822537376274,0.7483267168937893,1.0000000001408118,2.7254769291286616,4.819891797634734,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,15.482636213996443,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.1796129491182882,18.361154849177673,2.5218635622644197,1182.977923735541,29.762057104746514,0.9559165462297584,0.02389154118688103,0.020191912583360536,0.1813385895792336,0.1271144000394049,0.6915470103813616,15.62777020251097,0.7534488112655296,1.0000000001856513,2.700106412179087,4.764741941649964,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.021617631334333,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.1858656337741802,18.361154849177673,2.5218635622644197,1182.1476342110395,30.814429332884252,0.9547873078101948,0.024064955090792726,0.021147737099012506,0.17649348504721765,0.12405552861072795,0.6994509863420544,15.498244479398775,0.7585456284872969,1.0000000008719947,2.6753485003096786,4.71072800766377,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.560599048672227,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.19211831843007224,18.361154849177673,2.5218635622644197,1181.330026655915,31.871935716789153,0.9536690737868463,0.024225121477123298,0.022105804736030375,0.17197638818147074,0.12113655875768045,0.7068870530608488,15.370174758700765,0.7636192477416699,1.0000000009045713,2.6511739170265605,4.658029090434926,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,17.099580466010117,0.95,0.02468,0.02532,305.25,86.2,0.6552006552006552,0.19837100308596423,18.361154849177673,2.5218635622644197,1180.5238064075822,32.93453533001263,0.9525607211069763,0.024373365124356554,0.023065913768667238,0.1677563390605995,0.11835017245320813,0.7138934884861924,15.243498772896041,0.76867154937218,1.000000000745288,2.6275561370992846,4.606323858634456,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
