feature,importance_mean,importance_std
temperature,0.828749477036143,0.01911190027668622
pressure,0.3348189926430768,0.05950326609854914
z_hydrogen,0.0904546604695347,0.00286804840361411
z_carbon dioxide,0.029363298483254634,0.0031672419960949425
z_methane,0.02245036407042135,0.0020501207993148776
z_hydrogen sulfide,0.020016102587816057,0.0013452327776939934
z_nitrogen,0.008860577010165443,0.0010431397796298537
z_argon,0.007181182163215484,0.0019182739124966987
z_carbon monoxide,0.006260440807388333,0.0023102624875392637
z_oxygen,0.004180426951440401,0.00268496718064426
