,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
10703,225.0,14.65293770340995,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0
16204,260.0,28.634102277025224,0.98,0.01,0.01,0.0,0.0,0.0,0.0,0.0
3699,210.0,12.8817133519951,0.96,0.0,0.0,0.0006921309965303,0.0,0.0272824817088905,0.0120253872945791,0.0
998,215.0,13.1503867239338,0.9900000000000002,0.0014780298623429,0.0052214621304845,0.0,0.0015734753855824,0.0003996472235515,0.0013273853980386,0.0
14820,250.0,24.959119904851804,0.96,0.0,0.01,0.03,0.0,0.0,0.0,0.0
17426,290.0,59.51711362971379,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0
10461,200.0,3.933647685712267,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
15153,220.0,11.441803600598869,0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03
10934,250.0,24.117419878596163,0.95,0.0161563323497004,0.0,0.0,0.0338436676502996,0.0,0.0,0.0
1385,215.0,11.992073780338984,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
10272,200.0,17.17034136163631,0.9600000000000002,0.0015463321755183,0.0,0.0186927613164081,0.0197609065080735,0.0,0.0,0.0
1401,225.0,10.561888458971977,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
7648,245.0,16.62161733067203,0.99,0.0,0.0,0.0076466531757139,0.0,0.0,0.0,0.002353346824286
6724,265.0,31.97521523053088,0.9700000000000002,0.0020558406896235,0.0,0.0006119193260312,0.0104108785148232,0.0115955405686639,0.005325820900858,0.0
13486,260.0,37.15807252552655,0.95,0.0,0.0013975609656157,0.0254634082330592,0.0198727157653484,0.0,0.0004800215694976,0.002786293466479
3020,265.0,38.36998845868793,0.98,0.0084998019720903,0.0020816526704039,0.0,0.0076379325133379,0.0,0.0,0.0017806128441678
13807,230.0,11.339847481109196,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
18904,255.0,34.389792420402486,0.9700000000000004,0.0011788408603734,0.0190798614698971,0.0020160344015286,0.0071593933243206,9.871084268381651e-06,0.0005535543152464,2.444544365205282e-06
16657,285.0,51.45854447841361,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
12251,230.0,14.90507476628274,0.9500000000000004,0.0112037948849288,0.0137490003520045,0.0186504131602375,0.0,0.0,0.0016617277863489,0.00473506381648
1690,275.0,42.74643723327861,0.97,0.0,0.0,0.0126851236084495,0.0,0.0109770524424983,0.0063378239490521,0.0
3280,295.0,73.96160983250184,0.9800000000000004,0.0167305950184544,0.0,0.0,0.0,0.0010822452684579,0.0012635063735873,0.0009236533395001
15098,295.0,73.85081595358218,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
