temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon
200.0,2.5239669527293964,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1222.3545795203288,6.677823511782334,0.9999023847111678,2.5665190161017886e-05,7.195009867111213e-05,0.9499639387482174,0.03891708403866472,0.011118977213117907,19.89974396903672,0.6048787404589562,1.0000000006877605,1.7702505335872523,5.798886746537661
200.0,23.200197844866473,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1219.5602974116296,16.076667385045482,0.989101760925923,0.004492681062052839,0.006405558012024306,0.12342392349521837,0.7659962627086415,0.11057981379614013,,,,,
200.0,43.87642873700355,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1217.348709425394,21.594895520674715,0.9821471113235805,0.00922066516420557,0.008632223512213988,0.07531351299529677,0.8461307864109977,0.07855570059370554,17.41157630791637,0.7103149791898431,1.000000000547312,1.5247518395305395,4.588878764477993
200.0,64.55265962914063,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1215.4218785013304,26.002448468194142,0.9764305171670344,0.013891047886790407,0.00967843494617513,0.05845765089156355,0.8821087073203046,0.05943364178813194,,,,,
200.0,85.2288905212777,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1213.7009218718883,29.985135056544816,0.9713136941139835,0.01843167063574117,0.01025463525027526,0.05022168420031322,0.9025150454284981,0.04726327037118865,,,,,
200.0,105.90512141341479,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1212.1538748281407,33.76951762319351,0.9665758835515826,0.022822938379874327,0.010601178068542926,0.04559074749379422,0.9154814745645959,0.038927777941609946,15.20643847759713,0.8103217954326759,1.0,1.343837218591571,3.535772723463769
200.0,126.58135230555186,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1210.7624488832466,37.4442909236805,0.9621190131473732,0.027060959449112312,0.010820027403514372,0.042806815093559464,0.9243008440236226,0.032892340882818005,14.616991026968657,0.8370978585255053,1.0000000000000508,1.300513161959334,3.2875562491752897
200.0,147.25758319768894,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1209.5133432081807,41.045705381829585,0.9578906846995865,0.03114785727277359,0.01096145802763996,0.04108927528520662,0.930574311756629,0.028336412958164293,14.079944632329937,0.861558733878254,1.0,1.26298288502019,3.074343131859698
200.0,167.93381408982603,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1208.395417797735,44.586813614860596,0.9538585291155804,0.03508845667329162,0.011053014211128026,0.04003582443816488,0.9351782779558716,0.024785897605963576,13.588874595655358,0.8840838007423365,1.0,1.2303321574418933,2.8897975847259083
200.0,188.6100449819631,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,188.61014498196312,2.523866952729396,1207.398672215725,48.069649474013175,0.9500001267604842,0.038888874748230294,0.01111099849128558,0.039416628038841266,0.9386345286629951,0.02194884329816361,13.13863970444683,0.9049519802808937,1.0,1.2019338586399935,2.7291488599829465
201.0,2.656576128922241,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1219.263112767205,7.004582140478757,0.9998965750258395,2.7563579747878363e-05,7.586139441257999e-05,0.9499657990904008,0.038915637028157035,0.011118563881442136,19.66293421534218,0.6092665473163984,1.000000000658079,1.7542010343094239,5.648548957285653
201.0,22.847540995389423,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1216.4560179492544,16.241831904932816,0.989199589520736,0.004465169092437719,0.006335241386826285,0.13133743493811104,0.7578123880914511,0.1108501769704377,18.227361405176666,0.6683432780145523,1.000000001030778,1.608403268797937,4.989590246005859
201.0,43.038505861856606,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1214.2158547828935,21.700991388575634,0.9822514805759069,0.009169609221269177,0.008578910202823876,0.08014467474022935,0.8404512808853994,0.07940404437437122,17.246592535420422,0.7118182943691885,1.0000000005005782,1.5183712503010767,4.496064220466236
201.0,63.22947072832379,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1212.2537482956889,26.0541488988946,0.9765313426683985,0.013826601137574149,0.009642056194027318,0.062065043940029624,0.8776622317509891,0.060272724308981285,,,,,
201.0,83.42043559479097,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1210.491848484387,29.981053083396894,0.9714071216042254,0.018362511087950128,0.010230367307824445,0.05317358295414576,0.8988223364786211,0.04800408056723313,,,,,
201.0,103.61140046125816,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1208.898722540677,33.709690698511146,0.9666581257258168,0.022756473805538933,0.010585400468644387,0.04813550097080733,0.9122977432113953,0.03956675581779749,15.088661699796146,0.8100711263727007,1.0,1.342848961028475,3.4793149162464885
201.0,123.80236532772534,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1207.4566566957046,37.33063446743889,0.9621861390151144,0.027003582696991987,0.010810278287893643,0.045075796509420285,0.9214820651815019,0.03344213830907783,14.509414188628282,0.8364937317294568,1.0000000000180127,1.3005472876585158,3.23785070231383
201.0,143.9933301941925,0.9500000000000001,0.03888900000000001,0.011111000000000001,306.47,96.6,184.3753599271269,2.656476128922241,1206.1529675013599,40.88176433718911,0.957938862422983,0.03110509226518419,0.010956045311832975,0.04316103196152799,0.9280278314164654,0.02881113662200665,,,,,
