temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon
200.0,2.523535040819802,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1222.3313747729503,6.882184755588585,0.9997083666344364,3.670943272436586e-06,0.000287962422291,0.9499638359576074,0.0055600394540593,0.0444761245883332,19.87996497814305,0.6054574546273301,1.0000000005606506,1.7675781477615575,5.794297908883377
200.0,6.902322963464242,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1220.8492261799042,16.543362206688812,0.9901949110113084,0.0001537267050114,0.0096513622836802,0.3663753825077372,0.0839962703240053,0.5496283471682575,18.838180440004148,0.6406924153970011,1.0000000010448606,1.6373550579861358,5.464064477772169
200.0,11.281110886108682,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1219.4094896310717,25.76078168176573,0.9812590548151237,0.0003783441714804,0.0183626010133958,0.2354877079949266,0.123905667164569,0.6406066248405043,17.90165654915292,0.6726782673611247,1.0000000011332215,1.5299310124673935,5.163904282156625
200.0,15.65989880875312,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1218.0615308683052,34.09726840244346,0.9732503441864784,0.0007166725099249,0.0260329833035967,0.1782001225582015,0.1661984547432217,0.6556014226985767,17.094554032118346,0.700629122289515,1.0000000008100856,1.4443967524804129,4.906374997828196
200.0,20.03868673139756,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1216.8628270510226,41.0691610205043,0.9665468101973412,0.0012090429058764,0.0322441468967822,0.1461960929055935,0.2167206326123746,0.637083274482032,16.43890284626024,0.7237630702892048,1.0000000007097585,1.3805923049342108,4.696405665755023
200.0,24.417474654042003,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1215.8459667921138,46.42186736201072,0.9613163236484488,0.0018704091448583,0.0368132672066927,0.1257333697377461,0.2740097530975767,0.600256877164677,15.936008383631222,0.7418615423426538,1.0000000001994949,1.3357265986683868,4.530953056261178
200.0,28.79626257668644,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1214.9965531863072,50.3138959113201,0.9573790819892888,0.0026760435130268,0.0399448744976845,0.1114315637266759,0.3328379859329322,0.555730450340392,15.55883969177592,0.7556446646777438,1.0000000001148872,1.3049639616634254,4.40044543125082
200.0,33.17505049933088,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1214.273007425006,53.13387379534691,0.9543773317356374,0.0035821720190108,0.0420404962453516,0.1008011445989512,0.388477049498761,0.5107218059022877,15.269408231229775,0.7663659781925922,1.0000000001160112,1.2833150397962234,4.293856159947355
200.0,37.55383842197532,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1213.6356228531154,55.24439895490308,0.951990631662259,0.0045505979897983,0.0434587703479426,0.0925543930539063,0.4386233289320911,0.4688222780140025,15.036583503351826,0.7750807403914692,1.0000000001490514,1.2672888994284188,4.202710791570219
200.0,41.93262634461976,0.95,0.005556,0.044444,305.49,89.5,41.932726344619766,2.523435040819802,1213.056620931922,56.8970064664617,0.950000721482796,0.0055556014836655,0.0444436770335386,0.0859585560340836,0.4828156533854787,0.4312257905804375,14.840004931767082,0.7825188944372051,1.00000000018557,1.2547334559735948,4.121646614419598
201.0,2.656095949890016,0.95,0.005556,0.044444,305.49,89.5,41.66297568902112,2.655995949890016,1219.23858165034,7.219132214449983,0.9996924354970838,3.942649247851435e-06,0.0003036218536684,0.9499656960986064,0.0055598327207348,0.0444744711806589,19.64253945076978,0.6098987461852182,1.0000000005710046,1.75157300239598,5.643911551957987
201.0,6.99018258757125,0.95,0.005556,0.044444,305.49,89.5,41.66297568902112,2.655995949890016,1217.7536759424036,16.749661133182638,0.9902687822212518,0.0001548834478467,0.0095763343309014,0.3804316917093729,0.0819502847982854,0.5376180234923417,18.63054594610613,0.6442305978588309,1.0000000010019037,1.6258114814706637,5.331030491160783
201.0,11.324269225252484,0.95,0.005556,0.044444,305.49,89.5,41.66297568902112,2.655995949890016,1216.3096088091306,25.85042723702899,0.9814056151887964,0.0003795863058144,0.018214798505389,0.2464516487657129,0.1215179799821651,0.6320303712521219,17.718697198018546,0.6755514121771696,1.0000000010684114,1.5219166361426248,5.0459941728287
201.0,15.658355862933718,0.95,0.005556,0.044444,305.49,89.5,41.66297568902112,2.655995949890016,1214.9539726450137,34.10243398537115,0.9734382217077436,0.0007164159600005,0.0258453623322559,0.1870446121205554,0.1630929823041239,0.6498624055753207,16.929916180341184,0.7030401432202574,1.000000000745927,1.4387947337250715,4.80026996928565
