T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4099641749,0.98,0.005135,0.000734,0.00909,0.005041,0.027796556926860026,0.00015072879493966917,0.9857370284271896,6.243161269794429e-06,7.922005055409883e-06,3.88874274590353e-05,0.014209918979026223,0.9788300186984652,0.006180933391752923,0.0008820727676919032,0.010935839288118629,0.0031711358539713895,0.027400095425590215,1.7353838763940855e-07,2.2020446449757375e-07,1.0809365911042144e-06,0.0003949868218265711,0.0001475378691691935,9.316446417412802e-07,1.3295376532329933e-07,1.6483458775520106e-06,4.779814858590862e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.075198274920623,-0.018074670385175295,-0.01913976823059471
200.0,3.0713145527,0.98,0.005135,0.000734,0.00909,0.005041,0.027781957561968045,0.00019165101972023097,0.9938708141871808,9.900485193466737e-05,0.00011007522144199342,0.0005909240368249937,0.005329181702617556,0.782964570025089,0.07667149785516264,0.009596874619774877,0.12981968927384788,0.0009473682261255439,0.027611676781826886,2.7505485948778587e-06,3.058105130725696e-06,1.641702651341882e-05,0.00014805509990213755,0.0001500559582501205,1.4694170747419422e-05,1.839250807007059e-06,2.4880075829096477e-05,1.8156408658750686e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.92315243397977,-0.0870696110752256,-0.10302097606814087
200.0,3.7326649306,0.98,0.005135,0.000734,0.00909,0.005041,0.027780640958742345,0.00023260474274074664,0.9932495380253139,0.00020059510208448922,0.00019609020908743034,0.001141303135012729,0.005212473528501578,0.6500999462953277,0.127996675457124,0.01412740802458833,0.2070044871037389,0.0007714831192210293,0.027593108798317948,5.572660509091463e-06,5.447511694182618e-06,3.1706132618875663e-05,0.00014480585560225118,0.0001512163307637979,2.977263376637517e-05,3.2861021091529285e-06,4.815022546894539e-05,1.794506324752363e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.874272152044217,-0.16346169884513628,-0.19407518297620285
200.0,4.3940153084,0.98,0.005135,0.000734,0.00909,0.005041,0.02777960377005418,0.00027362647358532705,0.9925786563862784,0.0003088124386192498,0.00026747530755410847,0.0016737425379964664,0.005171313329551761,0.5568673325704163,0.16748283379488635,0.016427396136628265,0.2585650397717599,0.0006573977263090416,0.02757344178502357,8.578687184106937e-06,7.430358062126513e-06,4.649590451862669e-05,0.00014365703526574754,0.00015237364446611055,4.582773719737219e-05,4.494970475054817e-06,7.07502400251965e-05,1.7988142159295503e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.828127706764228,-0.23751355017830988,-0.28222804696883586
200.0,5.0553656863,0.98,0.005135,0.000734,0.00909,0.005041,0.02777876610372562,0.0003147041160736501,0.9919130622923006,0.0004237199962058608,0.0003274026600877165,0.0021867065886700837,0.0051491084627357615,0.4878643912140645,0.19976074743076247,0.01753077521184448,0.2942691103122578,0.0005749758310706846,0.02755412095264804,1.1770418668074114e-05,9.09484191631426e-06,6.0744010864142004e-05,0.0001430358796290509,0.0001535329320008316,6.286552944640977e-05,5.5170071171293734e-06,9.260770024859852e-05,1.8094726068081218e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.783961507228135,-0.3091553646103371,-0.36744852064608935
200.0,5.7167160641,0.98,0.005135,0.000734,0.00909,0.005041,0.027778114750661023,0.00035582802391678146,0.9912627528267313,0.000545359485285398,0.0003782148205232977,0.0026791277283735484,0.005134545139086362,0.4347393369026657,0.2273320479980736,0.01795853345697465,0.31945785763093265,0.0005122240113534234,0.027535410496077075,1.5149058362619215e-05,1.0506094684896827e-05,7.442111747043823e-05,0.00014262798406598973,0.00015469243916896744,8.089111341210945e-05,6.390149472438696e-06,0.00011367205820550328,1.822636577626157e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.741565451757253,-0.37838504584921395,-0.4497651852335629
200.0,6.3780664419,0.98,0.005135,0.000734,0.00909,0.005041,0.027777646346504172,0.0003969899994077005,0.9906304521284446,0.0006737367651130981,0.000421671124282694,0.0031502879152170826,0.0051238520669425695,0.3925790971288164,0.2516569019585324,0.017992768296005362,0.3373084984683796,0.00046273414826632637,0.027517382359301464,1.871482159194939e-05,1.1713031364857481e-05,8.750758359856604e-05,0.00014232855064733513,0.00015584997553664442,9.990527335946153e-05,7.142949075174061e-06,0.00013390810060717439,1.837008292461717e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.700832972485614,-0.4452251660362059,-0.5292255500127006
200.0,7.0394168198,0.98,0.005135,0.000734,0.00909,0.005041,0.027777359267370884,0.0004381828115809881,0.9900168870081721,0.0008088170377211488,0.0004591163831636921,0.0035997676888923236,0.005115411882050575,0.3583063721498733,0.2736376174667114,0.0177945291692025,0.34983882150989914,0.00042265970431377606,0.027500054751190123,2.2466801438351018e-05,1.2753040720673784e-05,9.999204037343546e-05,0.00014209263364829667,0.00015700369355601534,0.0001199033005758865,7.797256822121055e-06,0.00015329335840938706,1.8520221757819947e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.66168942735954,-0.5097158319968145,-0.6058912124486255
200.0,7.7007671976,0.98,0.005135,0.000734,0.00909,0.005041,0.02777725164631797,0.00047939998134304945,0.989422056837023,0.0009505230317598977,0.0004915953678010977,0.004027410239409914,0.005108414524006151,0.32989607022811546,0.2938559202987967,0.0174594567355388,0.3583990261618963,0.00038952657565296693,0.02748342545717951,2.6402917448815766e-05,1.3655168239575329e-05,0.00011187038770304688,0.0001418977157470245,0.00015815216991250388,0.00014087452270878777,8.37006323327708e-06,0.00017181648645538016,1.8673903310065428e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.624072012468197,-0.5719117723654179,-0.6798364936045083
200.0,8.3621175754,0.98,0.005135,0.000734,0.00909,0.005041,0.02777732077733268,0.000520635686261049,0.9888456334006109,0.0010987354590377596,0.0005199317670672367,0.004433290892827288,0.005102408480456816,0.30596128565955755,0.3126990192979525,0.01704603442109245,0.36393199689299266,0.0003616637284048109,0.027467482358233482,3.051992729512172e-05,1.4442311476152049e-05,0.00012314494322929117,0.00014173123709863158,0.00015929436392867662,0.00016280226850534654,8.874773828854932e-06,0.0001894759849547372,1.8829504343376838e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.587921864480016,-0.6318801882932412,-0.7511472704401143
