T,P,z_carbon dioxide,z_argon,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_argon,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4759708397,0.97,0.028501,0.001499,0.027781091219021194,0.00015492233018103618,0.9956824936431404,0.00033189365431869654,0.003985612702540855,0.9634938261353478,0.035637110147381565,0.0008690637172705267,0.027661146181082574,9.220367885641997e-06,0.00011072467005297707,0.00014926670865993022,5.520984144950602e-06,1.346373761553432e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.938696802397185,-0.012441769590015639,-0.0190614935785014
200.0,2.7375702005,0.97,0.028501,0.001499,0.02777726141056735,0.00017126016357245168,0.996905094757575,0.0012687956984719535,0.0018261095439530489,0.8765215727452148,0.12311592894653835,0.0003624983082469152,0.027691293418607574,3.524366979305884e-05,5.072432216671576e-05,0.0001501132279231281,2.1084854129758495e-05,6.208151956510371e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.855851171226874,-0.03527895358888955,-0.06050397754633252
200.0,2.9991695613,0.97,0.028501,0.001499,0.027776472528781713,0.0001876222223986296,0.9960949578197402,0.0022198755054821336,0.0016851666747775694,0.8029384795396682,0.19675437093053472,0.0003071495297970023,0.027668004231937993,6.16603109953399e-05,4.6807985848377584e-05,0.00015064910198060914,3.6915492340631244e-05,5.762807738920768e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.795791270322585,-0.060061302035421704,-0.10410326185586527
200.0,3.2607689222,0.97,0.028501,0.001499,0.027775812022130947,0.00020401777033133932,0.9951944459854001,0.0031719429582743063,0.0016336110563255875,0.7409931642672148,0.25873139318197996,0.0002754425508052719,0.027642333857159224,8.810329135394908e-05,4.537487361777429e-05,0.00015117577320456103,5.278580195170864e-05,5.619517506966823e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.73681435698392,-0.08469821439235048,-0.1475014720616734
200.0,3.522368283,0.97,0.028501,0.001499,0.027775181411866544,0.00022044653489265882,0.9942690353998488,0.004124597542284318,0.0016063670578669686,0.688164754966414,0.3115830939735591,0.0002521510600268468,0.02761600283043236,0.00011456144498788582,4.461713644630138e-05,0.0001517035356676016,6.868741339760479e-05,5.5585827452429196e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.678185669955287,-0.10911912490390563,-0.19061987896471067
200.0,3.7839676438,0.97,0.028501,0.001499,0.027774559072200066,0.0002369081642278089,0.9933330379961025,0.005077776016938382,0.0015891859869591935,0.642589074346075,0.3571774221347628,0.00023350351916220043,0.027589387142190704,0.00014103298993785586,4.413894007151068e-05,0.00015223459795617566,8.461824738156781e-05,5.5318890065449904e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.619742984509127,-0.1333116128382663,-0.23344472674781258
200.0,4.0455670046,0.97,0.028501,0.001499,0.027773937470168736,0.00025340238837311975,0.9923913955931065,0.006031471563167579,0.001577132843725894,0.602873722418351,0.39690833306363904,0.00021794451800998373,0.027562616567136426,0.0001675177140485172,4.380318898379238e-05,0.00015276964114820338,0.00010057751956351983,5.522766139655829e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.5614293949648,-0.15726817216247824,-0.2759683138220801
200.0,4.3071663655,0.97,0.028501,0.001499,0.02777331327489715,0.00026992901678653676,0.991446264000347,0.006985690322306008,0.0015680456773469516,0.5679600173863806,0.4318353396596608,0.00020464295395855676,0.02753574768530802,0.000194015765762822,4.354982382630519e-05,0.00015330888906717004,0.00011656488864801238,5.5239071354325736e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.503219598634317,-0.18098887199648317,-0.3181907744023107
200.0,4.5687657263,0.97,0.028501,0.001499,0.027772684772278608,0.00028648792203516077,0.9904987304672742,0.00794044171992562,0.001560827812800098,0.5370292423981287,0.46277767432640526,0.00019308327546614754,0.02750880900860976,0.00022052738484014403,4.3348378828702205e-05,0.00015385239172675653,0.00013258021428203621,5.531602636803915e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.44510053801774,-0.20447360066026832,-0.3601121268672145
200.0,4.8303650871,0.97,0.028501,0.001499,0.02777205098026951,0.0003030790256413023,0.9895494008730805,0.008895735415485018,0.001554863711434394,0.5094385121089282,0.4903785729324691,0.00018291495860262935,0.02748181640854234,0.0002470528174658389,4.318175426132705e-05,0.00015440012787412872,0.00014862346007974502,5.543768742850405e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.387064754749684,-0.22772278037813365,-0.40173292714450426
