T,P,z_carbon dioxide,z_argon,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_argon,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_carbon monoxide,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_carbon monoxide,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.3887617599,0.95,0.035038,0.001379,0.013583,0.02785042849309427,0.0001492458837511118,0.9485519304904875,0.0003188883254549939,5.9434582112451195e-06,0.051123237725846364,0.9500831909557976,0.0370325976803424,0.0014578814938268926,0.011426329870033126,0.026417577712111846,8.88117650536688e-06,1.655278579139762e-07,0.0014238040766191434,0.00014179600547127434,5.526962768402075e-06,2.1758281195058566e-07,1.7053326994848204e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.491198448988712,-0.0543484220631818,-0.06100677745028449
200.0,2.7433081956,0.95,0.035038,0.001379,0.013583,0.02780024645551399,0.00017153433642207508,0.9814570393227534,0.0013259508609443872,2.5206370569713948e-05,0.017191803445732453,0.8611906746067493,0.13021365562815326,0.005201022082809947,0.003394647682287806,0.02728474757867163,3.686176072215492e-05,7.007433140870623e-07,0.0004779363728061168,0.00014772377090154791,2.2336113011267873e-05,8.921538716913631e-07,5.82298637567974e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.029733407289147,-0.05441877923071914,-0.08151871464298566
200.0,3.0978546314,0.95,0.035038,0.001379,0.013583,0.027796891800450533,0.0001937229116535831,0.9819288249326389,0.0025402057706729055,4.922582322808093e-05,0.015481743473459974,0.7674882788539297,0.22080206650600404,0.00898026231548671,0.0027293923245795366,0.027294569302396095,7.060982495827482e-05,1.3683248820590701e-06,0.0004303443482140981,0.00014868006403958035,4.27744192226712e-05,1.7396825631690337e-06,5.287458281624893e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.93320325321255,-0.08814725459988182,-0.1398969230979823
200.0,3.4524010671,0.95,0.035038,0.001379,0.013583,0.02779525617664995,0.0002159669303226766,0.9812258257550693,0.003760789522480095,7.43147485916482e-05,0.014939069973858951,0.6920685967166853,0.2933938511000984,0.012155954319107758,0.0023815978641085825,0.027273423194007038,0.00010453210820379527,2.065597474808198e-06,0.0004152352769643088,0.00014946393040562493,6.33633693976367e-05,2.6252841394403845e-06,5.143463799745737e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.85003502837384,-0.12272366493267484,-0.19914369784553543
200.0,3.8069475029,0.95,0.035038,0.001379,0.013583,0.027794006881044105,0.00023826981776525462,0.9802511194629362,0.004981875171548131,0.00010041723670954468,0.014666588128806082,0.6304400731802406,0.35253808664748354,0.01488540311908793,0.00213643705318794,0.027245106359504036,0.00013846627279851152,2.7909973680805196e-06,0.00040764325137347603,0.00015021484134856972,8.399918566080744e-05,3.546742288547434e-06,5.09048467330028e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.77009917380726,-0.15718445793380909,-0.2581751470881457
200.0,4.1614939386,0.95,0.035038,0.001379,0.013583,0.027792896942092436,0.0002606316832497519,0.9791716130918742,0.006202337049702349,0.0001275691709675406,0.014498480687455852,0.5792018857232869,0.4015658780509933,0.0172858403276689,0.0019463958980507924,0.027214015731284867,0.00017238091442249904,3.5455168216890263e-06,0.000402954779563378,0.0001509583624174907,0.00010466079073209499,4.505237660986789e-06,5.072924391793906e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.691524009633476,-0.1913511454909127,-0.3167906662165194
200.0,4.5160403744,0.95,0.035038,0.001379,0.013583,0.027791846804149402,0.00028305235422401774,0.9780409076245857,0.007421751928770349,0.00015582382171398112,0.014381516624930021,0.5359520334268016,0.4428155053275443,0.019440241674504675,0.0017922195711494843,0.027181563072893725,0.00020626419262278586,4.330631781512052e-06,0.0003996889068513829,0.00015170248481260565,0.0001253399712698595,5.502606172652409e-06,5.07291968900221e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.613709894446743,-0.22517246969661642,-0.37493165373116355
200.0,4.8705868101,0.95,0.035038,0.001379,0.013583,0.027790822929369595,0.0003055316968730732,0.9768814893175582,0.008639876251215267,0.0001852424106176744,0.014293392020608843,0.49896751287160235,0.47796031242413617,0.021408524711483457,0.00166364999277804,0.027148340492603118,0.00024010927102918904,5.148039032485363e-06,0.00039722512670480465,0.00015245039089219764,0.00014603202529293052,6.5409828826486605e-06,5.082978052963505e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.536407136935576,-0.25862944139576527,-0.4325756485237804
200.0,5.2251332459,0.95,0.035038,0.001379,0.013583,0.02778980862630772,0.0003280696548248522,0.97570446209509,0.009856521938696877,0.00021589215965370196,0.014223123806559467,0.46698476924909427,0.508225783172968,0.02323508085533014,0.0015543667226075957,0.027114640277457067,0.0002739108583973898,5.999601800696651e-06,0.000395257888652569,0.00015320353205601362,0.0001667334572586458,7.622724956035691e-06,5.099405541571108e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.459494497111162,-0.29171559386887225,-0.48971400255141617
200.0,5.5796796816,0.95,0.035038,0.001379,0.013583,0.02778879456258107,0.00035066624203641345,0.9745159597315836,0.01107151660651152,0.000247845964446549,0.01416467769745835,0.43905745507586685,0.5345287869005539,0.024953631707455133,0.0014601263161239898,0.027080623802937503,0.00030766410047455335,6.887340589169922e-06,0.000393619318579844,0.00015396262780952564,0.00018744120096270012,8.750396256013983e-06,5.120170081736717e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.38290714346154,-0.324430107921966,-0.5463441874841877
200.0,5.9342261174,0.95,0.035038,0.001379,0.013583,0.027787775033370113,0.00037332152930958897,0.973319665604697,0.0122846879253169,0.0002811825656189798,0.014114463904367065,0.4144632523414145,0.5575684236130324,0.02659040689997223,0.0013779171455810132,0.027046387903378346,0.00034136414442386423,7.813437876726041e-06,0.0003922095476911748,0.00015472805520672295,0.00020815229659795398,9.92677136886188e-06,5.144061360502074e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.306608321032503,-0.35677506207281695,-0.6024667315535304
200.0,6.2887725531,0.95,0.035038,0.001379,0.013583,0.02778674628614133,0.00039603563212961437,0.9721179434169159,0.013495856029911305,0.00031598691442931757,0.014070213638743428,0.3926414898100699,0.577886719844487,0.028166273053286867,0.001305517292156248,0.027011994653931337,0.000375005927417436,8.780248220988098e-06,0.000390965456571569,0.00015550002061724458,0.0002288637323929208,1.1154847753393788e-05,5.170313660552421e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.230576657715957,-0.3887546796903365,-0.6580843229487527
200.0,6.6433189889,0.95,0.035038,0.001379,0.013583,0.027785705687669315,0.0004188087009476408,0.9709123957424538,0.014704830542785648,0.0003523507007812062,0.014030423013979346,0.37315041794419024,0.5959101472046793,0.029698195297647983,0.0012412395534825448,0.026977486076609738,0.00040858409364889265,9.79031287075063e-06,0.00038984520453993235,0.00015627864179727555,0.00024957235463230913,1.2437862593097287e-05,5.198419249588543e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.154799811260542,-0.420373688835312,-0.7132001219540776
200.0,6.9978654246,0.95,0.035038,0.001379,0.013583,0.027784651281919596,0.00044164091378097627,0.9697041645866441,0.015911406450051627,0.00039037287414999365,0.013994056089154354,0.35563731973718876,0.6119786440276243,0.03120026269382774,0.0011837735413592124,0.02694289205966507,0.0004420928796195707,1.0846374178178258e-05,0.0003888199684567772,0.00015706399086334928,0.00027027480756280274,1.3779312526308587e-05,5.228028285156248e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.079271213697872,-0.4516382172392639,-0.7678185888766365
200.0,7.3524118604,0.95,0.035038,0.001379,0.013583,0.02778358153460376,0.0004645324704609356,0.96849410055959,0.017115362852044267,0.0004301603183644583,0.01396037627000135,0.3398171852701533,0.6263663074829258,0.032684424440743064,0.0011320828061779087,0.026908234808680098,0.00047552607929410024,1.1951394278230037e-05,0.00038786925235133,0.00015785611657862577,0.0002909674882285375,1.518297643105216e-05,5.258892227201724e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.003988130437286,-0.4825548959631405,-0.8219445795938398
200.0,7.7069582961,0.95,0.035038,0.001379,0.013583,0.027782495181079274,0.00048748358822514305,0.9672828648526641,0.018316460851077146,0.00047182855915564234,0.01392884573710298,0.3254572275479839,0.6392964090520918,0.034161028418563145,0.0010853349813610268,0.026873531531509696,0.000508876985329478,1.3108574671037211e-05,0.00038697808956906013,0.00015865505709889807,0.00031164650742416253,1.6652940710942248e-05,5.290829911401421e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.928950562986596,-0.5131312041969522,-0.8755836673821094
200.0,8.0615047319,0.95,0.035038,0.001379,0.013583,0.027781391130376847,0.0005104944982701101,0.9660709928900548,0.01951444166987715,0.0005155025513556723,0.013899062888712285,0.3123654568889032,0.6509524672020657,0.03563922305595352,0.0010428528530776289,0.026838796113190122,0.0005421383367217814,1.432137800791911e-05,0.00038613530245702147,0.00015946084719141435,0.0003323076531420088,1.819362729268553e-05,5.32370644001417e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.85416057528163,-0.5433749701177035,-0.9287416274294387
200.0,8.4160511676,0.95,0.035038,0.001379,0.013583,0.027780268402221437,0.0005335654429986825,0.9648589357175195,0.020709024706094488,0.0005613175425459167,0.01387072203384008,0.30038212656998875,0.6614865314303499,0.037127262813066435,0.0010040791865951202,0.02680404020451441,0.0005753022646835398,1.5593551990800915e-05,0.00038533238103268425,0.00016027352243220237,0.00035294635418029656,1.9809824430182305e-05,5.357419560013821e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.77962187742975,-0.5732946583503633,-0.981424708839203
200.0,8.7705976034,0.95,0.035038,0.001379,0.013583,0.027779126084037535,0.0005566966737974995,0.963647087890905,0.021899905468490157,0.0006094200177343679,0.013843586622870474,0.2893732426762885,0.6710254617315271,0.03863274469993755,0.0009685508922467358,0.026769273955037053,0.0006083602352376912,1.6929155510779394e-05,0.0003845627382520143,0.00016109312168388645,0.00037355764257937247,2.1506720474123213e-05,5.391890601173582e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.705339568032002,-0.6028992859325335,-1.0336395350675183
200.0,9.1251440391,0.95,0.035038,0.001379,0.013583,0.027777963300433695,0.0005798884491900406,0.9624358069148189,0.023086753359835267,0.0006599687297624202,0.01381747099558338,0.27922558002491565,0.6796757454994763,0.04016279477433236,0.0009358797012756517,0.026734506523503128,0.0006413029875556684,1.8332587154774352e-05,0.00038382120222012217,0.00016191968857483791,0.000394136114009776,2.3289940776825457e-05,5.427058286011761e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.6313199782151,-0.6321984499373485,-1.0853931153955152
