temperature,pressure,z_carbon dioxide,z_argon,z_nitrogen,z_methane,z_oxygen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_argon,x_nitrogen,x_methane,x_oxygen,y_carbon dioxide,y_argon,y_nitrogen,y_methane,y_oxygen,gamma,interfacial_thickness,E_carbon dioxide,E_argon,E_nitrogen,E_methane,E_oxygen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4671083903266333,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.02932844020835275,7.752656520389766,2.442681574580825,1222.1071870247133,6.732715577913588,0.9995948454597452,6.860062567647141e-05,1.3184705187329913e-05,0.00019221582075911,0.0001311533886319161,0.9706029270483502,0.007363092596239987,0.003565174454641027,0.006092114889771954,0.012376691010997101,19.88149591864567,0.6053384075895388,1.0000000003549003,4.619414285355157,6.152041688122655,3.7378234253167633,3.995811250745508,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.646695340839021,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.031463330252484795,7.752656520389766,2.442681574580825,1221.5010123993293,7.080129961473309,0.9986520222527885,0.00023668824777925304,4.646084910579389e-05,0.0006144028182755179,0.00045042583205087255,0.9068044766345633,0.02368632819635501,0.011704232370784164,0.01817141382708215,0.03963354897121533,19.80858514130104,0.6075516730165852,1.000000000351329,4.596410052280822,6.118619595761602,3.717211563940845,3.9768618275185075,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.8262822913514083,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.03359822029661683,7.752656520389766,2.442681574580825,1220.9443024001132,7.4320053421486625,0.9977466290348597,0.00040908333762304457,8.209217939506464e-05,0.0009873586677452805,0.0007748367803769676,0.8510655076962392,0.03834396168348117,0.019354913619387407,0.027373988924626936,0.06386162807626515,19.737954454214588,0.6097441578637003,1.0000000007651697,4.5743285200002095,6.086730063511861,3.69744852032261,3.9586877627040833,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0058692418637953,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.03573311034074887,7.752656520389766,2.442681574580825,1220.4305468893565,7.787736508774977,0.9968743394387243,0.0005850636477528723,0.000120134880468009,0.0013176047974116367,0.0011028572356430824,0.8019532417505919,0.05156888932702352,0.026615765861448062,0.03438011375878095,0.08548198930215543,19.669325206282007,0.6118460015419558,1.0000000007955834,4.553055689028414,6.056016287945086,3.678429896284435,3.941195264022871,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.185456192376183,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.03786800038488092,7.752656520389766,2.442681574580825,1219.9540538155475,8.1467869519573,0.9960314020697807,0.0007639696819464425,0.00016065769948524604,0.00161084487662498,0.0014331256721625077,0.7583550613001213,0.06354723648416942,0.03356589819583896,0.03969791094621248,0.1048338930736579,19.60245597295419,0.6139329046808158,1.000000000829398,4.532494313158129,6.026229012545546,3.6600669333259988,3.924300879981993,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.3650431428885703,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.040002890429012956,7.752656520389766,2.442681574580825,1219.5099016302095,8.508684739600287,0.995214609298535,0.0009452007069624663,0.00020374221971247337,0.001872011936593788,0.0017644358381962517,0.7193939428897472,0.0744303757994988,0.04027015674640139,0.043710000616091677,0.12219552394826091,19.53714027203406,0.6159562913378714,1.0000000003551905,4.512560769470256,5.997247091714946,3.642283417319348,3.9079348157220686,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.544630093400958,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.042137780473145,7.752656520389766,2.442681574580825,1219.0938656209717,8.87301608755386,0.9944212473953977,0.0011282082593689511,0.0002494826419067976,0.002105341786387223,0.0020957199169393302,0.6843693173325796,0.08434315608153091,0.04678265797697473,0.04670666928899797,0.13779819931991685,19.47320306683824,0.6179541120711151,1.0000000003603657,4.4931846700746725,5.9689734571853,3.6250153106129206,3.892035976504288,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7242170439133453,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.04427267051727705,7.752656520389766,2.442681574580825,1218.7023347107006,9.239418101402453,0.9936490395258484,0.001312488747409693,0.00029798525508940285,0.00231445608520006,0.0024260303864523927,0.6527148707529353,0.09338971566681763,0.05314925801984497,0.04890971828534058,0.1518364372750614,19.410496246354917,0.6199209058505645,1.0000000003679672,4.474306022738896,5.941323778030981,3.6082080208581964,3.876554617417207,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.903803994425733,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.046407560561409086,7.752656520389766,2.442681574580825,1218.3322287141111,9.607571583173089,0.9928960886007169,0.001497576123945297,0.00034936770569183966,0.00250244502798237,0.0027545225416636594,0.6239678890686489,0.10165771345527574,0.059409314433325124,0.05048976777020842,0.1644753152725419,19.348895065279944,0.6218430280297569,1.0000000003770633,4.455874501590491,5.914228733161733,3.5918157614867856,3.861448235611248,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.08339094493812,0.97999902000098,0.004998995001004999,0.0024139975860024143,0.00417999582000418,0.00840799159200841,307.69,84.12,0.6500048750365628,0.04854245060554113,7.752656520389766,2.442681574580825,1217.980921632435,9.97719440061571,0.9921608241424812,0.0016830350808607678,0.0004037580848112274,0.0026719441444880655,0.0030804385473587642,0.5977466316569737,0.10922149228681283,0.06559696300242673,0.05157891361256294,0.1758559994412238,19.288292676190185,0.6237688771222999,1.0000000003899878,4.437847806994842,5.887630363048131,3.575800018768668,3.84676094673556,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
