Complexity,Loss,Equation
1,841.5836302057926,"Pc"
3,698.3287196880646,"z_hydrogen * 3028.234741181909"
4,437.80336167504777,"safelog(z_argon) * -21.88181300275008"
5,353.74661667244555,"(-5.503165784488831e6 / Tc) - -18064.394241746166"
7,213.18152998220003,"((z_hydrogen * 449834.5857399423) + 9247.421628780825) / temperature"
8,153.70580840803768,"square((z_hydrogen * (temperature + -343.1550275172044)) + -6.6471508040579925)"
9,109.47906932174573,"((z_hydrogen / (temperature + -162.56592451999722)) * 124821.0714499425) - -42.41766134981933"
11,70.88569031329851,"(((z_hydrogen * 124818.35625327093) + -897.2561599051012) / (temperature + -168.75303783291267)) - -51.00757552007077"
14,57.98904186086201,"square((temperature + -299.0790412575443) * (z_hydrogen * 3.0557907476206823)) - ((temperature * temperature) * -0.0009446926801690102)"
15,54.086995551855324,"abs(((z_argon + -0.28867071176202247) * temperature) - square((z_hydrogen * (temperature + -282.58169390514536)) * -3.4668928089482915))"
16,15.404203871555453,"(((z_hydrogen * 0.39036888569168543) / square(inv_(Tc - temperature))) - (square(temperature) * -0.0016849321950002526)) - 61.739038422850115"
17,12.48897849131553,"(((z_hydrogen * 0.3810748211758342) / square(inv_(temperature - Tc))) - (square(square(temperature)) * -1.2900711724666804e-8)) - 8.312334626770108"
18,12.488978491315525,"abs((((z_hydrogen * 0.3810748211758342) / inv_(square(temperature - Tc))) - (square(square(temperature)) * -1.2900711724666779e-8)) - 8.312334626770108)"
19,11.340062186524403,"((((z_hydrogen + inv_(temperature)) / inv_(square(Tc - temperature))) * 0.38156565108785273) - (square(temperature) * -0.0020579149079421213)) - 91.07375186252733"
20,11.314133438644157,"((((0.414494279407577 / temperature) + (z_hydrogen * 0.38064199361447476)) / inv_(square(temperature - Tc))) - (square(temperature) * -0.002089172053357513)) - 93.53063869155224"
21,6.695838349299504,"((((z_hydrogen + inv_(Pc)) / inv_(square((temperature + -11.94357350101565) - Tc))) * 0.3019936989748157) + -129.44719122693462) - (square(temperature) * -0.0024406751475647332)"
22,5.039391248412443,"((((z_hydrogen + (2.8453078578317936 / temperature)) * 0.2577288836559086) / inv_(square(temperature - (Tc - -18.074599677150335)))) - (square(temperature) * -0.0024813036557093677)) - 134.26999224563866"
24,4.208863622768325,"((((z_hydrogen + 0.18420038725756727) * (z_hydrogen + (4.244895144391316 / temperature))) / square(inv_(temperature - (Tc - -18.95835293404953)))) - (square(temperature) * -0.002428047550562372)) - 129.74548480863538"
26,4.184712489476155,"((((z_hydrogen + (4.009111814999784 / temperature)) * ((z_hydrogen / 1.1733548774220934) + 0.19473907024586956)) / square(inv_(temperature - (Tc - -19.07201502498795)))) - (square(temperature) * -0.002445254495056935)) - 131.32228282143916"
28,3.790548492463337,"((((z_hydrogen + 0.1945926702633353) * ((4.119941309440288 / temperature) + z_hydrogen)) / inv_(square(temperature - (Tc - -14.657927730433011)))) - (square(temperature) * -0.002355755257185872)) - (131.25223856956322 / (z_hydrogen + 1.056729643545935))"
29,3.779928238623852,"(((((4.078994930427646 / temperature) + z_hydrogen) / square(inv_(temperature - (Tc - -14.327574341504844)))) * (z_hydrogen + 0.19630199469303317)) - (square(temperature) * -0.0023508709505072355)) - (131.2319995886285 / (abs(z_hydrogen) + 1.0616928624464763))"
30,3.779327843947789,"(((z_hydrogen + 0.19690783071235665) * ((z_hydrogen + (4.070043885153066 / temperature)) / square(inv_(temperature - (Tc - -14.239944369388915))))) - (square(temperature) * -0.0023525018617686667)) - ((131.23403401774766 / (z_hydrogen + 1.0606304163443092)) - z_argon)"
