T_K,gamma,rhoL,rhoV,Tc,Pc,Psat
78,9.942920876138956,0.028768370953646257,0.00010390748271563547,133.26041549790403,34.92655435098009,0.654528928955011
79,9.728052368225308,0.028625450439306453,0.0001163389949495804,133.26041549790403,34.92655435098009,0.7401300578191504
80,9.513227383663025,0.028481530745923786,0.00012987108887182094,133.26041549790403,34.92655435098009,0.8341562099642307
81,9.298484770510674,0.028336541802385172,0.00014456675325934154,133.26041549790403,34.92655435098009,0.9371442595968023
82,9.083863641923971,0.028190410642357448,0.00016049084533418197,133.26041549790403,34.92655435098009,1.049643392947763
83,8.869403238579027,0.028043061209742527,0.00017771019111379583,133.26041549790403,34.92655435098009,1.1722144628212228
84,8.655143317137732,0.027894414141618987,0.00019629370440083773,133.26041549790403,34.92655435098009,1.3054293602638691
85,8.44112400115039,0.027744386526526523,0.00021631252564811181,133.26041549790403,34.92655435098009,1.4498704068521784
86,8.227386163153218,0.027592891635620318,0.00023784018210854503,133.26041549790403,34.92655435098009,1.606129770704396
87,8.013971296756997,0.027439838623834967,0.00026095277089736467,133.26041549790403,34.92655435098009,1.77480890856687
88,7.800921803120553,0.02728513219775858,0.0002857291668589109,133.26041549790403,34.92655435098009,1.9565180360074341
89,7.5882809749979225,0.027128672246401357,0.00031225125745002136,133.26041549790403,34.92655435098009,2.1518756271934882
90,7.376093179301043,0.02697035343044644,0.0003406042072336433,133.26041549790403,34.92655435098009,2.3615079453013466
91,7.1644040038559025,0.02681006472487086,0.0003708767550302516,133.26041549790403,34.92655435098009,2.586048604298085
92,6.953260333183801,0.026647688909002053,0.00040316154731385914,133.26041549790403,34.92655435098009,2.826138162393458
93,6.742710534864966,0.02648310199710877,0.00043755551207954035,133.26041549790403,34.92655435098009,3.082423747228384
94,6.532804543251887,0.0263161726014766,0.00047416027817124125,133.26041549790403,34.92655435098009,3.355558712456413
95,6.323594063569798,0.02614676121855776,0.0005130826459672056,133.26041549790403,34.92655435098009,3.6462023252285642
96,6.115132710284635,0.02597471942715704,0.0005544351164083714,133.26041549790403,34.92655435098009,3.9550194837706907
97,5.907476191888357,0.025799888985666375,0.0005983364866627552,133.26041549790403,34.92655435098009,4.282680463946686
98,5.700682538078394,0.02562210081301222,0.0006449125222983852,133.26041549790403,34.92655435098009,4.629860693525225
99,5.4948122615973025,0.025441173835140187,0.0006942967177543852,133.26041549790403,34.92655435098009,4.997240552550554
100,5.289928623571728,0.02525691367540644,0.0007466311592394122,133.26041549790403,34.92655435098009,5.385505197988972
101,5.086097871391626,0.02506911116302761,0.0008020675070575575,133.26041549790403,34.92655435098009,5.795344410358444
102,4.883389578897973,0.02487754062855628,0.0008607681179067249,133.26041549790403,34.92655435098009,6.227452459869534
103,4.681876879012797,0.02468195794894877,0.0009229073320980148,133.26041549790403,34.92655435098009,6.682527988996692
104,4.481636879123725,0.024482098296834214,0.0009886729561524492,133.26041549790403,34.92655435098009,7.16127390782088
105,4.282751011456432,0.024277673538652077,0.0010582679781675796,133.26041549790403,34.92655435098009,7.664397298033237
106,4.085305610207401,0.024068369213802926,0.0011319125621475782,133.26041549790403,34.92655435098009,8.192609320210629
107,3.889392223519595,0.023853841011097745,0.0012098463787448986,133.26041549790403,34.92655435098009,8.746625118269845
