feature,importance_mean,importance_std
temperature,23.60753858644626,0.21491330795950028
pressure,-0.05466349856279871,0.04228354975121773
z_carbon dioxide,-0.5195930248968536,0.025967176678333825
z_hydrogen sulfide,-0.8912554724853223,0.023167728609703158
z_hydrogen,-1.385776247851528,0.005795483553735814
z_methane,-1.392256647653314,0.0038343921635792303
z_nitrogen,-1.4492974641648861,0.0015644984008787249
z_carbon monoxide,-1.4601117245767525,0.005438764218050731
z_oxygen,-1.4639112537616976,0.008218787295949869
z_argon,-1.4645234819640587,0.0035469605868417007
