T,P,z_carbon dioxide,z_nitrogen,z_methane,z_oxygen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_methane,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_oxygen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_methane,rhoL4_oxygen,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_methane,rhoV4_oxygen,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,parachor_methane,parachor_oxygen,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4675918225,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.02780451604648148,0.00015436233503111834,0.9760215059683061,3.543140180670334e-05,0.0007430795086775674,0.00013933994814239214,0.02306064317306735,0.9475554784372949,0.009806779989146447,0.024233428776342488,0.013376267861013527,0.005028044936202498,0.027137805624406784,9.851529800838158e-07,2.0660966122836997e-05,3.87427982404104e-06,0.0006411900231477347,0.00014626687622310935,1.5137974582610908e-06,3.7407286517265233e-06,2.0647919410277505e-06,7.761407569936081e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,20.153071811632763,-0.058621038822561644
200.0,2.8278054057,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.027768140241533804,0.00017710582144022914,0.9882172179235788,0.00014257226417451407,0.0027521309487085785,0.0005454795444615791,0.008342599319076492,0.8425374356248883,0.033783250367733005,0.07694811687458544,0.045122535524241864,0.0016086616085514529,0.027440954296400307,3.958966626150912e-06,7.642155814680528e-05,1.5146952489497102e-05,0.00023165846787104045,0.00014921828463049003,5.983210307298277e-06,1.3627959447352213e-05,7.991463719486775e-06,2.849033356018654e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.86808570748055,-0.11317965105570593
200.0,3.188018989,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.02775247029081201,0.00019986164578962237,0.9864318142147247,0.00027038785971479455,0.004751585757006869,0.0010067426223076908,0.0075394695462459365,0.7506017621461841,0.05657015685221216,0.11780543713991659,0.07371977559941968,0.0013028682622676908,0.02737591961790594,7.503931043731081e-06,0.00013186824255557861,2.7939594716088365e-05,0.00020923890459067227,0.00015001650351512702,1.1306204651060206e-05,2.3544788549749634e-05,1.4733755678541663e-05,2.6039339514388607e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.74674503372641,-0.18656141678680882
200.0,3.5482325722,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.02773863625243369,0.0002226820179806069,0.9842507075139337,0.0004121506267477555,0.006588140319213558,0.0014908391844438242,0.007258162355661128,0.6769618761799348,0.07717089429386258,0.1468022948471303,0.0979268526056874,0.0011380820733849115,0.02730177235692951,1.1432496316568557e-05,0.00018274602789465725,4.135384584816214e-05,0.00020133152544479126,0.0001507472366836856,1.718457047072542e-05,3.2690231260743025e-05,2.1806549152723923e-05,2.5343041272890523e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.63498139748328,-0.25542001070040143
200.0,3.9084461554,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.02772605571032308,0.00024556497687797953,0.982065985104563,0.0005682376325904286,0.008261767018734873,0.001993447047516067,0.0071105631965956775,0.6168276146311158,0.09624037574212764,0.1672098680047735,0.1187002611140802,0.0010218805079028567,0.02722881621422243,1.5754988257904322e-05,0.0002290662126271529,5.527042389500953e-05,0.00019714787132058472,0.0001514712589245892,2.3633265643843635e-05,4.106088737036221e-05,2.9148626875889237e-05,2.5093806329522297e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.52825260346831,-0.31944451964692533
200.0,4.2686597386,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.027714567619096277,0.00026850783622391414,0.9799546907471951,0.0007390641953460941,0.009778565695374497,0.0025104322371717258,0.007017247124912606,0.5668397021697315,0.1142233006011019,0.1813153560794855,0.1366896758971789,0.0009319652525023758,0.027159020540363718,2.0482844616772306e-05,0.0002710087201822317,6.957554399025494e-05,0.00019447996994329935,0.0001522009019154025,3.066985129075558e-05,4.868459393507117e-05,3.670224910929962e-05,2.502399733852867e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.42551474154287,-0.37888894926797434
200.0,4.6288733218,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.027704072249285203,0.0002915082209054721,0.977938804250091,0.0009249402032158298,0.011147249665372724,0.003037488551267084,0.006951517330053272,0.5246511374149406,0.13141340878136168,0.19073978244876524,0.15233656105519375,0.000859110299738699,0.027092887288324104,2.5624610216159887e-05,0.00030882421011030624,8.415080228067995e-05,0.000192585338353954,0.0001529401196638617,3.8308088996978284e-05,5.560221463753635e-05,4.4407359892057355e-05,2.50437715038395e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.32629133264536,-0.4341040306556181
200.0,4.989086905,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.027694482131161442,0.0003145641731078459,0.9760237434635713,0.0011260543637822645,0.01237808073116604,0.0035702615661105915,0.006901859875369669,0.48858205797185394,0.14800528014870315,0.19666031134512005,0.16595395898705362,0.0007983915472692883,0.027030472122941178,3.118549245648429e-05,0.00034280453562735166,9.887654514622224e-05,0.00019114343499020543,0.00015369041106124586,4.655715856557189e-05,6.186228822140922e-05,5.220316988273589e-05,2.5114537688305734e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.230253748201918,-0.4854590681827631
200.0,5.3493004882,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.027685712831136796,0.00033767413393026477,0.9742083844598918,0.0013424777763642378,0.013482146383081343,0.0041045146694605435,0.006862476711202024,0.4574005518306953,0.16412782757681527,0.1999486224376322,0.17777621235581414,0.0007467857990430841,0.026971653569842276,3.7167454198603375e-05,0.00037326283310933967,0.00011363641444987297,0.0001899925595367033,0.0001544523351986552,5.542172203085692e-05,6.751747791217695e-05,6.003042854065237e-05,2.521702479232942e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.137123884851444,-0.5333157511087911
200.0,5.7095140715,0.9499990500009501,0.008967991032008968,0.02221697778302222,0.01223998776001224,0.006575993424006577,0.027677682150051897,0.00036083689516617335,0.9724886463594937,0.0015741726038728016,0.01447078909602186,0.004636274566215047,0.0068301173743966215,0.43018336890010367,0.17986580088520782,0.2012593351501469,0.18798922263801549,0.0007022724265260976,0.026916231648472292,4.356944897931095e-05,0.00040051790106012986,0.00012832133380406981,0.0001890418177360967,0.00015522603118603797,6.490221713799554e-05,7.262179361878731e-05,6.783344742140402e-05,2.5340580194849167e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,75.52930996715713,55.44611770258769,86.02971371321541,3.87,19.046647702718516,-0.578016640724698
