feature,importance_mean,importance_std
temperature,7.198775564922316,0.08938408876518175
pressure,2.108637024705674,0.025526159252784977
z_hydrogen,0.5854522055533253,0.010723959436643895
z_carbon dioxide,0.32614041636688185,0.007018902018999762
z_methane,0.1959804439596106,0.00581523296892898
z_hydrogen sulfide,0.1770018233388565,0.004001364977960092
z_nitrogen,0.10055490511853568,0.005682792636196815
z_carbon monoxide,0.0933704526651757,0.0027015571694198664
z_argon,0.049383745064474696,0.0022921466849920146
z_oxygen,0.03169199154908002,0.0018273646001974522
