temp_bin,Count,Temp_min,Temp_max,MAE,RMSE,MAPE_pct
Q1 (coldest),760,200.0,220.0,8.066909648219697e-05,0.00031198712241480557,0.0017222377778405684
Q2,736,225.0,245.0,0.00030576205194915803,0.0019665982645401306,0.0022861407522236166
Q3,744,250.0,270.0,0.001273406247769294,0.005777873748781232,0.004942643282396382
Q4 (hottest),664,275.0,300.0,0.018535902832810033,0.09917883963781647,0.030273716264338658
