T,P,z_carbon dioxide,z_hydrogen,z_argon,z_methane,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_methane,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_methane,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_methane,rhoL5_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_methane,rhoV5_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4414862811,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027774520759875607,0.00015277546314166105,0.9998169801874218,7.332374180706166e-06,6.121922835799854e-05,0.0001039550838721344,1.0513126167172591e-05,0.980544920371861,0.007091634981654075,0.006641218198152724,0.0033294744695423107,0.0023927519787899196,0.027769437472291686,2.036531789011993e-07,1.700334728932796e-06,2.887302635101207e-06,2.919970409813266e-07,0.00014980320434101422,1.0834278187538064e-06,1.01461518604761e-06,5.086620041026627e-07,3.655537917427559e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.900505364415718,-0.0029541279801570397,-0.0065969814565214335
200.0,2.8047491564,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.02777072177747741,0.0001752583012671236,0.9986793034710358,6.838450607011768e-05,0.0005036527036747699,0.0006557627984058632,9.28965208134087e-05,0.8579420643412615,0.05759392348231189,0.047679501263515486,0.018350467390839138,0.01843404352207211,0.027734045081619068,1.8990870919634534e-06,1.3986799106226309e-05,1.8211006226549233e-05,2.5798034336048128e-06,0.00015036146878205875,1.0093813192818682e-05,8.356228396707398e-06,3.2160717423762133e-06,3.230719153162582e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.826147157263293,-0.02669162899671562,-0.05291058000764082
200.0,3.1680120317,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027768682812338477,0.00019771891010587726,0.9977981501218721,0.0001403293091340311,0.0009077733179396711,0.0009742026163093538,0.000179544634744802,0.7632367293575945,0.10468541277343611,0.07626276401406301,0.024219260668343446,0.03159583318656306,0.027707540341472357,3.896760074617503e-06,2.5207669331370817e-05,2.7052323447244727e-05,4.985718012885573e-06,0.000150906334281358,2.069828571754767e-05,1.5078590582522257e-05,4.788605822915007e-06,6.247093701534356e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.76982299320784,-0.05205137196347209,-0.09567761274462327
200.0,3.5312749071,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027767623531138895,0.0002201618088851535,0.9970775779693868,0.00022179970896392143,0.0012612668628120848,0.0011730723108264913,0.0002662831480107014,0.687852972953893,0.1485169154786373,0.09527207569086793,0.026248396632193086,0.042109639244408664,0.02768647481639372,6.1588508178263435e-06,3.502238341886658e-05,3.257343030183316e-05,7.394050206647693e-06,0.00015143895477255965,3.269775276182024e-05,2.0975272520344742e-05,5.778894482878601e-06,9.270934347550259e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.724590382405502,-0.07761626451265968,-0.13542879460260338
200.0,3.8945377824,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027767175145558945,0.00024258826881797473,0.9964684689087497,0.0003117076454312104,0.0015639772912287777,0.0013054335245419192,0.00035041263004836415,0.6264123112323257,0.18934774535712162,0.10734515189636223,0.02656711377250687,0.050327677741683625,0.027669114503216213,8.655240784898206e-06,4.342723136922632e-05,3.624820131683979e-05,9.729968871768878e-06,0.00015196027814811628,4.5933541750770847e-05,2.604067456454105e-05,6.444870137562616e-06,1.2208904216983951e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.686945856976518,-0.1027580534296213,-0.17252951490076285
200.0,4.2578006577,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.02776714534952235,0.00026499887941778573,0.9959421182006439,0.00040904722454988433,0.0018206015709331975,0.0013979961991485435,0.0004302368047244827,0.5753660232584312,0.22739336988860376,0.1145286780976603,0.026100072247751866,0.056611856507552884,0.027654469555788447,1.1358073738895344e-05,5.055290844367081e-05,3.88183636598374e-05,1.1946447891498775e-05,0.00015247135141855192,6.0258988207514054e-05,3.034997135708028e-05,6.916489898377492e-06,1.5002078536261995e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.65487779179256,-0.12720882004306233,-0.20729095473978276
200.0,4.6210635331,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027767422391025302,0.0002873943558517109,0.9954796434357863,0.000512862068746111,0.002037385564325512,0.001465304957852837,0.0005048039732890858,0.5322767877014677,0.26282597939806557,0.11832023178611158,0.025277428775365058,0.061299572338989965,0.02764190374094874,1.4240857691208321e-05,5.6572945538003945e-05,4.0687741696363254e-05,1.40171051509859e-05,0.0001529733445362812,7.553470305020209e-05,3.4004566798394665e-05,7.264590360483542e-06,1.7617151106349375e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.62708561570802,-0.15087648013583177,-0.24000077904478445
200.0,4.9843264084,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027767934815667836,0.00030977566440910676,0.9950675893108164,0.0006222621787444274,0.002220616260494206,0.0015158232600921374,0.0005737089898528692,0.49541488294942504,0.2957979587045215,0.11978692361569888,0.024309320652673706,0.06469091407768077,0.027630971957166482,1.727893561763071e-05,6.166192757201517e-05,4.2091281478311587e-05,1.593071383339711e-05,0.00015346747452381798,9.163100918855068e-05,3.710707385057604e-05,7.530435956516018e-06,2.0039670889645998e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.602655417341403,-0.17375770391432255,-0.27092532162745186
200.0,5.3475892837,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027768633366429412,0.00033214394224305216,0.9946959058015213,0.0007364438631916303,0.0023759780597258605,0.001554747986351918,0.0006369242892091016,0.46351868487758074,0.32645733582588116,0.11967867865765844,0.02330132780350508,0.06704397283537433,0.027621345919290854,2.0450039631925284e-05,6.597766362720775e-05,4.317322681020081e-05,1.7686517069221197e-05,0.00015395492329855467,0.00010843082649537216,3.97505481317941e-05,7.739394876153816e-06,2.226824944117733e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.580911289877527,-0.19589344035171052,-0.30030625372292263
200.0,5.7108521591,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027769482177762865,0.0003545003874492122,0.9943568847431489,0.0008546999418430364,0.0025083402212375226,0.001585412612698973,0.0006946624810716569,0.43564629586870973,0.354953482099874,0.11851852353357129,0.022306774235956263,0.06857492426188871,0.027612775789210675,2.3734574802345156e-05,6.965530906942115e-05,4.402608729274459e-05,1.929041738767991e-05,0.00015443678067627174,0.00012583114693085233,4.201486251255959e-05,7.9077601093886e-06,2.430983722013993e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.561338141366505,-0.2173441766426727,-0.3283575234638043
200.0,6.0741150344,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.02777045412032349,0.0003768461734608096,0.9940445210949123,0.0009764200496702149,0.002621751856375363,0.001610033834207197,0.0007472731648349737,0.4110802399441345,0.38143699675915915,0.1166697180890824,0.021351897088133908,0.06946114811949003,0.027605067766625198,2.7115628191530685e-05,7.280723964234496e-05,4.471137072501948e-05,2.0752115139398572e-05,0.00015491401540829853,0.00014374307264507235,4.39665368206221e-05,8.046380713792266e-06,2.6176167873024328e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.54353625015429,-0.2381768240117772,-0.35526525958849575
200.0,6.4373779098,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027771528125881864,0.00039918239609298744,0.9937540876751998,0.0011010842955389301,0.0027195258070246485,0.0016301311576746875,0.0007951710645618303,0.3892643284437906,0.4060572068496053,0.1143839524836189,0.020448556423973203,0.06984595579901194,0.027598069596081885,3.057879348252622e-05,7.55253874388466e-05,4.527123329423895e-05,2.2083115584366292e-05,0.00015538746734171998,0.00016209088878105127,4.5660060226997414e-05,8.162703749964275e-06,2.7881275993254478e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.5271916430299,-0.25845746571458506,-0.3811891640940708
200.0,6.8006407851,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027772687526246568,0.0004215100471044374,0.9934818328828038,0.001228253523136024,0.0028043505917540517,0.0016467736915868646,0.0008387893107193619,0.36976070602067707,0.42895927144937357,0.11183528560591235,0.019600899615727717,0.06984383730830937,0.027591660507656823,3.4111901301068256e-05,7.788435269882993e-05,4.573533116288553e-05,2.3295433426964576e-05,0.00015585785261214562,0.00018081064271451063,4.713969650368633e-05,8.26197612031474e-06,2.9439879153780148e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.51205541118183,-0.2782477650962889,-0.40626504106501926
200.0,7.1639036604,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.0277739189517631,0.0004438300057048264,0.9932247578354045,0.0013575584841271574,0.0028784015929785925,0.0016607309505294137,0.000878551136960297,0.3522199344784352,0.45028178127387036,0.10914379420553302,0.018808957155282434,0.06954553288687897,0.027585743925005058,3.7704719310426046e-05,7.994449255401323e-05,4.612500682068843e-05,2.4400808072914612e-05,0.00015632577552891747,0.00019984856555156129,4.8441290804888124e-05,8.347979561530837e-06,3.0866394257928685e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.497928657839672,-0.2976034300621144,-0.43060775493695047
200.0,7.5271665358,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.02777521156239625,0.0004661430408145248,0.9929804488271784,0.00148868929683002,0.002943439645004322,0.001672568047691701,0.0009148541832954612,0.3363597206256549,0.4701551164096591,0.10639197377860597,0.018070622689818693,0.06902256649626122,0.02758024204349806,4.134866017012871e-05,8.175465886113956e-05,4.6455931377141056e-05,2.541026848977467e-05,0.0001567917429799668,0.0002191595356177054,4.959387817541858e-05,8.423495010044033e-06,3.217438903138995e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.484651281802147,-0.316573825172771,-0.45431420759292607
200.0,7.8904294111,0.9900000000000001,0.0036160000000000003,0.0034130000000000002,0.0017470000000000003,0.0012240000000000003,0.027776556490252534,0.0004884498190535844,0.9927469499993732,0.0016213858809659245,0.003000893652237897,0.0016827074917528924,0.0009480629756701768,0.3219495080386327,0.4887005278574048,0.10363610141273204,0.017382756666015933,0.0683311060252146,0.027575091737183498,4.503651651514787e-05,8.335449205262619e-05,4.6739819701245365e-05,2.6333924800019577e-05,0.00015725617894586064,0.00023870568440334053,5.062103498246788e-05,8.490604348167969e-06,3.337631637374736e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.472093501655905,-0.3352021844886721,-0.4774660995623812
