curve,T_K,P_bar
bubble,200.0,9.455421399523095
bubble,201.0,9.704970264548212
bubble,202.0,9.959954870605916
bubble,203.0,10.220483251210451
bubble,204.0,10.486664771572576
bubble,205.0,10.758610099553987
bubble,206.0,11.036431176364943
bubble,207.0,11.320241187165454
bubble,208.0,11.610154531534612
bubble,209.0,11.906286793930308
bubble,210.0,12.208754714031667
bubble,211.0,12.517676157188191
bubble,212.0,12.83317008484684
bubble,213.0,13.15535652500011
bubble,214.0,13.48435654275462
bubble,215.0,13.820292210968583
bubble,216.0,14.16328658094667
bubble,217.0,14.513463653274625
bubble,218.0,14.870948348701
bubble,219.0,15.2358664791058
bubble,220.0,15.608344718576372
bubble,221.0,15.98851057454191
bubble,222.0,16.376492358840554
bubble,223.0,16.77241915897101
bubble,224.0,17.176420809154585
bubble,225.0,17.58862786136389
bubble,226.0,18.009171556343137
bubble,227.0,18.43818379428379
bubble,228.0,18.875797105379625
bubble,229.0,19.322144620018825
bubble,230.0,19.777360038615914
bubble,231.0,20.241577600873782
bubble,232.0,20.714932054554076
bubble,233.0,21.197558623464108
bubble,234.0,21.68959297458984
bubble,235.0,22.19117118426308
bubble,236.0,22.70242970313482
bubble,237.0,23.223505319806414
bubble,238.0,23.754535122912824
bubble,239.0,24.295656461362615
bubble,240.0,24.8470069025892
bubble,241.0,25.40872418838039
bubble,242.0,25.980946188085227
bubble,243.0,26.56381084876463
bubble,244.0,27.15745614185542
bubble,245.0,27.76202000596583
bubble,246.0,28.37764028518416
bubble,247.0,29.004454662381782
bubble,248.0,29.642600586817263
bubble,249.0,30.292215195293576
bubble,250.0,30.95343522601895
bubble,251.0,31.62639692420319
bubble,252.0,32.31123593829199
bubble,253.0,33.00808720557004
bubble,254.0,33.71708482572019
bubble,255.0,34.43836192068867
bubble,256.0,35.17205047893979
bubble,257.0,35.91828118200302
bubble,258.0,36.6771832106936
bubble,259.0,37.44888402824327
bubble,260.0,38.233509136841896
bubble,261.0,39.03118180374213
bubble,262.0,39.842022752373815
bubble,263.0,40.66614981300056
bubble,264.0,41.50367752671801
bubble,265.0,42.354716695300866
bubble,266.0,43.219373868029116
bubble,267.0,44.09775075508296
bubble,268.0,44.98994355488524
bubble,269.0,45.8960421803613
bubble,270.0,46.816129365924525
bubble,271.0,47.75027963316701
bubble,272.0,48.698558088352904
bubble,273.0,49.66101901879221
bubble,274.0,50.637704247336536
bubble,275.0,51.62864119447798
bubble,276.0,52.63384058470488
bubble,277.0,53.653293717211184
bubble,278.0,54.686969199338556
bubble,279.0,55.734809012042135
bubble,280.0,56.796723738064316
bubble,281.0,57.87258673049435
bubble,282.0,58.96222692654021
bubble,283.0,60.06541990950331
bubble,284.0,61.18187667654939
bubble,285.0,62.311229359407726
bubble,286.0,63.453012833255606
bubble,287.0,64.6066406762518
bubble,288.0,65.77137320660732
bubble,289.0,66.94627414397829
bubble,290.0,68.13015048289597
bubble,291.0,69.3214667801027
bubble,292.0,70.51821892464936
bubble,293.0,71.71774071044527
bubble,294.0,72.91639244499862
bubble,295.0,74.10902712810129
bubble,296.0,75.28799646145642
bubble,297.0,76.44107734135561
bubble,298.0,77.5463593793096
bubble,300.4677979350798,77.95284803196392
dew,200.0,2.708248428855141
dew,201.0,2.8479091393274985
dew,202.0,2.993101810655699
dew,203.0,3.1439730915147805
dew,204.0,3.300671279107359
dew,205.0,3.4633463032713725
dew,206.0,3.632149711456151
dew,207.0,3.8072346546267575
dew,208.0,3.988755874155718
dew,209.0,4.176869689761261
dew,210.0,4.371733988550503
dew,211.0,4.573508215227556
dew,212.0,4.782353363525356
dew,213.0,4.9984319689219765
dew,214.0,5.221908102702187
dew,215.0,5.452947367426267
dew,216.0,5.691716893871308
dew,217.0,5.938385339508142
dew,218.0,6.193122888583491
dew,219.0,6.456101253877196
dew,220.0,6.727493680206463
dew,221.0,7.007474949754932
dew,222.0,7.296221389305519
dew,223.0,7.593910879462465
dew,224.0,7.900722865950838
dew,225.0,8.216838373088658
dew,226.0,8.542440019532277
dew,227.0,8.877712036402665
dew,228.0,9.222840287906886
dew,229.0,9.578012294578572
dew,230.0,9.943417259271145
dew,231.0,10.319246096044441
dew,232.0,10.705691462101932
dew,233.0,11.102947792944713
dew,234.0,11.511211340924646
dew,235.0,11.930680217392808
dew,236.0,12.361554438660981
dew,237.0,12.804035976009727
dew,238.0,13.258328809998202
dew,239.0,13.724638989361145
dew,240.0,14.203174694797276
dew,241.0,14.694146307991685
dew,242.0,15.197766486243387
dew,243.0,15.714250243110712
dew,244.0,16.243815035531163
dew,245.0,16.786680857916327
dew,246.0,17.343070343784763
dew,247.0,17.913208875550744
dew,248.0,18.497324703162725
dew,249.0,19.095649072363187
dew,250.0,19.70841636343217
dew,251.0,20.335864241384723
dew,252.0,20.978233818706777
dew,253.0,21.6357698318573
dew,254.0,22.308720832918976
dew,255.0,22.99733939796078
dew,256.0,23.701882353896558
dew,257.0,24.42261102585757
dew,258.0,25.159791507396562
dew,259.0,25.913694956169714
dew,260.0,26.684597918145798
dew,261.0,27.472782683852525
dew,262.0,28.278537680732907
dew,263.0,29.102157906340743
dew,264.0,29.943945407892727
dew,265.0,30.804209814650974
dew,266.0,31.6832689307536
dew,267.0,32.58144939750483
dew,268.0,33.49908743583957
dew,269.0,34.4365296817748
dew,270.0,35.39413413023843
dew,271.0,36.37227120589667
dew,272.0,37.371324983629066
dew,273.0,38.3916945864079
dew,274.0,39.43379579482286
dew,275.0,40.49806291082584
dew,276.0,41.58495092907006
dew,277.0,42.69493808334002
dew,278.0,43.82852885423372
dew,279.0,44.98625754923122
dew,280.0,46.16869260004937
dew,281.0,47.376441768497045
dew,282.0,48.610158516486045
dew,283.0,49.870549886847726
dew,284.0,51.15838637246181
dew,285.0,52.47451444287516
dew,286.0,53.81987268431304
dew,287.0,55.19551294815711
dew,288.0,56.602628593534696
dew,289.0,58.042593028466946
dew,290.0,59.517013629713546
dew,291.0,61.02780939254368
dew,292.0,62.57732663640496
dew,293.0,64.16851862201356
dew,294.0,65.80523871665518
dew,295.0,67.49275002376666
dew,296.0,69.2386870933841
dew,297.0,71.05508618808845
dew,298.0,72.96343978139885
dew,299.0,75.01126753163724
dew,300.4677979350798,77.95284803196392
