feature,importance_mean,importance_std
z_hydrogen,22.628763910312216,0.3999887471773975
temperature,20.35806544333179,0.22230328488925663
z_carbon dioxide,6.252309030566145,0.048928667685874505
z_hydrogen sulfide,2.9779965164230786,0.028868023765063266
z_nitrogen,2.3640738472890845,0.022674921686852725
z_methane,1.9295121464984184,0.032992841857499774
pressure,1.3397776001081074,0.08370494751282254
z_argon,1.0173109427817146,0.023101460754421186
z_carbon monoxide,0.5264851800422715,0.01830952033151914
z_oxygen,0.47839045385355455,0.032142429184618466
