T,P,z_carbon dioxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.1070992606,0.96,0.04,0.02798160436227597,0.00013127697220828124,0.8514437464342138,0.14855625356578608,0.9630565740367046,0.036943425963295286,0.023824762049456192,0.004156842312819775,0.00012642715110481903,4.849821103462211e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.722948390570156,-0.17339211670054766
200.0,2.1134702281,0.96,0.04,0.027977391236307627,0.00013168729322096846,0.8547784267543448,0.14522157324565518,0.9639788318899272,0.036021168110072874,0.023914470465661825,0.004062920770645799,0.0001269437630938955,4.743530127072965e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.682100654092924,-0.1701441240137065
200.0,2.1198411957,0.96,0.04,0.0279731592368866,0.00013209769943810722,0.8581129725031635,0.1418870274968364,0.9648959645557602,0.035104035444239734,0.024004130823069087,0.003969028413817513,0.00012746053711492939,4.637162323177843e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.64126208955824,-0.16686243694587333
200.0,2.1262121632,0.96,0.04,0.02796890838427626,0.0001325081908886619,0.8614473542760873,0.1385526457239127,0.9658080262641623,0.034191973735837676,0.024093742129625062,0.0038751662546512005,0.0001279774743060134,4.530716582648493e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.60043319734115,-0.1635473038657267
200.0,2.1325831307,0.96,0.04,0.027964638701243254,0.00013291876760137072,0.8647815416175025,0.13521845838249752,0.9667150706705744,0.03328492932942572,0.024183303366837616,0.0037813353344056406,0.00012849457581520476,4.424191786165986e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.559614491466277,-0.16019899088003697
200.0,2.1389540983,0.96,0.04,0.02796035021309531,0.00013332942960473228,0.8681155030210781,0.13188449697892177,0.96761715086734,0.03238284913265999,0.024272813489886743,0.0036875367232085633,0.00012901184280089863,4.317586803833656e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.518806499585825,-0.15681776624403554
200.0,2.1453250658,0.96,0.04,0.02795604294770505,0.00013374017692698693,0.871449205940811,0.12855079405918904,0.9685143193977012,0.031485680602298845,0.024362271428024777,0.003593771519680276,0.0001295292764325689,4.210900494418048e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.478009762829462,-0.15340395113106453
200.0,2.1516960333,0.96,0.04,0.027951716935579535,0.00013415100959613465,0.8747826167671389,0.1252173832328612,0.9694066282600942,0.030593371739905863,0.024451676084040617,0.003500040851538919,0.00013004687789027643,4.104131705858226e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.437224836069124,-0.1499577480072105
200.0,2.1580670009,0.96,0.04,0.027947372209933517,0.00013456192763992378,0.878115700800537,0.12188429919946304,0.9702941289114458,0.02970587108855416,0.024541026333659222,0.0034063458762742956,0.00013056464836402486,3.997279275898928e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.39645228821187,-0.14647951375828683
200.0,2.1644379684,0.96,0.04,0.027943008806672463,0.00013497293108584026,0.8814484222946607,0.11855157770533925,0.9711768722891332,0.028823127710866796,0.02463032102680725,0.0033126877798652097,0.00013108258905564305,3.890342030197197e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,86.02971371321541,3.87,21.355692701665983,-0.14296955251966992
