T,P,z_carbon dioxide,z_oxygen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_oxygen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_oxygen,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_oxygen,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_oxygen,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.3037897796,0.97,0.012892,0.017108,0.027867099484956477,0.00014390146480414937,0.937153161556835,0.00012849511351160648,0.06271834332965329,0.9718933779203258,0.01362772189846711,0.014478900181207087,0.026115740385745812,3.580786111558713e-06,0.0017477783130991045,0.0001398568807161876,1.9610491431330007e-06,2.0835349448287635e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.667254169312166,-0.08329809689449519
200.0,2.4120028233,0.97,0.012892,0.017108,0.027814673820275887,0.00015082228098018956,0.9734018477689614,0.00028729618169595064,0.02631085604934278,0.9658397205944464,0.028306884283432854,0.005853395122120687,0.027074854891747505,7.991049583683583e-06,0.0007318278789447021,0.00014567014972132337,4.2693088550696214e-06,8.828224037965572e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.21630988407488,-0.04205550197253771
200.0,2.520215867,0.97,0.012892,0.017108,0.027805680645463265,0.00015760168503375747,0.9791561383416166,0.0006823788945092311,0.020161482763874135,0.9316207898264662,0.06407030214698424,0.004308908026549494,0.027226102884772042,1.8974009619927947e-05,0.0005606037510712963,0.0001468250062891311,1.0097587578986685e-05,6.790911656396828e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.12085307139382,-0.044534724491082756
200.0,2.6284289107,0.97,0.012892,0.017108,0.02780389513911298,0.00016436265330763023,0.9799960783918252,0.0011157202469915552,0.018888201361183153,0.8957302393388997,0.10038846055690773,0.0038813001041926643,0.027247708200348254,3.1021368751938435e-05,0.0005251655700127875,0.00014722459878562023,1.6500113738601736e-05,6.37940783408288e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.082540236192013,-0.054263563984910945
200.0,2.7366419543,0.97,0.012892,0.017108,0.027803223111602562,0.00017112589350640054,0.9800795998398714,0.0015550218530645098,0.018365378307064178,0.8619874634358319,0.13437854570384983,0.0036339908603182655,0.027249371781478102,4.3234619524170225e-05,0.000510616710600291,0.00014750837487177248,2.2995648701661983e-05,6.218699329660563e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.053020079338687,-0.06507058489027884
200.0,2.844854998,0.97,0.012892,0.017108,0.02780290314865219,0.0001778939354708475,0.9799235605796158,0.001996270971287949,0.018080168449096188,0.8305846146862382,0.16596530958733666,0.0034500757264250624,0.027244719847877467,5.5502128473184685e-05,0.0005026811723015384,0.0001477559658480724,2.9524222074128896e-05,6.137475486461974e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.02628503231452,-0.07618489373620463
200.0,2.9530680417,0.97,0.012892,0.017108,0.02780273711096545,0.00018466739694090117,0.9796622740641086,0.002438428040051535,0.017899297895839956,0.8013763923089834,0.1953251420790432,0.003298465611973453,0.027237292663334994,6.779497376155955e-05,0.0004976494738688954,0.00014798809233759037,3.607018554484859e-05,6.091190584622141e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,20.00077409956967,-0.0874061659798322
200.0,3.0612810854,0.97,0.012892,0.017108,0.0278026514151632,0.00019144647939792152,0.9793455838233442,0.0028811096663438136,0.017773306510311986,0.7741717385012694,0.22266115804847247,0.003167103450258088,0.02722840388201993,8.010248774221421e-05,0.0004941450454010549,0.00014821245378543636,4.262769480704423e-05,6.063308054409212e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,19.975908012958282,-0.09866021626988442
200.0,3.1694941291,0.97,0.012892,0.017108,0.027802612568330325,0.00019823125500877575,0.9789961647731653,0.0033241431973216,0.017679692029513153,0.7487848269578018,0.24816504708346018,0.003050125958737949,0.027218651075069593,9.241986543678327e-05,0.0004915416278239519,0.00014843255597937402,4.9194068732666236e-05,6.046302967354691e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,19.951423249045135,-0.10991344020762028
200.0,3.2777071727,0.97,0.012892,0.017108,0.027802603162226925,0.00020502174742462528,0.9786257965060466,0.0037674402641960547,0.017606763229757284,0.7250461075322995,0.2720096852795487,0.002944207188151909,0.027208344664575855,0.00010474464660283827,0.0004895138510482306,0.0001486502199296948,5.5767900992435455e-05,6.036265024950468e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,19.92718290514512,-0.12114849423609897
200.0,3.3859202164,0.97,0.012892,0.017108,0.027802613258931165,0.0002118179602254061,0.9782412001357227,0.0042109514605299875,0.01754784840374729,0.702803872613068,0.29434888894873,0.0028472384382020096,0.02719766176132618,0.00011707545490924658,0.0004878760426957385,0.0001488664827354162,6.234838125173458e-05,6.030962382553206e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,19.9031088670315,-0.1323555755505943
200.0,3.4941332601,0.97,0.012892,0.017108,0.027802636773681985,0.0002186198884818762,0.9778464883624332,0.004654647345532739,0.017498864292034115,0.6819232108595707,0.3153190213765373,0.0027577677638920793,0.027186710736361176,0.00012941146945742978,0.00048651456786337824,0.0001490819763113223,6.893500928955292e-05,6.029028810009994e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,55.44611770258769,86.02971371321541,3.87,19.87915333590828,-0.14352876056126007
