T,P,z_carbon dioxide,z_nitrogen,z_methane,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_methane,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_methane,rhoL4_carbon monoxide,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_methane,rhoV4_carbon monoxide,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5109618562,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.027775423008675082,0.0001571344313261545,0.9972430075205966,0.00013301153033039716,0.00038067634792089016,1.5268448729103053e-07,0.0022431519166648583,0.9521629639259994,0.035426707685683546,0.011893465282620261,3.3859903127224165e-05,0.0004830032025695793,0.027698846376327916,3.6944515199579968e-06,1.0573446592900293e-05,4.240876221371047e-09,6.230449335808672e-05,0.00014961758586633768,5.566755565947791e-06,1.8688729036818961e-06,5.3205566226550495e-09,7.589643356448225e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.90298552185604,-0.015347541263057707,-0.025579760272961494
200.0,3.2213808831,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.02775695475022805,0.00020166522971221037,0.9959254616566645,0.0009406656880711087,0.002234918641754359,1.073601221366953e-06,0.0008978804122888226,0.7502629465043464,0.19480357269919218,0.054594937927508136,0.00018519947025459683,0.00015334339869886246,0.027643857973804017,2.6110014938881897e-05,6.203453560961688e-05,2.979990052127208e-08,2.4922425975016955e-05,0.00015130194945135882,3.928510723714186e-05,1.1009900698274794e-05,3.734829371147294e-08,3.092403172345716e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.702661993008082,-0.09497046407531329,-0.15775853779047821
200.0,3.9317999099,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.027743376781867224,0.0002463859919928758,0.9937036453222393,0.0018074211305121773,0.0036316608190916917,2.050338485584617e-06,0.0008552223896711125,0.6203140317957543,0.3062873310716266,0.07298753033869017,0.00028953657302701935,0.00012157022090167043,0.027568694641689838,5.014396542730775e-05,0.00010075453444800535,5.6883313135937066e-08,2.3726756988934548e-05,0.00015283668807109722,7.54649079009331e-05,1.7983105065608297e-05,7.13377557634799e-08,2.9953199473651114e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.546398802838112,-0.1818700951806136,-0.2888064919035891
200.0,4.6422189368,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.02773197056901718,0.0002912954937980017,0.9917466401960375,0.0027145467204899324,0.004696066434864005,3.0600288290444076e-06,0.0008396866197795384,0.5300982275157843,0.38917992999868983,0.08025349449417966,0.0003657282681219698,0.0001026197232242273,0.027503088637838184,7.527972976084891e-05,0.000130231176161798,8.486062942740361e-08,2.3286164626923676e-05,0.00015441522494565583,0.00011336635988524008,2.3377481307697274e-05,1.0653499645847714e-07,2.989266295001556e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.411470757579753,-0.2725992494698595,-0.41758442237938453
200.0,5.3526379636,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.027722099875685517,0.000336391603060673,0.9899914156411386,0.0036504473283946086,0.005522758401272456,4.088606475947431e-06,0.0008312900227185166,0.46384892668339844,0.45346529976189537,0.08217281310755777,0.00042356864215443117,8.939180499387413e-05,0.027444640900474937,0.0001011980654286847,0.0001531024599893563,1.1334475707858927e-07,2.30451050354636e-05,0.000156034884025001,0.00015254191911929263,2.7642244329256443e-05,1.4248493454056168e-07,3.00706525823764e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.291625559482842,-0.36564212858304046,-0.5443268972808006
200.0,6.0630569905,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.02771333712105965,0.0003816742741139128,0.9883845503711997,0.004607111711607414,0.006177384472764061,5.126515843582603e-06,0.0008258269285852054,0.41315824360421644,0.5048377551812195,0.08145582090553768,0.0004686684653239316,7.951184370250793e-05,0.02739143424968402,0.0001276784400181584,0.00017119593842010973,1.4207286182965816e-07,2.288642007553105e-05,0.00015769187272181846,0.0001926835837540892,3.108959131647398e-05,1.788786963025931e-07,3.03476252286136e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.18267016460618,-0.45993820345806213,-0.6691695037035608
200.0,6.7734760173,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.027705388904571377,0.0004271443433183763,0.9868876829135593,0.00557901511856784,0.006705276324709585,6.1673028713482315e-06,0.0008218583402918827,0.37313672674552295,0.5468399873045299,0.07944693684788103,0.0005045307647403396,7.181833732577954e-05,0.027342107060251482,0.0001545687835644054,0.0001857722882886941,1.708675245429825e-07,2.2769904942252174e-05,0.00015938324211368482,0.00023357960727742264,3.393530966854465e-05,2.1550746218893057e-07,3.0676796535237736e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.08174236889042,-0.554750268871846,-0.7921919028685878
200.0,7.4838950441,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.02769805110179916,0.00047280301498986454,0.9854736969803582,0.006562307531090812,0.007138032873711408,7.206588408925932e-06,0.0008187560264305271,0.34074843096106966,0.581813018473714,0.07683942680462932,0.0005334764042837324,6.564735630341988e-05,0.027295700818440904,0.0001817631293418748,0.00019770959930238087,1.99608454020064e-07,2.2677946259978763e-05,0.00016110688551145943,0.00027508294929472573,3.632991266332176e-05,2.5222925237130056e-07,3.1038267986370806e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.986859881679404,-0.6495661276524238,-0.9134465550938025
200.0,8.194314071,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.027691179294687694,0.0005186516434249805,0.9841232685881282,0.00755426213657659,0.007498026643845321,8.241376657375951e-06,0.0008162012547926467,0.3140091143230605,0.6113735852360156,0.07399960477916488,0.0005571111586404311,6.058450311855156e-05,0.02725153387854795,0.0002091864272630129,0.0002076292001510662,2.282134386544514e-07,2.2601575287012254e-05,0.0001628613431940779,0.00031708991472928185,3.838001663151291e-05,2.889466179992546e-07,3.1422252108522625e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.896625346114522,-0.7440266943163216,-1.0329715529659325
200.0,8.9047330978,0.9600000000000001,0.029291000000000005,0.009892000000000001,2.8000000000000003e-05,0.0007890000000000001,0.02768466943132072,0.0005646916402916581,0.9828224213613334,0.008552911551144623,0.007801382665955696,9.269601685933552e-06,0.0008140148198802231,0.2915673196855408,0.6366768609039705,0.07112288019375042,0.0005765837874170821,5.635542932137064e-05,0.02720911384507872,0.00023678452896876343,0.00021597870021421902,2.566258584350836e-07,2.2535731200580055e-05,0.0001646456280086703,0.0003595261009196069,4.0162495878876006e-05,3.255920446821288e-07,3.182343982282539e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.810034913848142,-0.8378780917977444,-1.1507977798293538
