T,P,z_carbon dioxide,z_argon,z_methane,rho_l,rho_v,x_carbon dioxide,x_argon,x_methane,y_carbon dioxide,y_argon,y_methane,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_methane,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_methane,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4925778239,0.97,0.01,0.02,0.027769333806575897,0.00015605024173900837,0.9990401263428612,0.00012430871475310566,0.0008355649423856637,0.9606042599429002,0.01319521434255591,0.02620052571454392,0.02774267875457867,3.451970195045417e-06,2.3203081802179852e-05,0.00014990252697961082,2.05911638795388e-06,4.088598371443684e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.846388103287673,0.0012783996942715703,-0.017789928621461115
200.0,2.6336050457,0.97,0.01,0.02,0.02776120257991577,0.0001649510683958325,0.997709942124316,0.0003077670245086903,0.0019822908511753687,0.910279214201413,0.030888811923262243,0.05883197387532471,0.027697627819309175,8.543982714803653e-06,5.5030777891793074e-05,0.00015015152892104193,5.095142528220037e-06,9.704396946570517e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.754938680125527,0.002964373556118005,-0.04237941926181321
200.0,2.7746322674,0.97,0.01,0.02,0.027753293851376072,0.00017386423428575418,0.9964031365972008,0.0005017756931210085,0.0030950877096780913,0.8650561400532105,0.04775234498123884,0.08719151496555069,0.027653469044414927,1.3925928258665251e-05,8.589887870247861e-05,0.00015040232340454156,8.302424895512267e-06,1.5159485985700347e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.665503983524676,0.004486782706646153,-0.06650268829953987
200.0,2.9156594891,0.97,0.01,0.02,0.02774561716698041,0.00018278931883364323,0.9951206874111975,0.0007067164606130891,0.004172596128189335,0.8242003054591228,0.06393793088322892,0.11186176365764829,0.027610237627853466,1.960828436177416e-05,0.000115771254765166,0.00015065501241735374,1.1687170833777976e-05,2.044713558251152e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.57813722982542,0.005809644447655415,-0.09018660270032086
200.0,3.0566867108,0.97,0.01,0.02,0.027738181115163563,0.0001917259113048509,0.9938634726612939,0.0009229273300500491,0.005213600008656061,0.7871115334699053,0.07956623307730137,0.13332223345279345,0.027567965008424383,2.56003254370626e-05,0.00014461578130212013,0.00015090967605307625,1.5254908545839777e-05,2.5561326705934903e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.492883915806548,0.006899249851226585,-0.1134579403967102
200.0,3.1977139325,0.97,0.01,0.02,0.02773099312334555,0.0002006736131526975,0.9926322498428346,0.0011506941675939592,0.006217055989571337,0.7532947416556532,0.09473267659630488,0.15197258174804182,0.02752667809440267,3.1909892048621916e-05,0.000172405136894257,0.00015116637757696776,1.9010348496206484e-05,3.0496887079523238e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.40978045228015,0.007724456252070411,-0.1363434127905414
200.0,3.3387411543,0.97,0.01,0.02,0.02772405927443726,0.0002096320411574442,0.991427637003584,0.0013902430783697957,0.007182119918046103,0.7223378915630854,0.10951216515304955,0.16814994328386518,0.02748639857460263,3.854318151060034e-05,0.00019911751832402664,0.00015142516661373418,2.2957258712604908e-05,3.524961583110513e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.328852978420393,0.008256939292834886,-0.15886967474443026
200.0,3.479768376,0.97,0.01,0.02,0.027717384140853295,0.00021860083091760745,0.9902500950050985,0.0016417345296826432,0.0081081704652188,0.6938952605600812,0.12396275964486081,0.18214197979505786,0.027447142278772787,4.5504586616516935e-05,0.00022473727546399067,0.0001516860805282235,2.709836226120623e-05,3.9816388128177716e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.250116283172332,0.008472465826972808,-0.18106228488746012
200.0,3.6207955977,0.97,0.01,0.02,0.02771097068002998,0.00022757964049583494,0.9890999175588656,0.0019052583528684484,0.008994824088265952,0.6676746042271297,0.13812861440924099,0.19419678136362928,0.027408918815093795,5.279655835421979e-05,0.0002492553065819652,0.00015194914639820903,3.143526040944287e-05,4.419523368818301e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.17357327589664,0.00835020938117026,-0.2029464712557143
200.0,3.7618228194,0.97,0.01,0.02,0.027704820156350146,0.00023656815373730293,0.9879772227879318,0.002180831486231947,0.009841945725836215,0.6434271860081542,0.1520423996932308,0.20453041429861493,0.02737173127590993,6.041954411736189e-05,0.00027266933632285137,0.00015221438145833724,3.596838978521668e-05,4.8385382493749e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.09921458339825,0.007873497493356751,-0.2245464374659818
