temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4675863014292827,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.028729611147156626,27.092246254409627,2.443154753890379,1222.334162449438,6.693458657940127,0.9998741178957157,1.1250861803316033e-05,7.622510982741364e-05,3.760604417179562e-05,8.000884818573856e-07,0.9706869403935368,0.010771332327184161,0.008185517038768086,0.010175947067078969,0.0001802631734321324,19.897118291209544,0.6049286946925981,1.00000000034728,2.033257255459273,4.62513521554034,6.158379751879758,6.791643310060687,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.3073703528236362,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.03850704800120661,27.092246254409627,2.443154753890379,1221.8697637308715,7.814120747406379,0.9985338333365988,0.0001440011947533319,0.0008529653404678117,0.0004595417548825885,9.658373297444413e-06,0.7331089641160469,0.103169973068838,0.0688070782905544,0.0932811494506632,0.0016328350738974262,19.729710139229237,0.6108106680732576,1.0000000003468539,2.015750026074682,4.580358980133812,6.074838666924699,6.698007500459666,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.147154404217989,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.0482844848552566,27.092246254409627,2.443154753890379,1221.4133393297618,8.864788767540684,0.9973002707142251,0.00029007622809294157,0.0015095088601640872,0.0008818330509274755,1.8311146590487576e-05,0.5908449828848404,0.1658751085452229,0.09756516431667099,0.1432368566787696,0.002477887574495984,19.57200711063798,0.616411936671792,1.0000000003870786,2.000116443555043,4.538303732430628,5.998700726293375,6.611894009436317,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.986938455612343,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.05806192170930659,27.092246254409627,2.443154753890379,1220.9663832534968,9.84942777462094,0.9961611590318361,0.0004491420447254822,0.0020644701402419046,0.001298579980524301,2.664880267222522e-05,0.4961776477038696,0.21357218493618793,0.11138253719123802,0.17586013018662744,0.0030074999820768685,19.42331850307525,0.6217623522192817,1.0000000004608012,1.9857908437970413,4.498848082920406,5.927328188184416,6.531151009838,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.826722507006696,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.06783935856335657,27.092246254409627,2.443154753890379,1220.5300633491993,10.77228412964342,0.9951053321989056,0.000620721367167043,0.0025343891927659006,0.0017049640539054203,3.459318725596755e-05,0.4286596069649311,0.252516788045489,0.11741893609892948,0.19805484499539025,0.0033498238952602323,19.28298409220249,0.6268753697573572,1.0000000005343277,1.9721919329631776,4.461846110933013,5.859946113469392,6.455313700889738,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.66650655840105,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.07761679541740657,27.092246254409627,2.443154753890379,1220.1051723372682,11.63764827365734,0.9941228458614725,0.0008042463205379438,0.0029335059083375383,0.002097307029063559,4.209488058843681e-05,0.3780801530017545,0.2858085047156813,0.11915952235268934,0.2133806199300127,0.0035711999998621624,19.150370805728265,0.631752887241911,1.0000000005965701,1.9593512726932403,4.427139105737745,5.796129226195713,6.383864851175356,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.506290609795403,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.08739423227145655,27.092246254409627,2.443154753890379,1219.6921509154345,12.449717138721127,0.9932049747942322,0.0009990887797510465,0.003273811296772843,0.002472996740597351,4.912838864663946e-05,0.33877530148963214,0.315151267304649,0.11845904091308115,0.22390423450804486,0.003710155784592939,19.02487563176511,0.6364106561499384,1.0000000006464653,1.9471974953323012,4.394564090370518,5.7359156091057315,6.316057906558929,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.346074661189757,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.09717166912550654,27.092246254409627,2.443154753890379,1219.2911367767317,13.212530810309923,0.9923441200387892,0.0012045814648070318,0.0035652617106334307,0.0028303499026550104,5.568688311531158e-05,0.30735185093450756,0.3415564466918226,0.11636471675100565,0.23093600091917468,0.0037909847034893183,18.9059276056615,0.6408631286196915,1.000000001036012,1.935544030799105,4.364048179004944,5.678944383877973,6.2516082279911585,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.18585871258411,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.10694910597955654,27.092246254409627,2.443154753890379,1218.9020214270145,13.929945914838148,0.9915336775714068,0.0014200347421717107,0.0038160574633136434,0.0031684529049968014,6.177731811100686e-05,0.281653650422122,0.36566164908298615,0.11349186628402787,0.23536289545313954,0.003829938757724523,18.792980574924663,0.6451235886802855,1.000000000710814,1.924431728263671,4.335545082143073,5.624688305936234,6.190253492680674,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.025642763978464,0.9800000000000001,0.007338000000000001,0.0055980000000000005,0.006941000000000001,0.00012300000000000004,307.77,85.89,0.6498359164311012,0.11672654283360652,27.092246254409627,2.443154753890379,1218.5245059110373,14.605622644434181,0.9907679019695564,0.0016447511270858317,0.0040329263200600245,0.003487004304793452,6.741627850431573e-05,0.26024520869126255,0.38788967719565187,0.11021162696956313,0.23781512550869352,0.0038383616348289865,18.6855428188812,0.6492227295690107,1.0000000007962544,1.9139021289662217,4.308676821543145,5.572935796757357,6.131753090669473,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
