feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
random,dirichlet,3,"CO2,O2,H2S",0.99,0.0,0.0,0.0,0.0,0.009912648287273014,0.0,8.735171272699336e-05
random,dirichlet,4,"CO2,Ar,O2,H2S",0.97,0.0,0.0006548158689959882,0.0,0.0,0.021310566555765617,0.0,0.008034617575238419
random,dirichlet,5,"CO2,H2,N2,CH4,H2S",0.98,0.0015921127653598561,0.0,0.009956997101028021,0.0032437640812459914,0.0,0.0,0.005207126052366148
random,dirichlet,3,"CO2,N2,O2",0.98,0.0,0.0,0.004014069972734535,0.0,0.01598593002726548,0.0,0.0
random,dirichlet,6,"CO2,H2,Ar,CH4,O2,H2S",0.97,0.0025816934402581398,0.008529603501333386,0.0,0.010223374126529265,0.004605748909968156,0.0,0.0040595800219110825
random,dirichlet,5,"CO2,H2,Ar,CO,H2S",0.95,0.03418161570310729,0.0005756858870510659,0.0,0.0,0.0,0.00038630759753002124,0.01485639081231166
random,dirichlet,3,"CO2,H2,Ar",0.97,0.0007934093725285643,0.02920659062747146,0.0,0.0,0.0,0.0,0.0
random,dirichlet,4,"CO2,H2,Ar,H2S",0.96,0.006347291035935216,0.025629279136187434,0.0,0.0,0.0,0.0,0.008023429827877383
random,dirichlet,2,"CO2,N2",0.97,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.0
random,dirichlet,7,"CO2,H2,Ar,N2,O2,CO,H2S",0.98,0.0008123560848643413,0.0034277407485772083,0.001605377465911969,0.0,0.0052847700774753415,0.0076270518296808875,0.001242703793490271
random,dirichlet,6,"CO2,H2,N2,O2,CO,H2S",0.97,0.00509992378145314,0.0,0.0080984914825551,0.0,0.0020146774176438256,0.006852826088569182,0.00793408122977878
random,dirichlet,5,"CO2,N2,CH4,O2,H2S",0.98,0.0,0.0,0.006100951182872043,0.008748222761952362,0.0037490344727947656,0.0,0.001401791582380846
random,dirichlet,5,"CO2,Ar,N2,CH4,H2S",0.98,0.0,0.006996178520159341,0.0029541444143463594,0.005723852338580846,0.0,0.0,0.004325824726913471
random,dirichlet,5,"CO2,H2,Ar,O2,CO",0.99,0.0032833527333652602,0.004219519275027878,0.0,0.0,0.0006063458717176665,0.0018907821198892044,0.0
random,dirichlet,5,"CO2,Ar,CH4,O2,CO",0.99,0.0,0.002424462803536756,0.0,0.0005270122709593441,0.004806744230759034,0.002241780694744874,0.0
random,dirichlet,4,"CO2,H2,N2,CO",0.97,0.007221242908699204,0.0,0.0026530471412319167,0.0,0.0,0.020125709950068908,0.0
random,dirichlet,5,"CO2,Ar,CH4,O2,CO",0.96,0.0,0.012720524542923892,0.0,0.0008515859963060682,0.025947555617279097,0.00048033384349097796,0.0
random,dirichlet,5,"CO2,N2,CH4,CO,H2S",0.97,0.0,0.0,0.011860951706862983,0.0030564527039036193,0.0,0.008231991028175435,0.00685060456105799
random,dirichlet,4,"CO2,CH4,CO,H2S",0.99,0.0,0.0,0.0,0.0019281898954326803,0.0,0.007007697371849957,0.0010641127327173702
random,dirichlet,6,"CO2,H2,Ar,O2,CO,H2S",0.99,0.0012653160031133397,0.005028870643779961,0.0,0.0,0.0017300983911536262,9.899456188084711e-05,0.0018767204000722346
random,dirichlet,2,"CO2,CO",0.97,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0
random,dirichlet,6,"CO2,H2,Ar,N2,CH4,H2S",0.96,0.0001362632615082201,0.01273475944492264,0.015246193562140534,0.004035439238105568,0.0,0.0,0.007847344493323067
random,dirichlet,4,"CO2,H2,Ar,O2",0.98,0.0025936842542206248,0.009959621190083989,0.0,0.0,0.007446694555695405,0.0,0.0
random,dirichlet,4,"CO2,Ar,CO,H2S",0.95,0.0,0.034949525890745285,0.0,0.0,0.0,0.009994879540602145,0.005055594568652616
random,dirichlet,4,"CO2,Ar,CH4,O2",0.98,0.0,0.00522893242586872,0.0,0.0010810954233263642,0.013689972150804933,0.0,0.0
random,dirichlet,4,"CO2,H2,Ar,N2",0.96,0.011363036496372434,0.021807982730741356,0.006828980772886245,0.0,0.0,0.0,0.0
random,dirichlet,4,"CO2,Ar,N2,CO",0.99,0.0,0.00041499378754202937,0.005414293023994912,0.0,0.0,0.004170713188463068,0.0
random,dirichlet,7,"CO2,Ar,N2,CH4,O2,CO,H2S",0.95,0.0,0.0016258110120191635,0.00013449975294013141,0.003335084758760067,0.002953796966317627,0.013882956565147587,0.028067850944815478
random,dirichlet,4,"CO2,N2,CH4,H2S",0.98,0.0,0.0,0.0008841423324828985,0.006327544549943568,0.0,0.0,0.012788313117573554
random,dirichlet,5,"CO2,Ar,N2,CO,H2S",0.96,0.0,0.009924207113994915,0.004054648457425526,0.0,0.0,0.019733398692696136,0.006287745735883454
random,dirichlet,5,"CO2,Ar,N2,CH4,H2S",0.97,0.0,0.009703490777869233,0.0060389646968698266,0.004664974026248979,0.0,0.0,0.009592570499011991
random,dirichlet,5,"CO2,H2,N2,CH4,CO",0.99,0.0004638804147380761,0.0,0.0027840624800636723,0.00524418851488974,0.0,0.0015078685903085211,0.0
random,dirichlet,6,"CO2,H2,Ar,N2,CO,H2S",0.95,0.010065965529428761,0.026057874401161345,0.0007942880237487021,0.0,0.0,0.008686948451587132,0.004394923594074103
random,dirichlet,3,"CO2,O2,CO",0.97,0.0,0.0,0.0,0.0,0.007618485713974378,0.022381514286025646,0.0
random,dirichlet,4,"CO2,Ar,CH4,O2",0.97,0.0,0.00685460518211689,0.0,0.009544050080965875,0.013601344736917265,0.0,0.0
random,dirichlet,4,"CO2,CH4,O2,CO",0.99,0.0,0.0,0.0,0.006016359611974777,0.0014507248029515213,0.002532915585073711,0.0
random,dirichlet,5,"CO2,N2,O2,CO,H2S",0.97,0.0,0.0,0.010464902181306043,0.0,0.003623349013359902,0.009910137213935867,0.006001611591398217
random,dirichlet,3,"CO2,Ar,H2S",0.96,0.0,0.00441014617232727,0.0,0.0,0.0,0.0,0.03558985382767277
random,dirichlet,7,"CO2,H2,N2,CH4,O2,CO,H2S",0.97,0.0008099918004973482,0.0,0.00148233811053736,0.01127737268725628,0.0007782889823287919,0.011113823140147491,0.00453818527923275
random,dirichlet,3,"CO2,O2,CO",0.97,0.0,0.0,0.0,0.0,0.013923385418598316,0.016076614581401704,0.0
random,dirichlet,6,"CO2,H2,Ar,O2,CO,H2S",0.98,0.00496391462837566,0.0004423493610000901,0.0,0.0,0.002327353242827357,0.012222936310008722,4.344645778819074e-05
random,dirichlet,5,"CO2,H2,Ar,N2,H2S",0.97,0.0007635057103814234,0.010159741145359743,0.009320960759251271,0.0,0.0,0.0,0.009755792385007588
random,dirichlet,4,"CO2,H2,N2,CO",0.98,0.005201090040217502,0.0,0.005759291945397247,0.0,0.0,0.009039618014385268,0.0
random,dirichlet,5,"CO2,Ar,N2,O2,H2S",0.99,0.0,0.002843614649954557,0.0025480052997606884,0.0,0.0019469125681657973,0.0,0.0026614674821189652
random,dirichlet,4,"CO2,N2,O2,CO",0.97,0.0,0.0,0.008404619728530361,0.0,0.009768391115612774,0.011826989155856888,0.0
random,dirichlet,4,"CO2,Ar,N2,CH4",0.99,0.0,0.005563148725843374,0.0013805496753316472,0.003056301598824987,0.0,0.0,0.0
random,dirichlet,4,"CO2,N2,CH4,O2",0.98,0.0,0.0,0.010335951157833785,0.0034092790198980713,0.006254769822268161,0.0,0.0
random,dirichlet,2,"CO2,H2",0.97,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0
random,dirichlet,5,"CO2,H2,N2,CH4,H2S",0.98,0.0002288692310880467,0.0,0.0026215582483375796,0.005139733858051747,0.0,0.0,0.012009838662522644
random,dirichlet,5,"CO2,H2,Ar,CH4,O2",0.96,0.006365866563311745,0.01015490724609608,0.0,0.008156500341316751,0.015322725849275456,0.0,0.0
random,dirichlet,5,"CO2,H2,O2,CO,H2S",0.99,0.001855208539539667,0.0,0.0,0.0,0.00630787468109165,0.0007382892739753511,0.0010986275053933394
random,dirichlet,6,"CO2,H2,N2,CH4,O2,CO",0.95,0.011019158114141997,0.0,0.00042165360830988204,0.004145136390584939,0.03151037946242659,0.0029036724245366363,0.0
random,dirichlet,4,"CO2,H2,Ar,CO",0.98,4.297788493186998e-05,0.007480480290848249,0.0,0.0,0.0,0.012476541824219898,0.0
random,dirichlet,3,"CO2,N2,O2",0.99,0.0,0.0,0.0014090429577781434,0.0,0.008590957042221865,0.0,0.0
random,dirichlet,4,"CO2,Ar,O2,CO",0.95,0.0,0.006590749490306799,0.0,0.0,0.029870313856468454,0.013538936653224793,0.0
random,dirichlet,5,"CO2,H2,N2,CO,H2S",0.97,0.004029702429319248,0.0,0.004299798821489882,0.0,0.0,0.018810516935917596,0.0028599818132733013
random,dirichlet,6,"CO2,H2,CH4,O2,CO,H2S",0.99,0.001354216953981354,0.0,0.0,0.002173427561920092,0.0003415248457180928,0.0035952481534021813,0.002535582484978288
random,dirichlet,3,"CO2,H2,O2",0.97,0.01985235486036045,0.0,0.0,0.0,0.01014764513963958,0.0,0.0
random,dirichlet,5,"CO2,H2,CH4,CO,H2S",0.99,0.0023069904391537113,0.0,0.0,0.0004293975026891551,0.0,0.00030101994123498684,0.006962592116922155
random,dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.99,0.00015655149767820163,8.778474279120167e-05,0.0,0.0009311062104632674,0.006251154695903932,0.002573402853163404,0.0
random,dirichlet,4,"CO2,H2,CO,H2S",0.96,0.009232941258259231,0.0,0.0,0.0,0.0,0.02445457320925299,0.006312485532487817
random,dirichlet,6,"CO2,H2,N2,CH4,O2,CO",0.96,0.004303508391208437,0.0,0.0011520430291291142,0.005197835374853929,0.022298097369496974,0.007048515835311576,0.0
random,dirichlet,2,"CO2,H2",0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0
random,dirichlet,4,"CO2,H2,Ar,O2",0.99,0.0016862670010800694,0.005643453072449588,0.0,0.0,0.0026702799264703534,0.0,0.0
random,dirichlet,2,"CO2,O2",0.96,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0
random,dirichlet,6,"CO2,H2,Ar,N2,O2,H2S",0.99,0.001295201426783758,0.0009013076701823525,0.0012051740207761285,0.0,0.003528038903257816,0.0,0.0030702779789999546
random,dirichlet,3,"CO2,CH4,O2",0.98,0.0,0.0,0.0,0.009560898852441725,0.010439101147558293,0.0,0.0
random,dirichlet,4,"CO2,Ar,CH4,CO",0.96,0.0,0.011117942898756774,0.0,0.016931414804765444,0.0,0.011950642296477817,0.0
random,dirichlet,6,"CO2,Ar,N2,CH4,CO,H2S",0.95,0.0,7.139693178710837e-05,0.0021235307198980012,0.007035851323214815,0.0,0.015658568323186878,0.02511065270191324
random,dirichlet,3,"CO2,N2,H2S",0.97,0.0,0.0,0.02421095335800894,0.0,0.0,0.0,0.005789046641991084
systematic,systematic_grid,3,"CO2,Ar,O2",0.95,0.0,0.01,0.0,0.0,0.04,0.0,0.0
systematic,systematic_grid,3,"CO2,O2,CO",0.95,0.0,0.0,0.0,0.0,0.03,0.02,0.0
systematic,systematic_grid,4,"CO2,N2,CH4,CO",0.95,0.0,0.0,0.04,0.01,0.0,0.0,0.0
systematic,systematic_grid,4,"CO2,Ar,N2,CH4",0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0
systematic,systematic_grid,4,"CO2,N2,O2,H2S",0.95,0.0,0.0,0.02,0.0,0.01,0.0,0.02
systematic,systematic_grid,4,"CO2,Ar,N2,O2",0.95,0.0,0.02,0.03,0.0,0.0,0.0,0.0
systematic,systematic_grid,3,"CO2,Ar,H2S",0.96,0.0,0.01,0.0,0.0,0.0,0.0,0.03
systematic,systematic_grid,3,"CO2,Ar,O2",0.95,0.0,0.04,0.0,0.0,0.01,0.0,0.0
systematic,systematic_grid,4,"CO2,N2,O2,CO",0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0
systematic,systematic_grid,4,"CO2,H2,CH4,CO",0.98,0.0,0.0,0.0,0.01,0.0,0.01,0.0
systematic,systematic_grid,4,"CO2,Ar,N2,H2S",0.95,0.0,0.02,0.01,0.0,0.0,0.0,0.02
systematic,systematic_grid,4,"CO2,Ar,N2,CH4",0.96,0.0,0.03,0.0,0.01,0.0,0.0,0.0
systematic,systematic_grid,4,"CO2,Ar,N2,H2S",0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03
