T,P,z_carbon dioxide,z_hydrogen,z_argon,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_oxygen,rhoL5_carbon monoxide,rhoL6_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_oxygen,rhoV5_carbon monoxide,rhoV6_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_oxygen,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4374204858,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.027797405162839316,0.00015243780026632942,0.9850478559068037,7.11892293724097e-06,4.412433069062007e-05,0.00010170881549688845,3.224077015362881e-05,0.014766951253917898,0.9676110319726163,0.006970661058690159,0.0048606220670311595,0.009831500403829732,0.007466066662117319,0.0032601178357153163,0.02738177435542758,1.9788758520951737e-07,1.2265418977462717e-06,2.8272411529994785e-06,8.962097507223971e-07,0.0004104829270250539,0.00014750049722733857,1.062592238188891e-06,7.409425358242091e-07,1.4986922948773336e-06,1.1381107786149407e-06,4.969651914854695e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.078526914346206,-0.02516915842242895
200.0,3.1781025999,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.027782331167296254,0.00019847795118050932,0.992782054010792,8.232149724801632e-05,0.0004646702421317464,0.001055268470155555,0.0003589109395912578,0.005256774840081323,0.7572016907598355,0.061447849592534624,0.039098915263002375,0.07802463718924427,0.06332106614249293,0.0009058410528903346,0.02758179980147642,2.2870830987320567e-06,1.2909622550491914e-05,2.931781810826771e-05,9.971382583289784e-06,0.0001460454594790501,0.00015028784021242975,1.2196043291574367e-05,7.760272594781056e-06,1.5486170130923774e-05,1.2567835474527513e-05,1.79789476272869e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.83773076696061,-0.06628489816292316
200.0,3.918784714,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.027781298441606404,0.00024460456954275214,0.9912354148263459,0.00016936508114798537,0.0008649390873550806,0.0019391346803071187,0.0007055261161595777,0.005085620208684243,0.619908412357323,0.10241758338822621,0.05919727526366569,0.1166409537463445,0.10111495254456963,0.0007208226998710024,0.02753780688518024,4.705181864959068e-06,2.4029130919622165e-05,5.387167927208109e-05,1.9600431591376694e-05,0.00014128513277812161,0.00015163243036059388,2.5051808898285994e-05,1.4479924033972754e-05,2.853091028218066e-05,2.4733179441500265e-05,1.7631652621859096e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.71052850513256,-0.11662954431479733
200.0,4.6594668281,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.0277805044771071,0.00029084207582362297,0.9896831003650496,0.0002672952017696765,0.0012331679707616378,0.002732455964252588,0.0010605115304840645,0.0050234689676825,0.5259547063906832,0.13572193097286978,0.07115092415267579,0.13858374148575583,0.12798184127564793,0.000606855722367393,0.027493895800608497,7.425595549471744e-06,3.425802833276876e-05,7.590900514841702e-05,2.946154532063626e-05,0.00013955450214731227,0.00015296975859587042,3.947364813893991e-05,2.0693682477333378e-05,4.0305983049121565e-05,3.722250438433888e-05,1.764991780187768e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.588414074605563,-0.16270639450859647
200.0,5.4001489422,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.027779861040836053,0.0003371673736121806,0.9882061249478546,0.00037669517443898346,0.0015688802999789264,0.0034397168488246553,0.001419449887664196,0.004989132841238567,0.4576539825359339,0.16473419566853464,0.07826834944414493,0.1508662565355277,0.1479504929844194,0.0005267228314394389,0.02745222883075447,1.0464539600668457e-05,4.358327672311976e-05,9.555485608017139e-05,3.943212063374171e-05,0.00013859741704387894,0.0001543059913147956,5.554299609767489e-05,2.6389533819042722e-05,5.086717948278536e-05,4.9884079144184044e-05,1.7759375369800692e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.470575659470246,-0.20441942103905575
200.0,6.1408310563,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.02777937582957516,0.00038355990666450964,0.9868188435826236,0.0004979811636413302,0.0018725049170784914,0.004066607643855018,0.0017778198627183691,0.004966242830083353,0.40577223812075514,0.19115429543398935,0.08231107317015451,0.1571849274040816,0.163110676252879,0.0004667896181403568,0.027413211531588447,1.383360590084168e-05,5.201701783425088e-05,0.00011296782209007167,4.9386726123737294e-05,0.00013795912603781845,0.000155637961780646,7.331912371518105e-05,3.157122754260009e-05,6.0289836084177265e-05,6.256271575953933e-05,1.7904178236587734e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.356903777904144,-0.2418062413218962
200.0,6.8815131704,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.02777906918913806,0.0004300011418955814,0.9855232634728804,0.0006313721083651305,0.0021452103826264976,0.004619586020889767,0.0021312568352217873,0.00494931118001638,0.36502689080716505,0.21589216703330502,0.0843139948285399,0.15967761403036826,0.17466921043945655,0.00042012286116536486,0.027376918923518283,1.7538929482366932e-05,5.959194764423881e-05,0.0001283277996994718,5.9204331085449446e-05,0.00013748725770824956,0.00015696197986967466,9.283387835063276e-05,3.625511405405031e-05,6.866155636822027e-05,7.510795994296592e-05,1.806533100375457e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.247353631308133,-0.27496657898299404
200.0,7.6221952844,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.02777896086652842,0.00047647452639410995,0.9843170722051815,0.0007768801779917788,0.0023887401643426127,0.005105526396466219,0.002475816387478628,0.00493596466853917,0.3321793253086129,0.23944610335421718,0.08493077276438522,0.15966623070821803,0.1833948714791877,0.00038269638537885266,0.027343305429043566,2.1580924062415257e-05,6.635671954557811e-05,0.00014182621797046298,6.877560654047856e-05,0.00013711596936591655,0.00015827498670433632,0.00011408996869261573,4.046734972919622e-05,7.607689165783088e-05,8.738298453115462e-05,1.823450789761266e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.141854707345527,-0.3040508597525857
200.0,8.3628773985,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.02777906612214816,0.0005229656139319659,0.9831958725283013,0.0009343163864444209,0.00260523547511607,0.005531403103196094,0.002808174563347292,0.004924997943594855,0.30513429939912307,0.26208529698619004,0.08459634458411634,0.1580078498936463,0.18982422664128148,0.00035198249564271657,0.027312263153986837,2.5954436678046102e-05,7.23710085270154e-05,0.00015365721255193983,7.800846687775896e-05,0.00013681184352656522,0.0001595747462169627,0.0001370615982409245,4.424097928183254e-05,8.263267222570066e-05,9.927154322461841e-05,1.840747419270988e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.040292557672775,-0.32925271830405123
200.0,9.1035595126,0.96999903000097,0.006016993983006017,0.004200995799004201,0.0084989915010085,0.0064479935520064474,0.004835995164004836,0.02777939443828323,0.0005694621760661279,0.9821541291080876,0.0011033097750975719,0.002797065686681886,0.005904026811653456,0.003125744078625811,0.004915724539853474,0.2824767580896103,0.28394704624378386,0.08361073256235038,0.1552765704440219,0.1943625868980561,0.0003263057621773977,0.02728364695168212,3.064927743004901e-05,7.770079098012365e-05,0.0001640102895751211,8.68312776732746e-05,0.000136555850942538,0.0001608598293498147,0.0001616971028415346,4.7613149707439106e-05,8.842413369713811e-05,0.00011068214168080891,1.858187893924573e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,55.44611770258769,63.65845399182276,86.02971371321541,3.87,18.942509012741315,-0.3508002479662302
