T,P,z_carbon dioxide,z_methane,z_oxygen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_methane,y_oxygen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_methane,rhoL3_oxygen,rhoL4_carbon monoxide,rhoV1_carbon dioxide,rhoV2_methane,rhoV3_oxygen,rhoV4_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_methane,parachor_oxygen,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4412130278,0.99,0.005114,0.003761,0.001125,0.02777305286327226,0.00015280387931648152,0.9996032330200306,0.0003090504572931249,7.789209941679852e-05,9.824423259513978e-06,0.9804437386486466,0.00989544740572238,0.007426092954611588,0.0022347209910193724,0.027762033432963167,8.583274687820423e-06,2.1633013947340035e-06,2.7285422653764325e-07,0.00014981560671706775,1.5120627511665925e-06,1.1347358116294428e-06,3.4147403661773216e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.89640235496795,-0.011542544092311147
200.0,2.5052946787,0.99,0.005114,0.003761,0.001125,0.027770316923033653,0.00015683321802107127,0.9990987573980981,0.0006932122665700944,0.00018437449232334445,2.3655843008524637e-05,0.956003532179275,0.021631768454099188,0.017124652711955003,0.005240046654670758,0.027745289130354296,1.925072433758601e-05,5.12013808434271e-06,6.569302574282591e-07,0.00014993311039118647,3.3925798581430697e-06,2.6857143923091684e-06,8.218133794325641e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.875552061639162,-0.026164990199447402
200.0,2.5693763297,0.99,0.005114,0.003761,0.001125,0.02776773559321687,0.00016086352948757463,0.998611200237811,0.0010543483138181742,0.0002958031274296523,3.8648320941213194e-05,0.9327875580707894,0.03208615021532726,0.0267836181449951,0.008342673568888103,0.027729171768628484,2.9276865201257107e-05,8.213783030113222e-06,1.0731763570173945e-06,0.00015005149885336316,5.1614913713060455e-06,4.308507347251359e-06,1.3420319156540408e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.85515088396738,-0.0402456091447867
200.0,2.6334579806,0.99,0.005114,0.003761,0.001125,0.0277653064659771,0.00016489475524698462,0.9981404533618032,0.001392763378993404,0.0004119176942867474,5.486556491657726e-05,0.9107069115016125,0.04136116359133498,0.036383148651003096,0.011548776256049295,0.02771367558367979,3.867050205234167e-05,1.1437021020630206e-05,1.523359224337729e-06,0.00015017079327379567,6.820238947123673e-06,5.999390391921814e-06,1.9043326341434359e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.835193609359536,-0.053799412749221176
200.0,2.6975396315,0.99,0.005114,0.003761,0.001125,0.027763025693808334,0.00016892685571873986,0.997686268477349,0.0017089673398832967,0.0005323944148813813,7.236976788635968e-05,0.8896809514897198,0.049555543723847746,0.04589986637821277,0.014863638408219847,0.0276987895060964,4.744610416705925e-05,1.4780879819591841e-05,2.009203725283949e-06,0.0001502910057280151,8.371262184702133e-06,7.753720105181788e-06,2.5108677008408743e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.81567120611544,-0.06684050940008035
200.0,2.7616212824,0.99,0.005114,0.003761,0.001125,0.027760888168526298,0.00017295980941050486,0.997248275012251,0.0020036498054458282,0.000656853674260536,9.122150804267631e-05,0.8696363995708017,0.05676393703735516,0.055307916665492014,0.01829174672635091,0.027684497838870857,5.562309817787111e-05,1.8234841394232338e-05,2.5323900833370596e-06,0.00015041214592620352,9.817879731370846e-06,9.566046725355584e-06,3.1637370275748796e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.79657131650865,-0.07939010722507689
200.0,2.8257029333,0.99,0.005114,0.003761,0.001125,0.027758887725311886,0.0001769936110564498,0.9968259992221844,0.0022776508321996967,0.0007848700225922046,0.00011147992302370801,0.8505065092601766,0.0630765390356907,0.06458004581746968,0.02183690588666292,0.02767078099408045,6.322505372849456e-05,2.178711883610001e-05,3.0945586668415223e-06,0.0001505342183009745,1.1164144416870012e-05,1.1430255511424936e-05,3.864992827180316e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.777878796734882,-0.09147076164277124
200.0,2.8897845842,0.99,0.005114,0.003761,0.001125,0.02775701737751606,0.00018102826945120914,0.9964188869976743,0.0025319273782489706,0.0009159827178563872,0.00013320290622021415,0.8322303696552944,0.06857868526466289,0.07368859415934853,0.025502350920694083,0.027657616361679658,7.027875223666535e-05,2.5424948217044128e-05,3.697315382690126e-06,0.00015065722360343802,1.241468071470106e-05,1.3339718678959342e-05,4.6166464541107e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.759576347578726,-0.10310679900317155
200.0,2.9538662351,0.99,0.005114,0.003761,0.001125,0.027755269554389873,0.00018506380499494344,0.9960263268986255,0.0027675193310550362,0.0010497064235200284,0.00015644734679951309,0.8147522942946361,0.07335048312347424,0.08260637078136017,0.02929085180052952,0.027644979186340193,7.681324503041727e-05,2.9134884737772925e-05,4.342238281489599e-06,0.0001507811597105253,1.3574519505047525e-05,1.5287449293621633e-05,5.4206764857489836e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.741645149859263,-0.11432363310805371
200.0,3.017947886,0.99,0.005114,0.003761,0.001125,0.027753636327391893,0.00018910024718228627,0.995647672062936,0.0029855172063146056,0.0011855413817611887,0.0001812693489880911,0.7980212857472259,0.07746653490062584,0.09130737815915733,0.033204801192990976,0.02763284340064907,8.28589587932266e-05,3.2903084360473705e-05,5.030883589118564e-06,0.00015090602239152632,1.4648940898063552e-05,1.726624777946314e-05,6.279036113233267e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,3.87,19.724065467266467,-0.12514713526299914
