temperature,pressure,z_carbon dioxide,z_nitrogen,z_methane,z_oxygen,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_nitrogen,x_methane,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_oxygen,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_nitrogen,E_methane,E_oxygen,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.496298664639729,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.029182822827212167,12.65651718052879,2.4715828362769594,1218.445435287625,6.69815031708585,0.9850965169692001,3.3165751622607156e-05,0.0008871833401922696,0.00014770461793764308,0.013835429321047393,0.9458422093670821,0.008983207181635935,0.028270065016834742,0.013914517457133069,0.0029900009773141246,19.985650256598102,0.6062071375782416,1.0000000010710433,6.150269161423732,3.7967844864535145,4.033756975951724,1.0000000002112488,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.8422867109874455,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.0332275743627244,12.65651718052879,2.4715828362769594,1217.6940716545746,7.234528840766213,0.9909660769077702,0.00012401031380492917,0.0030619001646371535,0.0005388135729106417,0.005309199040877229,0.8408107292889494,0.02912132345629607,0.08482740151558801,0.04422062969434104,0.0010199160448254763,19.707213487823758,0.6120404048650677,1.0000000012178216,6.053991040750564,3.6943562041257603,3.948988852078073,1.0000000002917482,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.1882747573351615,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.03727232589823663,12.65651718052879,2.4715828362769594,1215.2933574920567,7.758331765248238,0.9888230125903299,0.000229208545588678,0.005187164635965863,0.0009711829597644859,0.004789431268351008,0.7524094104255772,0.04776396203326763,0.12808806366226316,0.07091002006314757,0.0008285438157446764,19.514710099475078,0.6176518192388087,1.0000000011740544,5.9691550221923455,3.635483592267064,3.8950183977252166,1.0000000003105693,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.5342628036828776,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.04131707743374886,12.65651718052879,2.4715828362769594,1212.9680632808572,8.292986274309879,0.9864603523343467,0.00034587644760581136,0.007165157221124248,0.001426784349618656,0.0046018296473046266,0.6810748000187016,0.06475037971329994,0.15964155488098825,0.09380808248738544,0.0007251828996247858,19.333719310235324,0.6230337405014169,1.000000001124176,5.888999650769175,3.5817165866024885,3.8451828289126233,1.000000000318656,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.880250850030594,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.045361828969261095,12.65651718052879,2.4715828362769594,1210.7725839192626,8.83901491254614,0.9841271909329963,0.0004745898599765154,0.008993215412502604,0.0019027742681796212,0.004502229526345023,0.622419755986482,0.08060821696115766,0.18256206017158683,0.11375759950080841,0.0006523673799651317,19.161596147747364,0.6282020924651774,1.0000000009973307,5.813373473991971,3.5316691417145,3.7985327783840157,1.0000000002105687,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.226238896378311,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.049406580504773326,12.65651718052879,2.4715828362769594,1208.715994134936,9.39619256171026,0.981875677766296,0.0006159376277860853,0.010673377257309572,0.002396150941830122,0.004438856406778185,0.5733741800566785,0.09569757707815417,0.19901049209146487,0.13132175386925676,0.0005959969044456437,18.997490721837856,0.6331721636069588,1.000000000910638,5.7420950570259865,3.4848132900192073,3.754750186352457,1.0000000001538722,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.572226942726027,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.05345133204028556,12.65651718052879,2.4715828362769594,1206.7977155737735,9.964052256033256,0.9797218106974158,0.0007704351596842812,0.012210186233771845,0.00290353341452208,0.00439403449460597,0.5317740434953042,0.11026084435114009,0.210537975923574,0.14687687596275484,0.0005502602672268563,18.840830794338284,0.6379593537186323,1.000000000839403,5.6744152303476945,3.4408698964568143,3.713614091551445,1.000000000119792,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.918214989073743,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.05749608357579778,12.65651718052879,2.4715828362769594,1205.0132478520477,10.541987527808692,0.9776701189592496,0.0009385060844916677,0.013610045490716425,0.003421254156970104,0.004360075308572258,0.49605627463800495,0.1244613191755663,0.2182886721969873,0.160681657730091,0.0005120762593504241,18.691103134203015,0.6425765686156532,1.0000000007926453,5.6100731327293545,3.3996008815178733,3.6749253158606483,1.0000000001052967,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.26420303542146,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.061540835111310026,12.65651718052879,2.4715828362769594,1203.3559555239988,11.129303913521092,0.97572021089229,0.0011204762339919886,0.014880724030864925,0.003945501036924578,0.004333087805928447,0.46506508483762415,0.13840829035021138,0.22312562129154132,0.17292144089246353,0.0004795626281596422,18.547809180258117,0.6470361463414087,1.0000000010911116,5.548809427884118,3.360784669052216,3.638491845233499,1.0000000006529717,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.610191081769175,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.06558558664682224,12.65651718052879,2.4715828362769594,1201.8179560421027,11.725258271855003,0.9738691844257045,0.0013165724375574475,0.016030895561966053,0.004472463582026335,0.004310883992745743,0.4379278711121314,0.15217344494153928,0.2257108184094427,0.1837364004231043,0.0004514651137824047,18.410458581384155,0.6513503019893975,1.000000000780167,5.490368125307506,3.324211344505269,3.6041280658235992,1.0000000001151872,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.956179128116892,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.06963033818233448,12.65651718052879,2.4715828362769594,1200.3907000763134,12.329091595270121,0.9721127550054747,0.001526924377894199,0.017069721131957524,0.0049984662782211736,0.004292133206452482,0.41397368062655554,0.16580188011392777,0.22655809098318552,0.19323944976910998,0.0004268985072211841,18.27857638660833,0.6555303999139298,1.000000001143849,5.434916642104347,3.289682470235303,3.5716551499529983,1.0000000006097804,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
