T_K,P_bubble_bar,P_dew_bar
200,41.932726344619766,2.523435040819802
201,41.662975689021124,2.655995949890016
202,41.4098630904638,2.79391217126606
203,41.17308003094397,2.937329193348682
204,40.9523396737507,3.0863942340666517
205,40.747375594337804,3.24125622668908
206,40.55794060210101,3.4020658064899494
207,40.38380564550154,3.5689752983264422
208,40.224758793747874,3.74213870519162
209,40.08060428885065,3.9217116978027495
210,39.951161662159784,4.107851605285072
211,39.83626491051853,4.300717407013642
212,39.735761727103444,4.5004697256735335
213,39.649512782668026,4.707270821600996
214,39.57739105324708,4.921284588469436
215,39.51928119070985,5.142676550383845
216,39.475078932696434,5.371613860450176
217,39.44469054892123,5.608265300887266
218,39.428032321055085,5.8528012847519895
219,39.42503005346767,6.105393859348456
220,39.435618612390606,6.3662167113988195
221,39.45974149137512,6.6354451740522915
222,39.497350400870964,6.913256235816177
223,39.548404880042376,7.199828551494851
224,39.61287192906484,7.495342455228045
225,39.69072566032201,7.799979975724785
226,39.781946966792795,8.11392485379627
227,39.886523206515385,8.437362562295233
228,40.00444790160932,8.770480328579346
229,40.13572045076109,9.113467159621736
230,40.280345853982794,9.466513869903697
231,40.43833444882445,9.82981311222952
232,40.60970165679678,10.203559411619917
233,40.794467739293125,10.587949202450101
234,40.99265756220043,10.983180869009638
235,41.20430036832973,11.389454789679828
236,41.42942955698624,11.806973384939466
237,41.66808247002028,12.235941169425743
238,41.920300183609946,12.67656480830098
239,42.18612730525799,13.129053178193658
240,42.46561177529812,13.593617433012241
241,42.7588046724005,14.070471074951705
242,43.06576002234444,14.559830031049263
243,43.38653460971765,15.061912735675278
244,43.72118779163383,15.576940219385321
245,44.06978131311431,16.105136204602108
246,44.432379123351424,16.646727208645466
247,44.80904719231427,17.20194265467433
248,45.19985332682707,17.771014991176745
249,45.604866985581666,18.354179820700587
250,46.0241590921177,18.95167603860246
251,46.45780184496663,19.56374598266869
252,46.90586852406547,20.19063559457566
253,47.36843329228245,20.832594594245606
254,47.8455709909907,21.489876668308153
255,48.33735692839533,22.16273967399284
256,48.843866659179184,22.851445859964933
257,49.36517575388275,23.55626210580041
258,49.90135955619037,24.27746018200321
259,50.45249292618647,25.015317032735183
260,51.018649967119174,25.770115083710895
261,51.599903733281565,26.542142578042853
262,52.196325915813894,27.331693943229084
263,52.80798650319025,28.139070192919974
264,53.4349534122622,28.964579367645765
265,54.07729208555937,29.808537019320354
266,54.73506504940085,30.67126674508558
267,55.40833142681323,31.553100776941058
268,56.097146398075296,32.454380634672724
269,56.801560600590335,33.3754578508489
270,57.521619458153694,34.31669477818437
271,58.25736242812552,35.27846549139387
272,59.00882215254918,36.261156797916
273,59.77602349681199,37.265169374577745
274,60.55898245603181,38.290919050653066
275,61.35770490538418,39.338838261875445
276,62.172185165312065,40.409377705127575
277,63.00240434645578,41.50300822995054
278,63.84832843082197,42.62022301115271
279,64.70990603578232,43.761540057111254
280,65.5870657939513,44.92750512157699
281,66.47971326542772,46.118695103911
282,67.38772727628239,47.33572204498539
283,68.31095554815232,48.579237855398816
284,69.24920944441065,49.849939951926565
285,70.20225760582895,51.1485780309765
286,71.16981817626126,52.47596228021202
287,72.15154921892017,53.83297342964353
288,73.14703678272232,55.22057518457109
289,74.15577987678573,56.63982978454288
290,75.17717131662063,58.09191772677222
291,76.21047296794676,59.578163130448225
292,77.25478324687548,61.10006688544179
293,78.30899369249143,62.65935077169731
294,79.37172974938042,64.25801741399046
295,80.4412681037125,65.89843373052054
296,81.5154180820772,67.58345036788462
297,82.59134587005258,69.3165783667946
301,86.8124325612142,86.81243256121748
302,87.79797224755927,87.79797224755906
