feature,importance_mean,importance_std
temperature,6.4547967653892595,0.08834977356588208
pressure,1.1297961630173599,0.023873782245962472
z_hydrogen,-0.2899576207056869,0.013758511525163344
z_carbon dioxide,-0.621863356375784,0.00495874865951225
z_methane,-0.7646264506346443,0.004093228471402756
z_hydrogen sulfide,-0.7882104131763573,0.0025948439599862575
z_nitrogen,-0.8280467260543155,0.006486840413846091
z_carbon monoxide,-0.8669448134014461,0.001622128701852189
z_argon,-0.8835296637186796,0.0032952893601928424
z_oxygen,-0.9158116349603652,0.001027400276123804
