T,P,z_carbon dioxide,z_hydrogen,z_nitrogen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_nitrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_nitrogen,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_nitrogen,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4142162049,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.027782260899358605,0.00015104499582334138,0.9953290321093269,6.26129121320563e-06,2.2101208321991802e-05,0.004642605391138053,0.9866765606942622,0.0061459962458905145,0.006140984790667934,0.0010364582691793289,0.027652490850767396,1.7395282605214036e-07,6.140215357926518e-07,0.00012898207422936618,0.00014903255698905368,9.283219772908046e-07,9.27565022057641e-07,1.5655183493925937e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.965032775030707,-0.007393523916761069,-0.007959798210517732
200.0,2.8253959774,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.027778888300834477,0.0001763565748957937,0.9970839648619947,9.115319329297903e-05,0.00030452664881085547,0.0025203552959013917,0.8505028669615493,0.07657622455570826,0.07243595109812631,0.0004849573846161444,0.02769788408645452,2.532134374750039e-06,8.459411761944203e-06,7.001266824326139e-05,0.00014999177255639172,1.3504720681095879e-05,1.2774556234984762e-05,8.552542332132529e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.91708783324224,-0.04753315003195624,-0.055417059705117566
200.0,3.2365757499,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.02777878630840772,0.00020167415750189997,0.9967677170661223,0.0001814426291514147,0.0005731023243642083,0.0024777379803620197,0.7468535788221997,0.13334489092212767,0.11938226218297934,0.0004192680726932518,0.027688997411499217,5.0402560224328175e-06,1.5920087001365107e-05,6.882855388470226e-05,0.00015062106628624598,2.6892218533902846e-05,2.4076317146423294e-05,8.455553532785691e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.894127096099396,-0.0883427024759662,-0.10336505071798285
200.0,3.6477555224,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.02777885183627486,0.000227004896262057,0.9964356572955826,0.00027626306103705183,0.0008253376809015469,0.0024627419624787665,0.6662564900694391,0.18042131115399954,0.15294990639474051,0.00037229238182071364,0.02767983848839514,7.67427064038402e-06,2.2926933152658772e-05,6.841214408667443e-05,0.00015124348541213523,4.0956521021977975e-05,3.4720377634429396e-05,8.451219351436521e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.872397223351218,-0.12762693239460887,-0.14954252214988628
200.0,4.0589352949,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.02777905043059971,0.0002523441809120178,0.9961080243837334,0.0003754945268099202,0.0010616566837027286,0.002454824405754033,0.6018057143953411,0.220640503291502,0.17721811807591797,0.0003356642372389749,0.027670935043680775,1.0430881396666949e-05,2.9491814556561344e-05,6.819269096570825e-05,0.00015186217006726407,5.567734707910944e-05,4.4719960848636776e-05,8.470291700752634e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.85163347768388,-0.16542534960641575,-0.19399620933516815
200.0,4.4701150675,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.02777937148550523,0.0002776885471232278,0.9957886217618691,0.0004789857808700129,0.0012826145879763847,0.0024497778692846245,0.5490946329726692,0.255794427259817,0.19480489284890165,0.00030604691861220077,0.02766238204496222,1.3305923943062892e-05,3.563022711212422e-05,6.805328948782705e-05,0.00015247729086334254,7.103118286799675e-05,5.409508766770757e-05,8.498572418096277e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.831755246975924,-0.20180054454382912,-0.23679782312062514
200.0,4.88129484,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.027779807894156794,0.0003030353621167407,0.9954783960393387,0.000586556898002468,0.001488861805367991,0.0024461852572907786,0.5051839220327382,0.28706548744338295,0.20746906321319278,0.0002815273106859475,0.027654198604756167,1.6294437945501082e-05,4.136029493407025e-05,6.795455652105634e-05,0.00015308859274874612,8.699099393862423e-05,6.287046269883084e-05,8.531273053946826e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.81270962119683,-0.2368233822490282,-0.27802856837526946
200.0,5.2924746125,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.027780353212909635,0.00032838260431071513,0.9951774387609732,0.0006980060449073046,0.00168112014175898,0.002443435052360572,0.46803888866713367,0.31526304213679096,0.2164372049013028,0.00026086429477247013,0.027646380758298582,1.9390854472270987e-05,4.670211133140118e-05,6.787948880738104e-05,0.0001536958291792062,0.00010352689881979814,7.107421301522169e-05,8.566329648906181e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.79444931875958,-0.2705691723797692,-0.3177749736626616
200.0,5.703654385,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.027781001074415116,0.0003537287190789325,0.9948855037744706,0.0008131164052042483,0.0018601601767556666,0.0024412196435694223,0.4362067625336365,0.3409590830470045,0.22259095358648243,0.0002432008328767529,0.02763891524927859,2.258918772660378e-05,5.1677111869033385e-05,6.781952554088541e-05,0.00015429885936459132,0.00012060701970454428,7.873681289070455e-05,8.602711909242334e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.776927991464806,-0.30311544092388587,-0.3561263522143179
200.0,6.1148341576,0.9900009900009898,0.003787003787003786,0.003790003790003789,0.0024220024220024216,0.027781745096906472,0.000379072518168854,0.994602190318099,0.0009316626007996085,0.0020267800450134306,0.0024393670360878784,0.40862275723103963,0.3645696470937905,0.22657967478710908,0.00022792088806086966,0.027631784524242288,2.5883212891735656e-05,5.630748657805975e-05,6.776987319438969e-05,0.0001548976575646705,0.0001381983341717736,8.589012788742944e-05,8.639854498051535e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.76009939982233,-0.3345401755095381,-0.3931727573901469
