temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_methane,E_oxygen,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.547213958096365,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.029011548497680697,33.84259863474667,2.521994017917193,1221.4673639500274,6.783237665733227,0.9989863456381594,1.3251651199228578e-05,6.771864792718192e-06,0.0007546387097030764,0.0002383775250777471,6.146110680365785e-07,0.9408660665580079,0.012266699188104148,0.0017724931780764386,0.023174392163120706,0.02178639367202173,0.00013395524066929664,19.841851558294113,0.6064813616292369,1.0000000006267733,2.028334541635642,6.133735945134315,3.725284145829052,3.9840557982398344,6.763997127426295,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.614695292244739,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.041169650253356935,33.84259863474667,2.521994017917193,1215.9287532388564,8.11491657141736,0.9926041557685082,0.00011991840908029932,5.95330099582261e-05,0.0052496729935241895,0.00196135643157117,5.3633873579062905e-06,0.6705020461600205,0.07739481996573168,0.010912158473964486,0.11412867144504005,0.12624317065793783,0.0008191332973054488,19.397826360849194,0.6198372421306012,1.0000000005285035,1.9875641237411152,5.932918356436237,3.5952200591903853,3.863246234368677,6.5386009781379215,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.682176626393113,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.053327752009033176,33.84259863474667,2.521994017917193,1211.5205109650108,9.418536550525637,0.9872006672325654,0.0002555723490726319,0.000122554518016236,0.008654888887539474,0.0037553710234261017,1.094598938024283e-05,0.5231051426926471,0.12607594558606533,0.017244446495967538,0.1458364593882221,0.18645388887758746,0.0012841169595105145,19.02159529326086,0.6313425933733342,1.0000000003637157,1.9540455641346774,5.76715624285436,3.489989958264523,3.7648234757995085,6.353037167234067,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.749657960541486,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.06548585376470942,33.84259863474667,2.521994017917193,1208.0304830354132,10.66587124579221,0.9826480687132416,0.00042221829927799537,0.00019450164343059583,0.011193914107001915,0.005524092702978823,1.7204534069021575e-05,0.43044462183312143,0.1681866729779915,0.022190892347799834,0.15423551395455046,0.22330482740966026,0.0016374714768765271,18.70155969446267,0.641316030613433,1.0000000008881191,1.92594847184585,5.628543643784052,3.4042052807609133,3.684272580109812,6.197187187146427,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.81713929468986,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.07764395552038565,33.84259863474667,2.521994017917193,1205.2553866879134,11.835255611124051,0.9788132175736632,0.0006206147493900036,0.00027330294427880256,0.01307872412308866,0.00719021646491438,2.3924144664964917e-05,0.36684657055637193,0.20707279435495488,0.02622104199664964,0.15266791166812677,0.24527586678209387,0.0019158146418028156,18.427500722128713,0.6500438418647037,1.0000000007114949,1.9020164989025754,5.510644693237798,3.333716390171785,3.617848286174198,6.065411522640261,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.884620628838234,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.08980205727606189,33.84259863474667,2.521994017917193,1203.026706513791,12.91381251602218,0.9755758772636851,0.0008502437490028773,0.00035646774453139076,0.014482266446235972,0.008704276719705438,3.086807683911244e-05,0.32050357398405444,0.24393600354946335,0.02951757683410912,0.14686850521312628,0.2570398358757838,0.0021345045434631293,18.191020009307906,0.6577643484649996,1.000000000619163,1.8813981738776289,5.409788716054668,3.2752631738199307,3.5625658213980147,5.952291032095669,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.952101962986607,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.10196015903173812,33.84259863474667,2.521994017917193,1201.213423480902,13.89728525613592,0.9728321127994267,0.001109393034924033,0.00044143459903514553,0.015535584997958794,0.010043663292329818,3.781127632564097e-05,0.2852328689576788,0.27912334752054957,0.032170025790098984,0.13947314033316144,0.26169846422802606,0.002302153170485074,17.98526825893921,0.6646527939517469,1.0000000005732705,1.8634890869093534,5.322164696602787,3.2263182977973024,3.5161323083136664,5.853755549947535,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.019583297134982,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.11411826078741438,33.84259863474667,2.521994017917193,1199.716108267239,14.788331922435031,0.9704929763403545,0.001395428819670952,0.0005258930704763803,0.016334554350195603,0.011206580742394601,4.456667690792339e-05,0.25748680713882305,0.31263608672479243,0.03424374878310052,0.13172268386634026,0.26148512609092334,0.0024255473960203954,17.804605616525116,0.67086192372088,1.000000000534928,1.847608047271835,5.24492416256967,3.184905140286466,3.4768082001233256,5.766896992339151,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.087064631283354,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.1262763625430906,33.84259863474667,2.521994017917193,1198.4598845145015,15.59416637698624,0.9684830134339762,0.001705191680534104,0.000608001050843548,0.01694820844463653,0.012204586495256296,5.099889475322272e-05,0.23508601453460345,0.3443698728046653,0.03580368868381468,0.12419366505997037,0.25803558626974377,0.0025111726472022153,17.64436067175676,0.676500372638278,1.0000000005018335,1.8334875856893262,5.176019166584987,3.149464575940244,3.4429985766348543,5.689467286676822,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.15454596543173,0.95,0.010341,0.001495,0.019651,0.0184,0.000113,305.72,87.8,0.6541933795629987,0.13843446429876685,33.84259863474667,2.521994017917193,1197.3885065567702,16.324305493507858,0.9667391899958726,0.002035385745516666,0.0006864632518043518,0.017425931414988043,0.013056004719960383,5.7024871857917406e-05,0.21661873045505456,0.3742284956198885,0.03691879930042453,0.11713622025874594,0.25253235908571436,0.0025653952801720672,17.500684431799336,0.6816774335945354,1.000000000475507,1.8207031263297508,5.113815540006146,3.1187654032583456,3.4135706201275773,5.619960087015998,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
