curve,T_K,P_bar
bubble,200.0,38.82468380584255
bubble,209.97666606128595,38.969830168989894
bubble,219.95333212257194,39.86896597139068
bubble,229.9299981838579,41.60669595156044
bubble,239.90666424514384,44.28994634131409
bubble,249.8833303064298,48.039683104736355
bubble,259.8599963677158,52.9835407984297
bubble,269.83666242900176,59.24539658257484
bubble,279.8133284902877,66.92264803442605
bubble,289.78999455157367,76.01428634917423
bubble,291.48467288228466,77.68236901945441
bubble,293.1793512129956,79.37737427555919
bubble,294.87402954370657,81.09222272625529
bubble,296.5687078744175,82.81624967624917
bubble,298.2633862051285,84.53257297098361
bubble,299.9580645358394,86.21230272792258
bubble,301.6527428665504,87.79913070227593
bubble,303.3474211972613,89.15171537349366
dew,200.0,2.5236616797443014
dew,209.97666606128595,4.104036017151935
dew,219.95333212257194,6.3553010803755114
dew,229.9299981838579,9.444615401556813
dew,239.90666424514384,13.556116484513993
dew,249.8833303064298,18.893383036986695
dew,259.8599963677158,25.685542208814955
dew,269.83666242900176,34.200531334842125
dew,279.8133284902877,44.77567846626612
dew,289.78999455157367,57.90508932037714
dew,291.48467288228466,60.445871675452
dew,293.1793512129956,63.093820220753756
dew,294.87402954370657,65.85929101447445
dew,296.5687078744175,68.7563558852035
dew,298.2633862051285,71.80544630476385
dew,299.9580645358394,75.03915639523058
dew,301.6527428665504,78.51766721911969
dew,303.3474211972613,82.38637599501563
