T_[K],Density_Liquid_[kg/m3],Density_Vapor_[kg/m3],IFT_[N/m],Saturation_Pressure_[bar]
220.0,1166.1397659987451,15.81742023012038,0.015693181961212107,5.991304490107265
220.08458458458458,1165.8312857374394,15.871343345168695,0.015673398433711128,6.0125967054794724
220.16916916916918,1165.5226742373882,15.925410056033469,0.015653619962937404,6.033945836278228
220.25375375375376,1165.2139312313025,15.97962065591172,0.01563384655269089,6.055351978524347
220.33833833833833,1164.9050564512668,16.033975438599295,0.015614078206778214,6.076815228271547
220.42292292292294,1164.5960496287414,16.08847469849361,0.015594314929012728,6.09833568162479
220.5075075075075,1164.2869104945657,16.14311873059511,0.015574556723214509,6.119913434732541
220.5920920920921,1163.9776387789461,16.197907830510346,0.015554803593210386,6.141548583799202
220.67667667667666,1163.668234211462,16.252842294453885,0.015535055542833926,6.1632412250754145
220.76126126126127,1163.3586965210554,16.30792241925066,0.015515312575925509,6.184991454842626
220.84584584584584,1163.049025436041,16.36314850233826,0.015495574696332304,6.206799369457558
220.93043043043042,1162.7392206840861,16.418520841769926,0.015475841907908312,6.228665065307285
221.01501501501502,1162.4292819922232,16.47403973621574,0.01545611421451435,6.250588638819484
221.0995995995996,1162.1192090868421,16.52970548496558,0.015436391620018121,6.272570186489106
221.18418418418418,1161.809001693687,16.58551838793216,0.0154166741282942,6.294609804846688
221.26876876876878,1161.4986595378552,16.641478745652243,0.015396961743224035,6.316707590468689
221.35335335335336,1161.1881823437932,16.697586859289792,0.015377254468696045,6.338863639978385
221.43793793793793,1160.8775698352956,16.753843030638073,0.015357552308605525,6.3610780500573405
221.52252252252254,1160.5668217355008,16.810247562122573,0.015337855266854765,6.38335091741682
221.6071071071071,1160.2559377668945,16.866800756802522,0.01531816334735302,6.405682338827325
221.6916916916917,1159.9449176512994,16.923502918374165,0.01529847655401655,6.428072411106663
221.77627627627626,1159.633761109874,16.980354351173105,0.015278794890768598,6.450521231109716
221.86086086086087,1159.3224678631175,17.037355360176512,0.01525911836153948,6.473028895750485
221.94544544544544,1159.0110376308548,17.0945062510056,0.015239446970266553,6.495595501973741
222.03003003003002,1158.6994701322499,17.151807329928424,0.015219780720894234,6.518221146795374
222.11461461461462,1158.387765085787,17.209258903862143,0.015200119617374053,6.540905927251824
222.1991991991992,1158.0759222092786,17.266861280375764,0.01518046366366465,6.563649940444789
222.28378378378378,1157.7639412198578,17.32461476769267,0.015160812863731804,6.586453283502492
222.36836836836838,1157.4518218339824,17.382519674692567,0.015141167221548424,6.609316053631299
222.45295295295296,1157.1395637674223,17.440576310915105,0.015121526741094645,6.632238348053375
222.53753753753753,1156.827166735264,17.498784986561528,0.015101891426357743,6.655220264052177
222.62212212212214,1156.514630451905,17.55714601249812,0.015082261281332242,6.678261898952015
222.7067067067067,1156.2019546310562,17.615659700257993,0.015062636310019905,6.701363350128455
222.7912912912913,1155.889138985731,17.67432636204378,0.015043016516429723,6.7245247150038105
222.87587587587586,1155.576183228249,17.733146310731406,0.015023401904578007,6.747746091041619
222.96046046046047,1155.2630870702312,17.792119859870994,0.015003792478488317,6.771027575747493
223.04504504504504,1154.9498502225974,17.851247323690938,0.014984188242191599,6.794369266694679
223.12962962962962,1154.636472395567,17.910529017099698,0.014964589199726071,6.817771261476471
223.21421421421422,1154.3229532986406,17.969965255689726,0.014944995355137358,6.841233657742304
223.2987987987988,1154.0092926406257,18.02955635573774,0.014925406712478452,6.864756553190274
223.38338338338338,1153.6954901296076,18.089302634210416,0.01490582327580976,6.888340045565089
223.46796796796798,1153.381545472959,18.149204408765026,0.01488624504919909,6.911984232656949
223.55255255255256,1153.0674583773364,18.209261997752954,0.014866672036721726,6.935689212295366
223.63713713713713,1152.7532285486752,18.26947572022235,0.014847104242460408,6.9594550823633
223.72172172172174,1152.4388556921854,18.329845895921064,0.014827541670505349,6.983281940778915
223.8063063063063,1152.1243395123552,18.390372845299208,0.014807984324954317,7.007169885530531
223.8908908908909,1151.8096797129379,18.45105688951195,0.014788432209912567,7.0311190146115585
223.97547547547546,1151.4948759969648,18.51189835042205,0.014768885329492942,7.055129426106441
224.06006006006007,1151.179928066724,18.572897550603823,0.014749343687815828,7.079201218112774
224.14464464464464,1150.8648356237702,18.634054813344747,0.014729807289009262,7.103334488789145
224.22922922922922,1150.5495983689161,18.695370462648928,0.014710276137208855,7.12752933633551
224.31381381381382,1150.2342160022336,18.756844823239465,0.014690750236557864,7.151785858996201
224.3983983983984,1149.9186882230456,18.818478220562525,0.014671229591207252,7.176104155061189
224.48298298298297,1149.6030147299273,18.88027098078859,0.014651714205315624,7.200484322866555
224.56756756756758,1149.2871952207051,18.942223430816533,0.01463220408304932,7.224926460799761
224.65215215215215,1148.9712293924456,19.004335898276473,0.014612699228582406,7.249430667284015
224.73673673673673,1148.6551169414597,19.066608711532293,0.014593199646096714,7.273997040789134
224.8213213213213,1148.3388575632985,19.12904219968494,0.014573705339781829,7.298625679838506
224.9059059059059,1148.0224509527459,19.191636692574964,0.014554216313835158,7.323316682989764
224.9904904904905,1147.7058968038239,19.25439252078624,0.014534732572461932,7.348070148856202
225.07507507507506,1147.389194809781,19.317310015648168,0.01451525411987521,7.3728861760914866
225.15965965965967,1147.072344663095,19.380389509239556,0.014495780960295943,7.3977648633923145
225.24424424424424,1146.755346055462,19.4436313343911,0.01447631309795296,7.422706309497277
225.32882882882882,1146.4381986778103,19.50703582468796,0.014456850537083019,7.447710613217193
225.41341341341342,1146.1209022202731,19.570603314474585,0.014437393281930791,7.472777873363294
225.497997997998,1145.8034563722078,19.634334138855806,0.014417941336748955,7.497908188827613
225.58258258258257,1145.4858608221791,19.69822863370071,0.01439849470579813,7.523101658528771
225.66716716716718,1145.1681152579602,19.762287135646766,0.014379053393346965,7.548358381442147
225.75175175175175,1144.8502193665286,19.826509982100987,0.014359617403672158,7.573678456573046
225.83633633633633,1144.532172834071,19.890897511244894,0.014340186741058431,7.5990619829950905
225.92092092092093,1144.2139753459596,19.955450062036824,0.014320761409798608,7.624509059803135
226.0055055055055,1143.895626586775,20.02016797421493,0.014301341414193623,7.650019786150244
226.0900900900901,1143.5771262402852,20.08505158830099,0.014281926758552534,7.675594261231145
226.17467467467466,1143.2584739894469,20.15010124560317,0.014262517447192535,7.7012325842844485
226.25925925925927,1142.9396695163996,20.21531728822012,0.014243113484439027,7.726934854592621
226.34384384384384,1142.6207125024682,20.2807000590427,0.014223714874625594,7.752701171488515
226.42842842842842,1142.3016026281623,20.346249901758625,0.014204321622094063,7.778531634343369
226.51301301301302,1141.9823395731569,20.411967160855177,0.014184933731194485,7.804426342581301
226.5975975975976,1141.6629230163092,20.47785218162234,0.014165551206285213,7.830385395661882
226.68218218218217,1141.3433526356378,20.543905310157,0.0141461740517329,7.856408893090039
226.76676676676678,1141.0236281083319,20.610126893364868,0.014126802271912495,7.8824969344283415
226.85135135135135,1140.7037491107408,20.676517278965374,0.014107435871207347,7.908649619265915
226.93593593593593,1140.383715318371,20.743076815494142,0.014088074854009132,7.934867047246414
227.0205205205205,1140.0635264058917,20.809805852306397,0.014068719224717965,7.961149318062481
227.1051051051051,1139.7431820471152,20.876704739580745,0.014049368987742346,7.987496531441281
227.1896896896897,1139.4226819150047,20.943773828322506,0.014030024147499286,8.013908787157126
227.27427427427426,1139.1020256816746,21.011013470366677,0.014010684708414212,8.040386185046657
227.35885885885887,1138.7812130183715,21.078424018382485,0.01399135067492109,8.066928824957241
227.44344344344344,1138.460243595487,21.146005825875502,0.013972022051462415,8.09353680680423
