task_id,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_argon,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_argon,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_argon,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
0,200.0,2.737828851987494,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.0339218046337194,48.91936627494164,2.7377288519874936,1221.4502158686153,7.346497159193495,0.9995702580861148,6.832671648792509e-06,0.0,0.0,0.0004229092422364,0.0,0.0,0.0,0.9599662769786396,0.0100085164922235,0.0,0.0,0.0300252065291369,0.0,0.0,0.0,22.48822914495248,0.6840508211028947,1.0000000093477546,1.6301584947129737,0.0,0.0,5.227941416214216,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,200.0,7.869099676760175,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.097498447240245,48.91936627494164,2.7377288519874936,1204.2423299190768,11.0947628027593,0.983667687615714,0.000516540910428,0.0,0.0,0.0158157714738579,0.0,0.0,0.0,0.3532811894384393,0.2531075275395348,0.0,0.0,0.3936112830220257,0.0,0.0,0.0,20.64962122834928,0.7448944419082495,1.0,1.5110030110233177,0.0,0.0,4.728678445084461,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,200.0,13.000370501532858,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.1610750898467706,48.91936627494164,2.7377288519874936,1195.7234499389,13.41514605457383,0.97535976421633,0.0014391095339081,0.0,0.0,0.0232011262497619,0.0,0.0,0.0,0.2243265596251608,0.4200336211649742,0.0,0.0,0.3556398192098649,0.0,0.0,0.0,19.70765206219524,0.7797099693748145,1.0,1.453534158498418,0.0,0.0,4.489803055997069,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,200.0,18.13164132630554,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.2246517324532962,48.91936627494164,2.7377288519874936,1191.8920086445382,14.940871709558978,0.9711639271874252,0.0025734207971572,0.0,0.0,0.0262626520154175,0.0,0.0,0.0,0.1678387606696213,0.5369694155597532,0.0,0.0,0.2951918237706254,0.0,0.0,0.0,19.207799897127952,0.800235840343631,1.0,1.4226458360961751,0.0,0.0,4.372260824957394,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,200.0,23.262912151078226,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.2882283750598218,48.91936627494164,2.7377288519874936,1189.7650596541168,16.17245384120596,0.968466925421732,0.0037805606404525,0.0,0.0,0.0277525139378156,0.0,0.0,0.0,0.1360101795488481,0.6152674927343476,0.0,0.0,0.2487223277168042,0.0,0.0,0.0,18.865606319330464,0.8153701756974613,1.0,1.4007987677811893,0.0,0.0,4.296765256163916,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,200.0,33.52545380062359,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.4153816602728731,48.91936627494164,2.7377288519874936,1187.2342684683397,18.331888323127068,0.9645942886904444,0.0062583519100821,0.0,0.0,0.0291473593994735,0.0,0.0,0.0,0.1013803129710519,0.7092709706335505,0.0,0.0,0.1893487163953977,0.0,0.0,0.0,18.345363599849787,0.8396955363388123,1.0000000001275238,1.3669311991067357,0.0,0.0,4.188984021513866,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,200.0,38.656724625396265,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6666666666666666,0.4789583028793986,48.91936627494164,2.7377288519874936,1186.32224422313,19.34776256108258,0.9629724069742034,0.0075059161806797,0.0,0.0,0.0295216768451167,0.0,0.0,0.0,0.0909510125354986,0.7392006231457257,0.0,0.0,0.1698483643187757,0.0,0.0,0.0,18.121729683624377,0.8504436919888634,1.000000000267748,1.352415750178424,0.0,0.0,4.144706872639585,0.0,0.0,0.0,22.53960113748808,1221.920496490378,7.249541730897533,302.7106577576344,2.6239816647333654
0,205.0,3.501353875815371,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6833333333333333,0.0433819090052703,46.391471363285554,3.5012538758153706,1205.6739434933647,9.248796057312644,0.9994455234197684,9.599712218651674e-06,0.0,0.0,0.0005448768680128,0.0,0.0,0.0,0.9599738339454812,0.010006627098234,0.0,0.0,0.0300195389562849,0.0,0.0,0.0,21.098643862539564,0.712180136194425,1.0,1.5575301031934543,0.0,0.0,4.494154249761645,0.0,0.0,0.0,21.15779579629945,1206.2779501886548,9.12387059747945,302.7106577576344,3.35468958110042
0,205.0,8.266911374423168,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6833333333333333,0.1024273494538863,46.391471363285554,3.5012538758153706,1189.4497220432422,12.778986824606768,0.9843917294557268,0.0005090901055403,0.0,0.0,0.0150991804387329,0.0,0.0,0.0,0.4277505206563499,0.2171001918495635,0.0,0.0,0.3551492874940865,0.0,0.0,0.0,19.53906615831858,0.7654746301237098,1.0,1.4646393084400589,0.0,0.0,4.127576447807751,0.0,0.0,0.0,21.15779579629945,1206.2779501886548,9.12387059747945,302.7106577576344,3.35468958110042
0,205.0,13.032468873030966,0.96,0.01,0.0,0.0,0.03,0.0,0.0,0.0,300.0,80.71,0.6833333333333333,0.1614727899025023,46.391471363285554,3.5012538758153706,1180.816434639307,15.064908533239429,0.975984898228968,0.0014035488079276,0.0,0.0,0.0226115529631043,0.0,0.0,0.0,0.2834617258555252,0.3738326731860167,0.0,0.0,0.342705600958458,0.0,0.0,0.0,18.683864625182675,0.797803091740724,1.0,1.4163660303475762,0.0,0.0,3.938652740177989,0.0,0.0,0.0,21.15779579629945,1206.2779501886548,9.12387059747945,302.7106577576344,3.35468958110042
