T,P,z_carbon dioxide,z_argon,z_nitrogen,z_methane,z_oxygen,rho_l,rho_v,x_carbon dioxide,x_argon,x_nitrogen,x_methane,x_oxygen,y_carbon dioxide,y_argon,y_nitrogen,y_methane,y_oxygen,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_nitrogen,rhoL4_methane,rhoL5_oxygen,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_nitrogen,rhoV4_methane,rhoV5_oxygen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_argon,parachor_nitrogen,parachor_methane,parachor_oxygen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.467299907,0.98,0.001394,0.009069,0.002557,0.00698,0.027774226622041154,0.00015440967798491982,0.9997057617064417,1.9071463251321324e-05,4.937700132291076e-05,0.00011724155922524799,0.00010854826975871201,0.9706377506351361,0.0020472314767462406,0.013354242100693385,0.0037161344324993903,0.010244641354924833,0.02776605438099498,5.296951423561283e-07,1.3714080246593493e-06,3.2562936354434975e-06,3.014844243708924e-06,0.00014987586251557827,3.161123530849789e-07,2.0620242225007247e-06,5.738071210709037e-07,1.5818717726849362e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.895523935047454,-0.009687034848226972
200.0,2.7547404254,0.98,0.001394,0.009069,0.002557,0.00698,0.027770705484872232,0.00017236994532118176,0.9986350065528177,9.225069366760887e-05,0.00024682242222681916,0.0005046189775486077,0.0005213013537391281,0.8728530062551683,0.008878758558447884,0.05979448823968733,0.014357717963330045,0.044116028983366425,0.027732798653861752,2.561866844618334e-06,6.854432794723777e-06,1.4013625007579738e-05,1.4476906363554525e-05,0.00015045362496163246,1.5304311272396364e-06,1.0306772668382951e-05,2.474839060276149e-06,7.60427750365054e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.831364826675415,-0.0450831564111418
200.0,3.0421809437,0.98,0.001394,0.009069,0.002557,0.00698,0.027767672666274293,0.00019036366799398582,0.9976391151599016,0.00016500833302580603,0.0004566209651771868,0.0008134027944693602,0.0009258527474261876,0.7934296349788111,0.014393145469417968,0.10016283807870686,0.020999170377416696,0.0710152110956474,0.02770211638883167,4.58189737866816e-06,1.2679301493598355e-05,2.258630254265798e-05,2.5708776027701106e-05,0.00015104017560969575,2.739931965529423e-06,1.9067365253350313e-05,3.997479097875694e-06,1.351871606753464e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.76901292689901,-0.07823920035007959
200.0,3.3296214621,0.98,0.001394,0.009069,0.002557,0.00698,0.027764995977404075,0.00020839045197879445,0.9967033081947434,0.0002367045305805515,0.0006778724252040345,0.0010631821534769284,0.0013189326959951073,0.727650860371397,0.018878112284773943,0.13583992461719613,0.025125202893519136,0.09250589983311369,0.027673463342692384,6.572100339402332e-06,1.882112515898316e-05,2.9519248214534717e-05,3.6620160998770866e-05,0.0001516354916755541,3.934018351530474e-06,2.830774328774287e-05,5.235852387039367e-06,1.927734627692765e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.708079027439986,-0.1096168337180714
200.0,3.6170619805,0.98,0.001394,0.009069,0.002557,0.00698,0.027762580875356543,0.00022645001296418208,0.995816830097929,0.00030687777316584704,0.0009098521139997603,0.0012680275274028583,0.001698412487502587,0.6722865720805874,0.02254375661465345,0.16780367372146276,0.027633714839882046,0.10973228274341444,0.02764644528263494,8.519718996366148e-06,2.5259842899532466e-05,3.520371678170024e-05,4.7152314044006056e-05,0.00015223930296329454,5.10503397764964e-06,3.7999144089662626e-05,6.2576550837398e-06,2.4848876849835494e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.648282012322813,-0.13954727341834072
200.0,3.9045024988,0.98,0.001394,0.009069,0.002557,0.00698,0.027760359268224084,0.0002445421268994642,0.9949717356302377,0.00037519832246885705,0.0011519509251064358,0.0014381378489362409,0.002062977273250863,0.625050836525992,0.025547699485265103,0.1967660055923664,0.029082928213742285,0.12355253018263412,0.02762077284282387,1.0415640228570464e-05,3.197857154031775e-05,3.992322336370102e-05,5.7268990267625246e-05,0.00015285126098435537,6.247488769515074e-06,4.8117577509069145e-05,7.112001121852973e-06,3.021379851467159e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.589416286216988,-0.1682730417881615
200.0,4.1919430172,0.98,0.001394,0.009069,0.002557,0.00698,0.027758281609179522,0.00026266660816830987,0.9941620343350268,0.00044143499065435883,0.0014036338870506173,0.001581001995697713,0.002411894791570688,0.5842806013472152,0.02801082945815516,0.22325673580907732,0.029828600549194194,0.13462323283635813,0.027596229714226476,1.2253476782729223e-05,3.8962464712938314e-05,4.3885898621251945e-05,6.69500548361325e-05,0.00015347100377441342,7.357509565754593e-06,5.864208954569879e-05,7.834977332664224e-06,3.5361027949778826e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.531328864040475,-0.19596743983948173
200.0,4.4793835355,0.98,0.001394,0.009069,0.002557,0.00698,0.027756311447204328,0.0002808233003540538,0.993383104956635,0.0005054314758092427,0.001664412604355202,0.0017021984729895824,0.002744852490211004,0.548737205744784,0.03002760527108145,0.24767753373712562,0.03010248337374987,0.143455171873259,0.027572650847567225,1.402891345778146e-05,4.619795462313546e-05,4.724675096125447e-05,7.6186980594931e-05,0.0001540981931443117,8.432451213953875e-06,6.955362244761212e-05,8.45347872986947e-06,4.0285554818306625e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.473903680146503,-0.22276524746904158
200.0,4.7668240539,0.98,0.001394,0.009069,0.002557,0.00698,0.027754421677152367,0.00029901207113490377,0.9926312958360275,0.0005670893968954454,0.0019338284308372965,0.0018059439243429671,0.003061842411896803,0.5174791741161832,0.031673029170477214,0.27033795370299213,0.030058459937874347,0.15045138307247313,0.027549907554571287,1.5739238250078215e-05,5.367228972072421e-05,5.012292920150606e-05,8.497966540877311e-05,0.0001547325196216594,9.470618051380615e-06,8.083431144310341e-05,8.98784236114934e-06,4.498677965761099e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.41705086654695,-0.24876856836169026
200.0,5.0542645723,0.98,0.001394,0.009069,0.002557,0.00698,0.027752591949362436,0.00031723280964491223,0.9919036529967359,0.0006263557096723449,0.0022114424582050833,0.0018954709856280772,0.0033630778497586457,0.48977817162822856,0.03300748769548014,0.2914801554012174,0.02980039856305507,0.15593378671201882,0.027527897334700402,1.7382994425689912e-05,6.137326016206067e-05,5.2604232815991854e-05,9.333412725829093e-05,0.00015537370548837097,1.0471058060957035e-05,9.246706865366384e-05,9.453664164696165e-06,4.946731327722421e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,61.77794369140718,75.52930996715713,55.44611770258769,3.87,19.360699424721467,-0.27405718114653865
