feature,importance_mean,importance_std
temperature,7.727999903557526,0.09949327381487115
pressure,1.6698171021582175,0.017740339329171677
z_hydrogen,0.3273114496643135,0.006045688919785541
z_methane,0.20223242169550265,0.004944804787207033
z_nitrogen,0.16617676324386574,0.010872161933243613
z_argon,0.14929241626405207,0.009537202259678256
z_carbon monoxide,0.09247676257562532,0.006212823189249409
z_oxygen,0.048167306441212754,0.0030823303344789956
z_carbon dioxide,0.02125437574749922,0.0016599388155718415
z_hydrogen sulfide,-0.02231203719959902,0.0015857212230759947
