,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
10652,200.0,7.579732379987918,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0
10575,260.0,25.743292421777337,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
89,240.0,25.39345424475774,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0
5604,290.0,61.468406764790274,0.9500000000000002,0.0,0.0127793031953464,0.0,0.0019066448341537,0.0,0.0247519768157292,0.0105620751547706
11651,215.0,38.30481968485564,0.98,0.0082265201045087,0.0074981249813925,0.0,0.0011315097552597,0.003143845158839,0.0,0.0
12277,240.0,44.228947883743714,0.9500000000000004,0.0112037948849288,0.0137490003520045,0.0186504131602375,0.0,0.0,0.0016617277863489,0.00473506381648
18673,235.0,20.750541998698647,0.9700000000000004,0.0003994480179376,0.0028965125947082,0.0244636991041966,0.0021890895987612,7.682263294672924e-08,5.381303946989452e-06,4.579255781623149e-05
15946,230.0,12.323946445363864,0.95,0.0,0.01,0.0,0.0,0.02,0.02,0.0
9419,260.0,43.67764208745375,0.9600000000000004,0.0036082422595,0.0195052515461021,0.0,0.0026124876871617,0.0092639920313291,0.0023813256183808,0.0026287008575261
10181,250.0,22.306116690413152,0.9800000000000004,0.0,0.0,0.0,0.0098069707131763,0.0072066354129923,0.0,0.0029863938738312
6370,285.0,55.22723746255522,0.9900000000000002,0.0054150379613553,0.0,0.0,0.0,0.0,0.0028630744407479,0.0017218875978966
8092,270.0,39.32308195321576,0.9800000000000002,0.0023490924837335,0.0014384260881545,0.0024760134139924,0.0132524367690595,0.0,0.0004840312450599,0.0
14144,205.0,19.45035126563288,0.95,0.0,0.04,0.0,0.01,0.0,0.0,0.0
7723,280.0,46.26565107580651,0.99,0.0,0.0,0.0076466531757139,0.0,0.0,0.0,0.002353346824286
3328,220.0,7.035489090781433,0.97,0.0,0.0,0.0,0.0,0.0,0.0033574531965251,0.0266425468034748
19295,265.0,43.61997725975197,0.98,0.0199312532813553,1.2331681778548162e-07,3.111098311804671e-08,6.821041355683285e-05,1.562011847671515e-07,1.0556256590468488e-07,1.2011353627176136e-07
3425,270.0,34.03607238024519,0.97,0.0,0.0,0.0,0.0,0.0,0.0033574531965251,0.0266425468034748
2771,235.0,14.620389695946326,0.9900000000000002,0.0012110902023586,0.000100655683005,0.0,0.0071968246920378,0.0004342903727188,4.017847614251893e-05,0.0010169605737371
