feature,importance_mean,importance_std
temperature,25.84257894756314,0.23254200246564188
z_carbon dioxide,0.982373297921223,0.02257805281824927
z_hydrogen sulfide,0.6185463791505046,0.023079026252333962
z_methane,0.09466673711022258,0.007607191339619308
z_hydrogen,0.08560983037686383,0.0028506193238530043
z_argon,0.024197412536176473,0.003273206146409538
z_nitrogen,0.020542067334881835,0.0025721705293963756
pressure,0.01691121447328173,0.0010774997164540309
z_carbon monoxide,0.012170070697574257,0.000773403997908564
z_oxygen,0.0036005523103338896,0.0003096195803096301
