trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
27,0.08002290736993733,1,0,1,0,117,0,0,3,1,1,0,0
37,0.08002291066115141,0,0,2,0,125,1,0,3,0,1,0,5
58,0.08002293125315144,1,3,2,0,68,1,0,3,2,1,0,3
78,0.08412760623793054,0,0,0,0,61,1,0,2,1,1,0,1
32,0.08412760770574322,0,0,1,0,107,1,0,3,1,1,0,5
95,0.08412760787771495,1,3,2,0,30,0,0,3,5,1,0,1
36,0.0841276079534925,0,0,0,0,55,2,0,3,1,1,0,5
26,0.08412760808561869,1,0,1,0,136,1,0,3,1,1,0,0
62,0.08412760908138271,1,1,2,0,95,1,0,2,1,1,0,1
73,0.08412760980843235,1,0,2,0,106,1,0,3,2,1,0,5
25,0.08412760983933107,1,0,1,0,78,0,0,3,1,1,0,0
24,0.08412761018563629,1,0,1,0,78,1,1,3,1,1,0,0
98,0.08412761112287141,0,3,2,0,143,1,1,3,1,1,0,3
49,0.08412761126353928,1,2,2,0,18,1,0,3,5,1,0,5
83,0.08412761209637526,1,1,2,0,124,1,0,3,1,1,0,0
69,0.08412761239200782,1,3,2,0,125,1,0,3,2,1,0,3
65,0.08412761312878607,1,3,2,0,24,1,0,3,2,1,0,3
22,0.0841276134017859,1,0,1,0,1,0,0,3,1,1,0,0
35,0.0841276146441843,0,1,1,0,49,0,0,3,6,1,0,5
71,0.08412761483074875,1,3,2,0,51,1,0,3,1,1,0,3
88,0.08412761485725014,1,0,1,0,133,2,0,3,4,1,0,3
29,0.08412761602313165,1,0,1,0,117,0,0,3,6,1,0,0
75,0.08412761609622009,1,0,2,0,83,0,0,3,5,1,0,0
56,0.08412761625092385,1,0,2,0,25,0,1,3,6,1,0,0
72,0.0841276165298977,1,3,2,0,127,1,0,3,6,1,0,0
17,0.08412761722045047,1,2,1,0,142,1,1,3,2,1,0,1
28,0.08412761811788158,1,0,1,0,23,1,0,3,1,1,0,0
42,0.08412761874073234,0,1,2,0,47,1,0,3,4,1,0,2
68,0.08412761875419492,1,3,2,0,75,1,0,3,2,1,0,3
96,0.08412761932113341,0,1,1,0,66,1,0,3,3,1,0,5
76,0.08412762029926854,0,3,1,0,13,1,0,3,0,1,0,3
2,0.084127620428872,1,0,0,0,46,0,0,2,4,1,0,3
67,0.08412762053876854,1,3,2,0,68,1,0,3,2,1,0,3
23,0.0841276209915629,1,2,1,0,1,1,0,3,1,1,0,0
63,0.08412762224043493,0,0,1,0,162,2,1,3,3,1,0,0
16,0.08412762287439181,1,3,2,0,14,0,0,2,5,1,0,2
4,0.08412762347896069,0,0,2,0,119,2,1,2,4,1,0,2
70,0.08412762458346484,1,3,2,0,151,1,0,3,2,1,0,3
61,0.08412762480991397,1,0,1,0,98,0,0,3,4,1,0,5
44,0.0841276252302436,0,0,2,0,58,1,0,3,3,1,0,5
54,0.08412762624517163,0,2,2,0,104,0,0,3,3,1,0,1
66,0.08412762637782743,1,3,2,0,36,1,0,3,2,1,0,3
34,0.08412762731289677,0,0,1,0,155,2,0,3,3,1,0,5
89,0.08412762803803189,0,1,0,0,122,0,1,3,0,1,0,0
91,0.08412762834716966,0,3,1,0,76,1,0,3,6,1,0,4
11,0.08412763180320902,0,3,0,0,112,2,0,2,1,1,0,4
31,0.08412763375329105,1,1,1,0,16,0,0,3,1,1,0,0
18,0.08412763414531885,1,3,0,0,172,1,1,3,0,1,0,3
50,0.08412763687813259,1,3,0,0,79,2,1,2,0,1,0,3
82,0.08412764243819315,0,0,1,0,34,2,0,3,0,1,0,5
10,0.08412764252362787,1,1,0,0,139,0,1,3,2,1,0,4
