feature,mean_abs_shap
temperature,1.6677898525030672
z_carbon dioxide,0.001964759492684989
z_hydrogen sulfide,0.0011921986199560633
z_hydrogen,0.00016560684499286455
z_nitrogen,0.00012542146538934348
z_methane,9.450122099077179e-05
pressure,9.349805968152432e-05
z_carbon monoxide,8.208308238832183e-05
z_oxygen,6.819381789556545e-05
z_argon,6.597323077069217e-05
