feature,importance_mean,importance_std
temperature,25.821914391611887,0.2313392747276405
z_carbon dioxide,0.9418277695222994,0.027450371013050492
z_hydrogen sulfide,0.5577580646215392,0.022158610606432632
z_hydrogen,0.11263163913795829,0.007137532477708632
z_methane,0.08916751181658301,0.006186936596190008
pressure,0.04683396430453553,0.0013688554584962407
z_nitrogen,0.046648837149203676,0.0028491426176774437
z_argon,0.04431213052301624,0.004695029412142437
z_carbon monoxide,0.01293569109256027,0.0005543011536034796
z_oxygen,0.00816161151671083,0.0004489986622990135
