temperature,pressure,z_carbon dioxide,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.269496380830857,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.027121132658112532,4.276157805360183,2.2470261196345116,1206.0547877197614,6.180357014100887,0.9240298345446657,0.00015982113095990388,2.1193839439992437e-05,6.245486521868142e-06,0.07578290499841248,0.9722793231340795,0.0060513163455080555,0.002303832676798161,0.0016527830233771198,0.01771274482023717,20.723694439428883,0.6022801951702625,1.0000000001528797,4.165361957525878,4.291290623415041,6.913541616913098,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.3372170651920885,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.027930414258987672,4.276157805360183,2.2470261196345116,1212.5896199483404,6.370776648857478,0.9546654135061612,0.00022785433123824402,2.9971287618409312e-05,8.92256164895325e-06,0.04506783831333316,0.9763305575776942,0.008062195339365799,0.0030901988415650895,0.0022215217303767775,0.010295526510998234,20.38155694242194,0.60350886443904,1.0000000003727154,3.9868630383528725,4.169472427894033,6.861460379386812,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.4049377495533206,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.028739695859862815,4.276157805360183,2.2470261196345116,1215.9776222577584,6.520307438594115,0.9716454776634492,0.000477239752557205,6.410254768582916e-05,1.9348250124649e-05,0.02779383178618308,0.9668034899571865,0.016060560379154352,0.006337430642264793,0.004597013942853192,0.006201505078541254,20.17256246414079,0.6046999505682635,1.0000000008319565,3.8839347164003404,4.096987620834934,6.823167503060889,1.0000000001960234,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.4726584339145523,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.029548977460737955,4.276157805360183,2.2470261196345116,1216.369952109842,6.630323210761353,0.9752687562385959,0.0008895947391085187,0.0001255544852831554,3.858883377454433e-05,0.023677505703237997,0.9449716545372447,0.02897080008209365,0.012031305194904272,0.008873464324357145,0.005152775861400246,20.092273679842737,0.6059086017965469,1.0000000007379615,3.8501158164806975,4.071009159380649,6.798371168138837,1.0000000001780742,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.5403791182757844,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.030358259061613102,4.276157805360183,2.2470261196345116,1216.1397956293188,6.733314421957005,0.9760189745548999,0.0013149241242324439,0.00019619254080729872,6.153251452808695e-05,0.022408376265532153,0.9216025391766127,0.04161956332688757,0.018276081794298963,0.013744512043536817,0.004757303658663945,20.040722492278444,0.6070807582056652,1.0000000007456737,3.831357724323067,4.055332990673842,6.777011379779649,1.0000000001779514,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.608099802637016,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.03116754066248824,4.276157805360183,2.2470261196345116,1215.7817786722417,6.836095919920145,0.9760977844242937,0.0017220066613944946,0.0002719140322152835,8.717024959121881e-05,0.021821124632505358,0.8988245487547548,0.05305759696246632,0.02465459765821181,0.018941464029057994,0.004521792595509236,19.99700136380688,0.6082109916916636,1.0000000007704637,3.8165511086344384,4.042449610772321,6.756975715975488,1.0000000001837042,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.6758204869982483,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.03197682226336338,4.276157805360183,2.2470261196345116,1215.3941599074408,6.94001059285363,0.9759431760985154,0.002104583446824049,0.00035164964149215014,0.00011540956549374366,0.021485181247674567,0.8769829727705037,0.06318762086259484,0.031062044800676165,0.024419142751262772,0.004348218814962546,19.956952551877734,0.6093104570933618,1.0000000008011918,3.8034943251914144,4.030867631515016,6.737838461222824,1.0000000001898477,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.74354117135948,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.032786103864238525,4.276157805360183,2.2470261196345116,1215.0069498420867,7.045439911940495,0.9756899834014245,0.002460969697267817,0.0004347824825583896,0.00014630481061673006,0.021267959608132457,0.8561259253992027,0.07205691669455444,0.03744338137534169,0.03016758649803751,0.004206190032863749,19.91928091548029,0.6103977509233743,1.0000000008295407,3.7915035622394297,4.020122229247472,6.71945770451604,1.0000000001940716,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.811261855720712,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.03359538546511367,4.276157805360183,2.2470261196345116,1214.6317992940515,7.15249205517145,0.9753923612860392,0.002790951657545456,0.00052076207279954,0.00017993618378371379,0.02111598879983212,0.8362285161939628,0.07975043036696465,0.043754614373623046,0.03618317011325342,0.004083268952196291,19.88344114994881,0.6114443585016254,1.0000000008540946,3.7802937227158298,4.010017471134339,6.701762046745877,1.0000000001941058,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.8789825400819438,0.97,0.005773,0.002196,0.001575,0.020456,309.97,83.68,0.6452237313288383,0.03440466706598881,4.276157805360183,2.2470261196345116,1214.2736946171897,7.261165515138533,0.9750758653626683,0.003095030821235387,0.0006090273557234264,0.0002163800072064268,0.02100369645316655,0.8172445188280455,0.08636506484760179,0.04995510166296561,0.042461949495430376,0.003973365165956643,19.849144883802673,0.6124524947655474,1.000000000870132,3.7697175830163214,4.000449700191987,6.684701409435915,1.0000000001885434,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
