temperature,pressure,z_carbon dioxide,z_argon,z_oxygen,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_argon,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_oxygen,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_argon,E_oxygen,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.2967074140504558,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.02699785369754856,7.567378497936577,2.2739677366836197,1206.281701303109,6.261984045518732,0.924428998964244,8.478039815238972e-05,9.73798339148841e-05,0.07538884080368867,0.9616559424427337,0.010461584787878769,0.010460998244351004,0.017421474525036503,20.71767398209199,0.6023637852859878,1.0000000003198,5.0037554496020125,4.290072402159843,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.475845251943792,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.029103623509389824,7.567378497936577,2.2739677366836197,1216.3557450423082,6.736065949640952,0.9714517882403426,0.00024528661550330343,0.00027939122669311023,0.028023533917461034,0.9401333816369273,0.02692252458600792,0.026863359739373573,0.006080734037691218,20.17121893278707,0.604877440829413,1.000000000440252,4.754136290508175,4.099030368256645,1.0000000000109721,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.6549830898371285,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.03120939332123109,7.567378497936577,2.2739677366836197,1217.238480070183,7.1483275454556905,0.9756950936813419,0.0005509825198975737,0.0006245166154908517,0.023129407183269696,0.8832852531437866,0.056185068961246164,0.05582564775336606,0.004704030141601211,20.063372771716846,0.606741766515205,1.0000000004977025,4.7135608265985125,4.0672285466528555,1.0000000000577807,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.834120927730465,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.033315163133072354,7.567378497936577,2.2739677366836197,1217.3238735296372,7.555820261723899,0.9761753046355633,0.0008709013382712763,0.0009825903011894137,0.021971203724976008,0.8303807899679357,0.08315513268519314,0.0822601241849563,0.004203953161914891,19.993898679132617,0.6085293431569255,1.0000000005353975,4.6909962712327,4.049154879508439,1.0000000000646945,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0132587656238012,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.035420932944913615,7.567378497936577,2.2739677366836197,1217.2716587930142,7.963139506167162,0.9760044379651749,0.0011945642852045845,0.0013416253409017072,0.02145937240871885,0.7831917571171323,0.10727761886663768,0.10565296907194409,0.0038776549442860347,19.931180140946758,0.6103428952564002,1.000000000560203,4.671661128250911,4.033485381385678,1.000000000068885,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.1923966035171376,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.03752670275675488,7.567378497936577,2.2739677366836197,1217.1726641890725,8.370914044574883,0.9756116844420402,0.0015205345781062606,0.0016999734592374927,0.021167807520616148,0.7410884805288392,0.12890149757391298,0.12638535408750842,0.0036246678097393843,19.870860105169182,0.6121237251520676,1.0000000005735998,4.6534265903854415,4.018664151324188,1.000000000070521,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.371534441410474,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.039632472568596144,7.567378497936577,2.2739677366836197,1217.0523574676272,8.779316670230283,0.9751174522919979,0.0018484152922752994,0.0020571751635766102,0.020976957252150197,0.7033541901869421,0.14838774008773542,0.14484366763480264,0.003414402090519854,19.811715698617697,0.6139035672006543,1.0000000005780605,4.635722938185171,4.004256048443256,1.0000000000697218,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.550672279303811,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.04173824238043742,7.567378497936577,2.2739677366836197,1216.9206136866687,9.188412134494435,0.9745684433852364,0.002178056826618796,0.002413053854544376,0.0208404459336004,0.6693653941980875,0.16604463089751806,0.16135653438852623,0.0032334405158682697,19.753272088092885,0.6156900841961388,1.0000000005767393,4.618330515343195,3.99009315149099,1.0000000000671814,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7298101171971467,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.043844012192278674,7.567378497936577,2.2739677366836197,1216.7820547982003,9.598229346759222,0.973986520707775,0.002509392326175504,0.002767527728899985,0.0207365592371495,0.6386011747111164,0.18212804795182502,0.17619630717550733,0.0030744701615513493,19.695306583955578,0.6174475616815045,1.00000000057199,4.6011474892296995,3.9760975012653628,1.0000000000634757,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.9089479550904835,0.96,0.01,0.01,0.02,309.18,85.07,0.6468723720809884,0.04594978200411995,7.567378497936577,2.2739677366836197,1216.6391302273319,10.008782786383227,0.9733832725696003,0.0028423887539231604,0.0031205538612365026,0.020653784815239978,0.6106288862837149,0.19684986049452818,0.18958834408785946,0.0029329091338974687,19.63770084791385,0.6192291323410722,1.0000000005655745,4.584120679355111,3.962228297760047,1.0000000000589768,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
