Complexity,Loss,Equation
1,6.049814613548238,"3.740462153202545"
5,0.4485559086576125,"(x * 2.4135439987472536) * x"
7,0.010991332190749655,"((x * x) * 2.0101863990008684) - -0.9923592307645532"
9,0.010979641459808166,"(x * ((-0.0014547426455200133 - x) * -2.0101863990070274)) + 0.9923592307544546"
11,0.010979641459808157,"((((x * 2.01018639899986) + 1.0029243038809375) * x) - x) + 0.992359230766734"
13,0.01075315064462513,"((((x * -0.011995293994938955) + 2.0103799310059993) * (x - -0.0161341080733083)) * x) + 0.9923592321492509"
15,0.010753150644625106,"0.992359230524942 + ((x * ((x * ((-0.011995294856009666 * x) + 2.010186399123135)) - -1.0324356892000608)) - x)"
17,0.010752687919781158,"(x * ((x * (((-0.011995699628947098 - (x * -0.0005250837722313693)) * x) + 2.0083375630089972)) - -0.032436855041192474)) + 0.9931293528558751"
19,0.009793520529512817,"(x * ((x * (((-0.12055564442889975 - ((x * x) * -0.023845323637264982)) * x) + 2.0101863990002036)) - -0.1277337500643483)) + 0.9923592307660245"
21,0.009793057732206777,"(x * ((x * (((-0.12052342931603979 - ((x + 0.022448541150790428) * (x * -0.023838953842216463))) * x) + 2.0083065039201635)) - -0.12769911159515013)) + 0.9931292203530773"
23,0.009793057628893034,"((x * ((x * ((x * (-0.12055557527110937 - ((x * (x + 0.022295472056440536)) * -0.023845310224342428))) + 2.008318470374525)) - -1.1277337070330116)) + 0.9931247422328394) - x"
25,0.009790263769510922,"(((x * (((-0.12055561174967815 - ((-0.023845316920251828 - (x * 0.0002484860211740226)) * (x * x))) * x) + 2.007204680871835)) - -1.12773371765068) * x) + (0.9939882092746759 - x)"
27,0.009756376236064198,"((x * ((x * (((-0.17684528529611968 - ((x * x) * (-0.05410962722172058 - (x * (x * -0.00457765086835378))))) * x) + 2.0101863998918663)) - -1.1533204998348994)) - x) + 0.9923592288220896"
29,0.00975514159848066,"(x * ((x * ((x * (-0.17705760947628071 - (x * (x * ((x * ((x + -0.013109221915086216) * 0.004513659790789082)) + -0.05386511748365051))))) + 2.009520036933066)) - -1.1542305760927594)) + (0.992662587012312 - x)"
