temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_water,z_carbon monoxide,z_nitrogen dioxide,z_nitrogen oxide,z_sulfur dioxide,z_hydrogen sulfide,z_propane,z_ethane,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_argon,x_methane,x_oxygen,x_water,x_carbon monoxide,x_nitrogen dioxide,x_nitrogen oxide,x_sulfur dioxide,x_hydrogen sulfide,x_propane,x_ethane,y_carbon dioxide,y_hydrogen,y_nitrogen,y_argon,y_methane,y_oxygen,y_water,y_carbon monoxide,y_nitrogen dioxide,y_nitrogen oxide,y_sulfur dioxide,y_hydrogen sulfide,y_propane,y_ethane,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_argon,E_methane,E_oxygen,E_water,E_carbon monoxide,E_nitrogen dioxide,E_nitrogen oxide,E_sulfur dioxide,E_hydrogen sulfide,E_propane,E_ethane
210.0,3.9421510329883263,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.04718878421101659,7.930540625517294,3.9321510329883265,1190.8352278684874,10.517489120833343,0.9998725778159679,0.0,0.0,0.00012742218403195875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9876270660939503,0.0,0.0,0.012372933906049646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.561999213615866,0.6514189697381212,1.0000000005386849,0.0,0.0,4.518762526089917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,4.384194321047101,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.05248018100367609,7.930540625517294,3.9321510329883265,1190.6515861915148,11.586254726360139,0.9987808848225987,0.0,0.0,0.0012191151774012296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933292755405167,0.0,0.0,0.10667072445948331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.462175785728554,0.654819710227939,1.0000000004224852,0.0,0.0,4.494488640253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,4.826237609105875,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.057771577796335585,7.930540625517294,3.9321510329883265,1190.4674902285071,12.658530397783192,0.9976887712709092,0.0,0.0,0.0023112287290909216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8160050613543999,0.0,0.0,0.1839949386456001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.362769958180657,0.658139524124215,1.0000000003645741,0.0,0.0,4.470229918981367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,5.268280897164649,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.06306297458899508,7.930540625517294,3.9321510329883265,1190.282906852363,13.734226610349971,0.996596107734472,0.0,0.0,0.003403892265527895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7514685295024276,0.0,0.0,0.24853147049757235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.263768399908816,0.6617023198352463,1.0000000003462288,0.0,0.0,4.446000561941662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,5.710324185223423,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.06835437138165457,7.930540625517294,3.9321510329883265,1190.0978121364242,14.813282439827415,0.9955028030765718,0.0,0.0,0.0044971969234281865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6968021698543873,0.0,0.0,0.30319783014561286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.165167932346293,0.6653103799927912,1.0000000003712304,0.0,0.0,4.421813742219908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,6.152367473282197,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.07364576817431406,7.930540625517294,3.9321510329883265,1189.9121881345081,15.89565694563821,0.9944087910675152,0.0,0.0,0.0055912089324847225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499113441754825,0.0,0.0,0.3500886558245176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.066962769706546,0.6688285438685071,1.0000000004005725,0.0,0.0,4.39768165123461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,6.5944107613409715,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.07893716496697356,7.930540625517294,3.9321510329883265,1189.7260208937907,16.98132335292221,0.9933140221294379,0.0,0.0,0.006685977870562135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092538322713644,0.0,0.0,0.3907461677286355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.969149831394315,0.6722625999102327,1.0000000004119969,0.0,0.0,4.37361548970695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,7.036454049399746,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.08422856175963304,7.930540625517294,3.9321510329883265,1189.5392992216332,18.070265174681563,0.9922184582119195,0.0,0.0,0.007781541788080512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5736692985991315,0.0,0.0,0.4263307014008684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.87172692079519,0.6756179082751956,1.0000000004076939,0.0,0.0,4.3496254760475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,7.47849733745852,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.08951995855229254,7.930540625517294,3.9321510329883265,1189.3520138811646,19.162473539320345,0.9911220694495126,0.0,0.0,0.008877930550487313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5422681603322989,0.0,0.0,0.45773183966770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.774692400976726,0.6788994485939938,1.0000000003890708,0.0,0.0,4.325720889434398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,7.920540625517294,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.6809338521400778,0.09481135534495204,7.930540625517294,3.9321510329883265,1189.1641570504412,20.257945318606847,0.9900248319146542,0.0,0.0,0.009975168085345886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143570763235937,0.0,0.0,0.48564292367640627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67804506462477,0.6825192010202046,1.0000000003655523,0.0,0.0,4.301910139410328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,6.097698124756629,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.07299135892694074,10.084009652046635,6.0876981247566295,1157.6681919092775,15.894379873666308,0.9998136899983032,0.0,0.0,0.00018631000169674073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884996848694658,0.0,0.0,0.011500315130534221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.277830619883193,0.7042729065163258,1.0000000002422984,0.0,0.0,3.6121496431873132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,6.539510516677741,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.07827999182041825,10.084009652046635,6.0876981247566295,1157.4620135553307,16.937430022761475,0.9987282555559386,0.0,0.0,0.001271744444061357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9266659611315481,0.0,0.0,0.0733340388684519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.194755388509853,0.7075657484714996,1.0000000001997007,0.0,0.0,3.5958341363926403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,6.981322908598853,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.08356862471389577,10.084009652046635,6.0876981247566295,1157.255319240435,17.98363707720637,0.9976424116442535,0.0,0.0,0.002357588355746535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8724624347699629,0.0,0.0,0.12753756523003718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.111992749479926,0.7107985744553588,1.000000000177543,0.0,0.0,3.5795576254713914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,7.423135300519965,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.08885725760737329,10.084009652046635,6.0876981247566295,1157.0480836395684,19.032953202838733,0.9965560735552553,0.0,0.0,0.0034439264447445796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8245686505349673,0.0,0.0,0.1754313494650327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.02953386461571,0.7139748645514786,1.0000000001530138,0.0,0.0,3.5634587833945983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,7.864947692441077,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.0941458905008508,10.084009652046635,6.0876981247566295,1156.8402862483204,20.085341976002884,0.9954691743354402,0.0,0.0,0.004530825664559772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7819509507414288,0.0,0.0,0.21804904925857108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.947377077926582,0.7170978529060413,1.0000000001353229,0.0,0.0,3.5477213478636895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,8.306760084362189,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.09943452339432833,10.084009652046635,6.0876981247566295,1156.6319101705974,21.14077618234545,0.9943816603312647,0.0,0.0,0.00561833966873525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7437889418002017,0.0,0.0,0.2562110581997983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.865517507791065,0.7201705357546835,1.0000000001216718,0.0,0.0,3.5320145737411996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,8.7485724762833,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.10472315628780583,10.084009652046635,6.0876981247566295,1156.4229412101547,22.19923591113768,0.9932934878575558,0.0,0.0,0.006706512142444141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094233654349325,0.0,0.0,0.29057663456506766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.78395231137286,0.7231954601421577,1.0000000003708283,0.0,0.0,3.5163451008464874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,9.190384868204411,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.11001178918128335,10.084009652046635,6.0876981247566295,1156.2133672388088,23.260707155130067,0.9922046208781968,0.0,0.0,0.0077953791218032305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783185157164126,0.0,0.0,0.3216814842835875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70267895502518,0.7263352754767838,1.0000000004027627,0.0,0.0,3.500712276780273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,9.632197260125524,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,83.54,0.7133592736705577,0.11530042207476088,10.084009652046635,6.0876981247566295,1156.003177730918,24.325180705346924,0.9911150292978522,0.0,0.0,0.008884970702147756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500346738896162,0.0,0.0,0.3499653261103837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6216955990118,0.7296058436363729,1.0000000004903857,0.0,0.0,3.485122952564688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
