temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen
200.0,2.533993207073795,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1222.3612696220312,6.611297571769218,0.9999645384227616,3.546157723832284e-05,0.9464099005578845,0.05359009944211556,19.905861765364914,0.6051675819545075,1.000000001057092,1.7699972899750196
200.0,30.355752948965776,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1219.6185013546174,11.206935763350648,0.9932022789714846,0.006797721028515438,0.0967401871278629,0.9032598128721371,18.635296502186996,0.6680489514031904,1.0,1.6580947608742942
200.0,58.17751269085775,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1217.1772281820386,15.943692984441986,0.9867847212297188,0.013215278770281138,0.060199156187033316,0.9398008438129668,17.49779569660102,0.7248153501559771,1.0,1.550804299135998
200.0,85.99927243274973,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1215.0191084503438,20.775590917802294,0.9806945103403583,0.019305489659641795,0.04819667393508055,0.9518033260649195,16.489022068248616,0.7732567050216894,1.0,1.45907703356719
200.0,113.82103217464172,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1213.1257488077601,25.672877052636444,0.9749142103986491,0.02508578960135093,0.042764264159633456,0.9572357358403665,15.59510668753542,0.8148384670432052,1.0,1.3823849457572304
200.0,141.6427919165337,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1211.4776944847938,30.599712708192083,0.9694253336978063,0.030574666302193788,0.040025971189136304,0.9599740288108637,14.80218696130679,0.8507465620464331,1.0,1.3196765254022471
200.0,169.46455165842568,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1210.054840473585,35.51687851626997,0.964208697679775,0.035791302320224955,0.0386352073178535,0.9613647926821465,14.09756765825592,0.8825752188540875,1.0000000000204856,1.2676433876875766
200.0,197.28631140031766,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1208.8370371346757,40.38541309930725,0.9592449725225732,0.040755027477426826,0.03799425506271113,0.962005744937289,13.46986526160177,0.9108621274017011,1.0,1.224309545714992
200.0,225.10807114220964,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1207.8047185442147,45.17007553169509,0.9545152603027783,0.0454847396972216,0.03779477107838384,0.9622052289216162,12.90898505902505,0.9367839534634784,1.0,1.1887229491248377
200.0,252.92983088410162,0.95,0.05,306.8,98.98,252.9398308841016,2.5239932070737954,1206.9394254039905,49.84179316359417,0.9500015852476681,0.04999841475233191,0.03786165741859568,0.9621383425814044,12.406065427867215,0.9607327968076064,1.0,1.1592410186251674
210.0,4.119379228107697,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1190.8244180460492,10.430517863608394,0.9999315162316593,6.848376834072873e-05,0.9478362282459499,0.05216377175405004,17.563671339329964,0.6515178949736615,1.0000000003607792,1.6241517809610801
