temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.5489655591916898,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.02743182909160234,84.24799926552214,2.5237282764274154,1222.288582210244,6.742971618405601,0.9998019111006711,3.546088693974022e-05,8.208320381142132e-05,8.054480857777389e-05,0.9409795746249812,0.0328926631871246,0.008542391104065836,0.01758537108382842,19.88603980032468,0.60532700937232,1.000000001477388,2.0318835321332265,4.6225954838994925,6.784685021903524,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.337122583801181,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.05743782376023655,84.24799926552214,2.5237282764274154,1220.7684812973243,9.342950517846896,0.9964801772790339,0.0006978356332909502,0.0013571491884497911,0.0014648378992251861,0.465226014273338,0.31108446097838555,0.0686534771696136,0.1550360475786629,19.437777183132695,0.6216334936783909,1.000000001356319,1.9862608073492345,4.504097431496859,6.533012101980627,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.12527960841067,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.08744381842887075,84.24799926552214,2.5237282764274154,1219.3197283170482,11.71030730420844,0.9934892982420002,0.0014161574699149107,0.002347603802071568,0.002746940486013332,0.31456245579693803,0.41414668372788255,0.078802590920049,0.19248826955513046,19.03147031781704,0.6367256145346936,1.000000001217234,1.9468127641425472,4.397982836842874,6.311377808680043,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.913436633020162,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.11744981309750496,84.24799926552214,2.5237282764274154,1217.9415278855006,13.874326482204006,0.9907688666543253,0.0021835740739466233,0.003127770754812656,0.003919788516915453,0.24075432327955631,0.47443591658840645,0.07887139734323582,0.20593836278880145,18.66101597867263,0.6507108991394972,1.0000000011184291,1.9105599750857807,4.302956487842291,6.110645800110922,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.701593657629651,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.14745580776613917,84.24799926552214,2.5237282764274154,1216.6307084673824,15.863427336944131,0.9882716581569958,0.0029933366316922993,0.003750878217350321,0.004984126993961647,0.19698499403164407,0.5170006290242659,0.07599368405813149,0.21002069288595862,18.321206165382065,0.6637088081066743,1.0000000010491612,1.8770870868562692,4.2174004130675415,5.92799148875522,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.48975068223914,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.17746180243477336,84.24799926552214,2.5237282764274154,1215.3824510386642,17.702845823313645,0.9859599243163132,0.003839279690200806,0.0042552922564190665,0.0059455037370670025,0.16804205181709864,0.5500603665778631,0.07225697589496956,0.2096406057100686,18.00757785357211,0.6758631463504877,1.000000001003688,1.8460969173223143,4.1404854894381,5.760509865170434,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,19.277907706848634,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.2074677971034076,84.24799926552214,2.5237282764274154,1214.1911913622391,19.414459650738603,0.9838032427421309,0.004715914949876573,0.0046688691627160385,0.00681197314527645,0.14750224649763388,0.5771581426445173,0.0684030144963993,0.20693659636144965,17.716344446260372,0.6872454704954564,1.0000000009398717,1.8172984467158786,4.070826594681437,5.607027977795298,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,22.066064731458123,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.23747379177204178,84.24799926552214,2.5237282764274154,1213.0512333440934,21.017039071768668,0.981776947254304,0.005618437658221093,0.005012035856238181,0.007592579231236806,0.1321856370200958,0.6001104255941521,0.06471276536377964,0.2029911720219726,17.44430898698849,0.6979971012182397,1.0000000010366046,1.7904555381613851,4.00717156500059,5.464714287545649,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,24.854221756067613,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.267479786440676,84.24799926552214,2.5237282764274154,1211.9571130647828,22.5265874522765,0.9798609362625383,0.006542691619027385,0.005299942051070881,0.008296430067363383,0.12033808433328405,0.6199714333339164,0.061286858895623526,0.198403623437176,17.188815564426278,0.7081663190482111,1.0000000010818253,1.765436937777498,3.948678390877063,5.332229025366804,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,27.642378780677102,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.2974857811093102,84.24799926552214,2.5237282764274154,1210.903792167747,23.956696929124877,0.9780387558403338,0.00748511088320828,0.005543957189060372,0.008932176087397471,0.1109127013942001,0.6374130061818636,0.058150376300289984,0.1935239161236463,16.947628397239786,0.7178283720583103,1.0000000010373216,1.7418772730089858,3.894633711557204,5.2089275096566965,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,30.430535805286592,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.32749177577794436,84.24799926552214,2.5237282764274154,1209.8867373943674,25.318884258871034,0.9762968791418197,0.008442652961720986,0.005752715674903747,0.00950775222155548,0.10324600438372299,0.6528953053318501,0.055296242432844346,0.1885624478515825,16.71888614119758,0.7270422108568887,1.0000000010692551,1.7196671453430936,3.8446793618792756,5.092995549134613,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,33.218692829896085,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.3574977704465786,84.24799926552214,2.5237282764274154,1208.9019342808076,26.62289879870308,0.974624138340483,0.00941273030525042,0.005932851218185434,0.010030280136081175,0.09689707725302263,0.6667515264117834,0.05270437589233569,0.18364702044285824,16.50103391914888,0.7358640308069205,1.0000000009548635,1.6987060515089503,3.7981070458684303,4.9835801620885745,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,36.00684985450558,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.3875037651152129,84.24799926552214,2.5237282764274154,1207.9458634404118,27.87699536255648,0.9730112730257439,0.010393145509736228,0.006089517620385309,0.010506063844134609,0.0915614290417915,0.6792334764662621,0.050350422355995905,0.1788546721359505,16.292770539199406,0.7443490752744091,1.0000000010959462,1.6787233730051951,3.7544224296655546,4.880106631559876,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,38.79500687911507,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.4175097597838471,84.24799926552214,2.5237282764274154,1207.0154584503234,29.088171034603935,0.971450570057402,0.011382032710875643,0.006226761811481686,0.01094063542024062,0.08702198669171042,0.6905378153209103,0.04820974670140263,0.17423045128597664,16.093003361990913,0.7525070035048081,1.0000000011930075,1.6598168423579103,3.713278819389031,4.782186322395441,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,41.58316390372456,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.44751575445248126,84.24799926552214,2.5237282764274154,1206.1080566913522,30.26236748822175,0.9699355756295781,0.012377806142878504,0.006347793862355069,0.011338824365188228,0.0831197996709265,0.7008220787991835,0.04625918503231689,0.16979893649757336,15.90081210885111,0.7603800236421577,1.0000000005929246,1.6416796178578041,3.6743840071344875,4.688874439872564,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,44.37132092833405,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.47752174912111545,84.24799926552214,2.5237282764274154,1205.221349620502,31.404641884585935,0.9684608645639992,0.01337911588525533,0.006455184492976712,0.011704835057768733,0.07973578797158802,0.710214979067382,0.04447771829900369,0.16557151466202638,15.715418137568445,0.7680064977460284,1.0,1.6244002440595384,3.637491017467765,4.599738000199029,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
