T,P,z_carbon dioxide,z_hydrogen,z_nitrogen,z_oxygen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_nitrogen,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_oxygen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_nitrogen,rhoL4_oxygen,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_nitrogen,rhoV4_oxygen,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_nitrogen,parachor_oxygen,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.3911881035,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.02780568993232279,0.00014953370481003383,0.9796059643873224,4.621198483913735e-06,3.698405908526406e-05,1.8938017801398901e-06,0.020350536553328018,0.9800624352840178,0.004630754328902701,0.010549944133748285,0.0001873689657413188,0.004569497287589871,0.027238619701607927,1.2849561215942548e-07,1.0283672793635582e-06,5.265846509185072e-08,0.0005658607093582397,0.0001465523668931632,6.924538508659228e-07,1.577572231858264e-06,2.8017975613723706e-08,6.83293858532714e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,20.153525848836882,-0.02879263159150014
200.0,2.951280909,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027784560809640778,0.00018424773243676154,0.9922269088151331,7.186490888383599e-05,0.0005537578581256583,2.5547944440558736e-05,0.0071219204734167775,0.8119583222880264,0.05795720895545064,0.1267330103085008,0.0020373417311067257,0.0013141167169153022,0.02756858888493596,1.996734930962235e-06,1.5385918882908784e-05,7.098384158700283e-07,0.0001978794324750741,0.00014960147971472608,1.0678484328405349e-05,2.3350269774225994e-05,3.753755941552006e-07,2.421230252488861e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.9140168147915,-0.040039112181307956
200.0,3.5113737144,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027783003419769692,0.00021895085779610057,0.9917725577344639,0.0001466758989354352,0.0010801039909331869,4.540098883198729e-05,0.006955261386835367,0.6879322819054444,0.0995462629358882,0.2083768999693109,0.0030547279773899963,0.0010898272119663744,0.027554420363170344,4.07509700172099e-06,3.0008532873803623e-05,1.2613758279800285e-06,0.00019323805089583907,0.00015062336322882593,2.1795739660208893e-05,4.5624300993172866e-05,6.68835310983287e-07,2.386186029095704e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.83031814365092,-0.06792231053751152
200.0,4.0714665199,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027781733583902197,0.00025371066582309765,0.9912234653279691,0.00022621877215693952,0.0015908836216814851,6.155899662341632e-05,0.006897873281569073,0.5976683529553221,0.13248517281103597,0.2653217113955766,0.0035835612673646654,0.0009412015707006048,0.027537906235853955,6.284749659741566e-06,4.419750494054847e-05,1.710215643884087e-06,0.00019163487780406917,0.00015163483576968888,3.361290140557609e-05,6.731494805549549e-05,9.091877151609529e-07,2.3879287717619576e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.74918206509696,-0.09419740840044355
200.0,4.6315593254,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027780633264033787,0.0002885187616872344,0.9906618826438146,0.0003106380114363382,0.002085136285531003,7.492270392771825e-05,0.006867420355290364,0.529069337922678,0.1599502495575763,0.3063041951261464,0.003844822638509983,0.000831394755089337,0.027521214450385093,8.629720673581646e-06,5.7926406453866435e-05,2.0814001609657245e-06,0.00019078128636028222,0.000152646430224136,4.614864793391603e-05,8.837450707740077e-05,1.1093034665699456e-06,2.398729852116371e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.669670681143803,-0.11877794510779438
200.0,5.1916521309,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027779682962462728,0.0003233680919912682,0.9901039254260068,0.0004000717483997835,0.0025621535479826065,8.612486893822211e-05,0.006847724408672777,0.4751803298158572,0.1837603078891717,0.33636019179222976,0.0039529284780740895,0.0007462420246672398,0.027504773148224308,1.111386633278414e-05,7.117581326410585e-05,2.392521554287464e-06,0.00019022761308724732,0.00015365815660433528,5.942222014584944e-05,0.00010876815344167037,1.278250939732766e-06,2.413108596803462e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.591624688226382,-0.14166475260445566
200.0,5.7517449363,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027778878605023854,0.00035825248509213566,0.9895549338421588,0.0004946355170456662,0.003021374676465803,9.562124099263714e-05,0.006833434723337152,0.43173085704532316,0.20502363495021173,0.35859656801012224,0.003970862092878659,0.000678077901464149,0.027488726380203738,1.3740419981744767e-05,8.393040035783676e-05,2.656250845596198e-06,0.0001898251536349375,0.0001546686524274446,7.34502267235362e-05,0.00012846811163513732,1.4225712127319384e-06,2.4292309328559167e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.515007481648972,-0.162874334991141
200.0,6.3118377418,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027778219828859932,0.0003931663436698701,0.9890171919669889,0.0005944169452552378,0.0034623740511895208,0.0001037482845816317,0.006822268751984679,0.3959557134392293,0.22444836240062707,0.37503875066560266,0.003934968535771633,0.0006222049587693579,0.02747313697298078,1.6511844575299394e-05,9.617858752368283e-05,2.8819426559756847e-06,0.0001895104811241923,0.00015567646010809663,8.824554198774449e-05,0.00014745261433371106,1.5470971916653154e-06,2.446300486526107e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.439812241218675,-0.1824306591836411
200.0,6.8719305473,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.02777770704026298,0.00042810449986549297,0.9884918187951235,0.0006994723363833022,0.003884860383604489,0.00011075989378984676,0.006813088591098912,0.36598609193348475,0.2425030729963623,0.38706830138921894,0.003866994021057905,0.0005755396598760182,0.027458036154187657,1.942973764282365e-05,0.00010791251362808915,3.076655881505006e-06,0.00018925197892290363,0.0001566802928449108,0.00010381665678095282,0.00016570568158001748,1.6554775413678459e-06,2.463911182439787e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.366038316734006,-0.20036395379161576
200.0,7.4320233527,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027777340419759062,0.0004630621564926834,0.9879793836643014,0.0008098244285681347,0.004288677460525298,0.00011685138624607527,0.006805263060359047,0.34051386759224517,0.2595057122977685,0.3956641456153538,0.003780313595101018,0.0005359608995313954,0.027443439667747045,2.249476883257393e-05,0.00011912805377155901,3.2458207342779847e-06,0.00018903210867360462,0.0001576790858429291,0.00012016727475877453,0.00018321709251548082,1.750520165566086e-06,2.481832099327664e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.2936830950963,-0.2167105641480589
200.0,7.9921161582,0.9800000000000001,0.003998000000000001,0.009112000000000002,0.00016200000000000003,0.0067280000000000005,0.027777119526583117,0.0004980348709836157,0.9874801462116733,0.0009254613128894737,0.004673803444655969,0.00012217560443443252,0.006798413426346802,0.31859615200774294,0.27567569897179256,0.401542869234822,0.0036833226754747874,0.0005019571101678108,0.027429354051449424,2.5706649505359446e-05,0.00012982479692596476,3.3936863676077703e-06,0.0001888403423347626,0.00015867199346105267,0.00013729611117073478,0.00019998235107375546,1.834423133471112e-06,2.499921446017342e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,61.77794369140718,55.44611770258769,86.02971371321541,3.87,19.222738694981157,-0.23151282759896574
