T,P,z_carbon dioxide,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_nitrogen,rhoL4_methane,rhoL5_oxygen,rhoL6_carbon monoxide,rhoL7_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_nitrogen,rhoV4_methane,rhoV5_oxygen,rhoV6_carbon monoxide,rhoV7_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.391952631,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.02779010856203593,0.00014965692445324553,0.9899049042037094,1.5074931673374946e-06,1.1145998691911442e-05,2.9789172072513795e-05,2.4812633653364628e-05,4.171375493375166e-06,0.010023669123212101,0.9900352513345836,0.00016840302042513987,0.003142680343693116,0.0009858079282885502,0.0024337806236714183,0.0009790523307277414,0.0022550244186102814,0.02750956475391286,4.1893398776836373e-08,3.0974851368052944e-07,8.278443258683272e-07,6.895457829370292e-07,1.1592297781391203e-07,0.0002785588531239918,0.00014816563081502973,2.520267810546352e-08,4.7032387477678037e-07,1.4753298264929005e-07,3.642321229325662e-07,1.4652196069549556e-07,3.374800190561828e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.02494783509155,-0.010978424536762788,-0.012408842109159934
200.0,2.4766609081,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027781533536275903,0.00015496795595136944,0.9946831919089126,7.446969683269687e-06,5.679351085882034e-05,0.00013214710350679203,0.00012167111388842658,2.1166397077250705e-05,0.004977582996072719,0.9622722175766347,0.0008000659251652478,0.015384321013826736,0.004199636833419464,0.01148532505524971,0.004773527378250225,0.0010849062174538284,0.027633824453987415,2.0688823799938676e-07,1.5778108265671667e-06,3.671249187795666e-06,3.3802101308873678e-06,5.880349702437727e-07,0.0001382848889349909,0.0001491213586266425,1.2398458104919975e-07,2.384076781212429e-06,6.508091358130961e-07,1.7798573472490968e-06,7.397437804853369e-07,1.6812569891775172e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.94828815829143,-0.014907745949262363,-0.021677002196732076
200.0,2.5613691853,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.02778014952521782,0.00016025643788241975,0.9946912170916004,1.4046090337154265e-05,0.00011090488974421049,0.00022350458289704847,0.0002277812489404755,4.113535141346023e-05,0.004691410745067335,0.931871982503369,0.00145933061869031,0.029043600176179518,0.0068705719963499156,0.020794643159563527,0.008969104964266518,0.0009907665815810584,0.027632670742225557,3.902024898108627e-07,3.080954420171964e-06,6.208990732451448e-06,6.327797154607273e-06,1.1427462130383055e-06,0.0001303280919821841,0.0001493384844784185,2.3386712664405685e-07,4.6544239075157485e-06,1.101053394349743e-06,3.3324754397876773e-06,1.4373568125668798e-06,1.5877672313712224e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.926636538911644,-0.024553355761042894,-0.03686310616624766
200.0,2.6460774625,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027779162423206133,0.00016554568359272414,0.9945258016815607,2.0541958938937742e-05,0.00016802919522719353,0.00029667957578886905,0.0003307065102840839,6.201020502769075e-05,0.004596230873172569,0.9032389273015068,0.002066533240568323,0.042596469623661634,0.00883330670330831,0.029234338695776296,0.013088968102493291,0.0009414563326853371,0.027627093778981364,5.706384138555827e-07,4.667710306056822e-06,8.241510123486887e-06,9.186749863593257e-06,1.7225915573605347e-06,0.00012767944396041534,0.0001495273056676868,3.4210565797697045e-07,7.051661682485774e-06,1.4623157965833667e-06,4.839618583773514e-06,2.1668221720506133e-06,1.5585403216709323e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.90843255998627,-0.03480909061367399,-0.05230340572677861
200.0,2.7307857397,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027778327976120867,0.00017083672064017967,0.9943275253906713,2.6869092927124342e-05,0.00022775883248853026,0.00035602021861959614,0.00042953454968956977,8.361434762894516e-05,0.0045486775679751115,0.8763338915819481,0.0026200970261346184,0.05595291028506684,0.010277946841551365,0.03680649185683669,0.01710410332579313,0.0009045590826691431,0.027620756115986717,7.463784757505294e-07,6.326759548324766e-06,9.889646398945395e-06,1.1931751598352254e-05,2.3226667719462227e-06,0.00012635465734083646,0.00014971000822370676,4.476087837039253e-07,9.558811703375e-06,1.7558507333247273e-06,6.287900367091457e-06,2.9220089216692892e-06,1.545319073084856e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.8917938327587,-0.045444602442955784,-0.06782409150302371
200.0,2.8154940169,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027777581427590937,0.00017612990212782277,0.9941225030574727,3.2994826033245714e-05,0.0002898631250941741,0.00040481780222196786,0.0005239055785527337,0.0001058397406816412,0.004520075869943545,0.8510250532587972,0.0031217343440094487,0.0690758178844797,0.01134255070879528,0.0435588020520745,0.021002563703925864,0.0008734780479179233,0.027614318777679468,9.165164668276801e-07,8.051696560159399e-06,1.1244859464559115e-05,1.45528298686177e-05,2.9399720150593974e-06,0.00012555677553624577,0.0001498909593387971,5.498307644794472e-07,1.216631704339272e-05,1.9977623462199793e-06,7.672007542237087e-06,3.699179489605825e-06,1.5384560309058552e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.876199900824997,-0.0563737034665408,-0.08339074956249704
200.0,2.900202294,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027776892892728684,0.00018142541899755346,0.9939182736285629,3.8900262155958797e-05,0.00035416531523031265,0.00044546701284579887,0.0006136856111279164,0.00012860058050789843,0.004500907589569237,0.8271804834278076,0.003574219043701688,0.08194478255038924,0.012124932319077937,0.0495515992952538,0.024778042409278982,0.0008459409544907197,0.02760796143070639,1.0805284154051345e-06,9.837612027471886e-06,1.2373689503061547e-05,1.7046279490108878e-05,3.5721245507106267e-06,0.00012502122803553434,0.0001500715657924888,6.484541875926136e-07,1.4866866508867776e-05,2.1997709263056924e-06,8.989919664140296e-06,4.495366726042588e-06,1.5347519211566912e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.86139767875974,-0.06754438710363075,-0.09899136956887489
200.0,2.9849105712,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027776245011610454,0.00018672339037368893,0.9937173771600637,4.457511477513306e-05,0.0004205172469694356,0.0004797238897406258,0.0006988736736415223,0.0001518236405365969,0.0044871092742732,0.8046790448255503,0.003980778156406289,0.09454806504178165,0.012695101536070284,0.05484881701793433,0.028427277123197682,0.0008209162990595803,0.027601737340292844,1.238129309414753e-06,1.1680390083430946e-05,1.332492829935842e-05,1.9412086391231205e-05,4.217090638099188e-06,0.00012463504659608198,0.00015025239941248838,7.433043936897053e-07,1.7654335257873526e-05,2.37047239995327e-06,1.0241557071574785e-05,5.308037563535878e-06,1.5328427457342598e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.84723151343518,-0.078919722182615,-0.11461979557191526
200.0,3.0696188484,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.02777562652954254,0.00019202389498604102,0.9935206470709005,5.001504287803633e-05,0.0004887892188833315,0.0005088946028764142,0.0007795535898976486,0.00017544435555535826,0.004476656119008742,0.7834114823201982,0.004344799906271966,0.10687921020478315,0.013103897013696172,0.0595138405791855,0.03194892659097505,0.0007978433848899443,0.027595658442430775,1.3891991518393935e-06,1.3576426795370236e-05,1.4134866432395147e-05,2.1652589372761253e-05,4.873076896621903e-06,0.00012434192846277816,0.00015043372421191247,8.343054009373289e-07,2.0523362236554283e-05,2.51626134406589e-06,1.1428079473593503e-05,6.1349573246221265e-06,1.5320499435541416e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.833593988959233,-0.09047142980497469,-0.13027181332040527
200.0,3.1543271256,0.9899990100009899,0.00012199987800012198,0.0022719977280022717,0.00071999928000072,0.0017639982360017636,0.000707999292000708,0.004414995585004414,0.027775029703743192,0.0001973269863684782,0.9933282545818859,5.5219949235129784e-05,0.0005588647107561039,0.0005339655030401643,0.000855863850859185,0.00019940476064804764,0.0044684266435754145,0.7632796354633342,0.004669669270674701,0.11893523370609713,0.013388777596078745,0.06360735482720037,0.03534295363065611,0.0007763755059587713,0.02758972177657926,1.5337357302449209e-06,1.5522483941624633e-05,1.4830907707714738e-05,2.3771643879973895e-05,5.5384731500673245e-06,0.00012411068275430462,0.00015061567022241036,9.214517645197282e-07,2.3469131240254794e-05,2.6419671341920167e-06,1.2551447638921923e-05,6.974118529298234e-06,1.5319983888114682e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.820405908150576,-0.10217685456770909,-0.14594395990901887
