T,P,z_carbon dioxide,z_nitrogen,rho_l,rho_v,x_carbon dioxide,x_nitrogen,y_carbon dioxide,y_nitrogen,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoV1_carbon dioxide,rhoV2_nitrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4416353092,0.99,0.01,0.02777494472296225,0.0001527972107092773,0.9999290308494447,7.096915055531659e-05,0.9805989036298952,0.019401096370104787,0.027772973558728542,1.971164233709504e-06,0.00014983277729922338,2.964433410053896e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.907789552323614,-0.0081757932941251,-0.009588732483180706
200.0,2.6771394551,0.99,0.01,0.027773499763528216,0.00016745815100099607,0.9995906147217383,0.00040938527826168345,0.8977870395112708,0.10221296048872913,0.027762129701599223,1.1370061928992799e-05,0.00015034175762921562,1.711639337178045e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.884697047889606,-0.047040744484910135,-0.055184580685658347
200.0,2.9126436011,0.99,0.01,0.02777205497698918,0.00018214260994607403,0.9992523033380342,0.0007476966619658862,0.8282200047815395,0.1717799952184605,0.027751289904186956,2.0765072802227888e-05,0.0001508541532804595,3.128845666561451e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.861625347704035,-0.08570014504689638,-0.10056172797654028
200.0,3.148147747,0.99,0.01,0.02777061023255144,0.00019684983208569342,0.9989140775515906,0.0010859224484093604,0.7689637460008033,0.23103625399919672,0.027740453503493884,3.0156729057554298e-05,0.00015137038428024395,4.547944780544949e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.838572499909827,-0.12415513910571718,-0.14572170995118228
200.0,3.383651893,0.99,0.01,0.027769165435514245,0.00021157927264644266,0.9985759234948715,0.0014240765051286072,0.7178897968477644,0.28211020315223545,0.0277296200194505,3.954541606374524e-05,0.00015189060105735247,5.968867158909015e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.815537313650854,-0.1624073275982738,-0.1906664118210415
200.0,3.619156039,0.99,0.01,0.02776772051579843,0.00022633053222598302,0.9982378309014553,0.0017621690985446616,0.6734169529805263,0.3265830470194737,0.027718789096768465,4.8931419029964626e-05,0.0001524148173780823,7.391571484790072e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.792519048529492,-0.20045808271634868,-0.2353974171815416
200.0,3.8546601849,0.99,0.01,0.02776627542060654,0.00024110331438856498,0.9978997920323128,0.0021002079676871064,0.6343462349070093,0.36565376509299063,0.027707960467735184,5.831495287135252e-05,0.00015294297970598714,8.81603346825778e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.769517238717036,-0.23830865387844824,-0.2799161358657152
200.0,4.0901643309,0.99,0.01,0.027764830109570305,0.0002558973973154972,0.9975618009659614,0.0024381990340386225,0.5997521097054997,0.40024789029450036,0.027697133927616902,6.769618195340078e-05,0.0001534750039081159,0.00010242239340738129,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.74653158996133,-0.27596010212183586,-0.3242237527564491
200.0,4.3256684768,0.99,0.01,0.0277633845520828,0.00027071261451813434,0.997223853207432,0.0027761467925679953,0.5689088320275703,0.4310911679724297,0.027686309321107706,7.70752309750965e-05,0.00015401079734064167,0.00011670181717749266,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.723561920140693,-0.31341686516631384,-0.3683248008183746
200.0,4.5611726228,0.99,0.01,0.027761938722791826,0.00028554884056978055,0.9968859450315702,0.003114054968429698,0.5412393168880085,0.4587606831119914,0.027675486519578876,8.645220321295072e-05,0.00015455025940815087,0.00013099858116162965,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.700608112484712,-0.350673443388839,-0.41221386020334805
200.0,4.7966767687,0.99,0.01,0.02776049260292186,0.00030040598222520553,0.9965480736730227,0.003451926326977371,0.5162790025304553,0.4837209974695446,0.027664665427655975,9.582717526588654e-05,0.00015509330085741082,0.0001453126813677947,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.67767010088364,-0.3877335963707793,-0.4558947511301845
200.0,5.0321809147,0.99,0.01,0.02775904617731876,0.00031528397074071646,0.9962102368958787,0.0037897631041212874,0.49364969925314467,0.5063503007468554,0.02765384596831036,0.0001052002090084017,0.00015563983733549194,0.00015964413340522452,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.6547478490979,-0.4245981455618839,-0.4993683451247932
200.0,5.2676850606,0.99,0.01,0.027757599433981314,0.0003301827567270652,0.9958724329247547,0.004127567075245284,0.4730404277093313,0.5269595722906687,0.027643028080469763,0.00011457135351154841,0.00015618979246441702,0.0001739929642626482,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.631841341478793,-0.46126789520373634,-0.5426354873455814
200.0,5.5031892066,0.99,0.01,0.027756152363407876,0.00034510230619052976,0.9955346603491215,0.004465339650878458,0.45419313387837257,0.5458068661216274,0.027632211715703726,0.00012394064770414903,0.0001567430979573304,0.00018835920823319935,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.608950576106533,-0.49774363848157677,-0.5856970046545804
