T,P,z_carbon dioxide,z_nitrogen,rho_l,rho_v,x_carbon dioxide,x_nitrogen,y_carbon dioxide,y_nitrogen,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoV1_carbon dioxide,rhoV2_nitrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4416353092,0.99,0.01,0.02777494472296225,0.0001527972107092773,0.9999290308494447,7.096915055531659e-05,0.9805989036298952,0.019401096370104787,0.027772973558728542,1.971164233709504e-06,0.00014983277729922338,2.964433410053896e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.903812111716956,-0.004198352687467377
200.0,2.6771394551,0.99,0.01,0.027773499763528216,0.00016745815100099607,0.9995906147217383,0.00040938527826168345,0.8977870395112708,0.10221296048872913,0.027762129701599223,1.1370061928992799e-05,0.00015034175762921562,1.711639337178045e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.861743906464348,-0.02408760305965174
200.0,2.9126436011,0.99,0.01,0.02777205497698918,0.00018214260994607403,0.9992523033380342,0.0007476966619658862,0.8282200047815395,0.1717799952184605,0.027751289904186956,2.0765072802227888e-05,0.0001508541532804595,3.128845666561451e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.819690925503902,-0.04376572284676428
200.0,3.148147747,0.99,0.01,0.02777061023255144,0.00019684983208569342,0.9989140775515906,0.0010859224484093604,0.7689637460008033,0.23103625399919672,0.027740453503493884,3.0156729057554298e-05,0.00015137038428024395,4.547944780544949e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.7776540689408,-0.06323670813669224
200.0,3.383651893,0.99,0.01,0.027769165435514245,0.00021157927264644266,0.9985759234948715,0.0014240765051286072,0.7178897968477644,0.28211020315223545,0.0277296200194505,3.954541606374524e-05,0.00015189060105735247,5.968867158909015e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.73563411695619,-0.08250413090361164
200.0,3.619156039,0.99,0.01,0.02776772051579843,0.00022633053222598302,0.9982378309014553,0.0017621690985446616,0.6734169529805263,0.3265830470194737,0.027718789096768465,4.8931419029964626e-05,0.0001524148173780823,7.391571484790072e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.69363173593028,-0.10157077011713511
200.0,3.8546601849,0.99,0.01,0.02776627542060654,0.00024110331438856498,0.9978997920323128,0.0021002079676871064,0.6343462349070093,0.36565376509299063,0.027707960467735184,5.831495287135252e-05,0.00015294297970598714,8.81603346825778e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.651647493174742,-0.12043890833615478
200.0,4.0901643309,0.99,0.01,0.027764830109570305,0.0002558973973154972,0.9975618009659614,0.0024381990340386225,0.5997521097054997,0.40024789029450036,0.027697133927616902,6.769618195340078e-05,0.0001534750039081159,0.00010242239340738129,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.609681872879822,-0.13911038504032902
200.0,4.3256684768,0.99,0.01,0.0277633845520828,0.00027071261451813434,0.997223853207432,0.0027761467925679953,0.5689088320275703,0.4310911679724297,0.027686309321107706,7.70752309750965e-05,0.00015401079734064167,0.00011670181717749266,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.5677352919883,-0.1575902370139204
200.0,4.5611726228,0.99,0.01,0.027761938722791826,0.00028554884056978055,0.9968859450315702,0.003114054968429698,0.5412393168880085,0.4587606831119914,0.027675486519578876,8.645220321295072e-05,0.00015455025940815087,0.00013099858116162965,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.52580810826,-0.17587343916412834
200.0,4.7966767687,0.99,0.01,0.02776049260292186,0.00030040598222520553,0.9965480736730227,0.003451926326977371,0.5162790025304553,0.4837209974695446,0.027664665427655975,9.582717526588654e-05,0.00015509330085741082,0.0001453126813677947,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.48390063538568,-0.19396413087282127
200.0,5.0321809147,0.99,0.01,0.02775904617731876,0.00031528397074071646,0.9962102368958787,0.0037897631041212874,0.49364969925314467,0.5063503007468554,0.02765384596831036,0.0001052002090084017,0.00015563983733549194,0.00015964413340522452,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.442013148604826,-0.21186344506880772
200.0,5.2676850606,0.99,0.01,0.027757599433981314,0.0003301827567270652,0.9958724329247547,0.004127567075245284,0.4730404277093313,0.5269595722906687,0.027643028080469763,0.00011457135351154841,0.00015618979246441702,0.0001739929642626482,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.40014589191627,-0.22957244564121382
200.0,5.5031892066,0.99,0.01,0.027756152363407876,0.00034510230619052976,0.9955346603491215,0.004465339650878458,0.45419313387837257,0.5458068661216274,0.027632211715703726,0.00012394064770414903,0.0001567430979573304,0.00018835920823319935,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.358299083445598,-0.2470921458206412
200.0,5.7386933526,0.99,0.01,0.027754704958101898,0.0003600425975071229,0.9951969180510074,0.004803081948992539,0.43689189665186884,0.5631081033481312,0.027621396835718022,0.00013330812238387295,0.00015729969330035236,0.00020274290420677058,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.31647291981919,-0.2644235240617654
200.0,5.9741974985,0.99,0.01,0.027753257212191493,0.0003750036190973429,0.9948592051492969,0.005140794850703082,0.42095467132772846,0.5790453286722715,0.02761058341042482,0.0001426738017666722,0.00015785952522383065,0.00021714409387351224,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.274667579694007,-0.2815675364692716
200.0,6.2097016445,0.99,0.01,0.027751809121132846,0.0003899853676052754,0.9945215209563826,0.005478479043617501,0.406226900401906,0.593773099598094,0.02759977141644025,0.0001520377046925993,0.0001584225470843889,0.0002315628205208865,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.23288322665217,-0.29852512059606084
200.0,6.4452057904,0.99,0.01,0.02775036068147872,0.000404987846473586,0.9941838649442366,0.005816135055763337,0.39257651710899505,0.6074234828910049,0.02758896083590909,0.00016139984556962493,0.0001589887182400728,0.00024599912823351316,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.191120011553856,-0.3152972086698256
200.0,6.6807099364,0.99,0.01,0.027748911890693964,0.00042001106480304723,0.993846236717438,0.006153763282561954,0.37989000008457696,0.6201099999154229,0.027578151655569965,0.00017076023512399934,0.00015955800344355286,0.0002604530613594943,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.149378074489427,-0.33188472937526825
200.0,6.9162140823,0.99,0.01,0.027747462747007717,0.000435055036439101,0.9935086359915623,0.006491364008437809,0.368069230019137,0.631930769980863,0.027567343866006323,0.0001801188810013948,0.00016013037227808748,0.00027492466416101347,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,3.87,19.10765754639003,-0.348288598337124
