T,P,z_carbon dioxide,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_carbon monoxide,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_carbon monoxide,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.3837861487,0.95,0.001897,0.034035,0.014068,0.027852698591580027,0.00014892753911717213,0.9467367015949734,6.759611084513632e-06,0.0001458248631652048,0.05311071393077687,0.9501821443397671,0.0020025057015656184,0.03592655898861271,0.011888790970054491,0.026369171995111435,1.8827341013326156e-07,4.06161596089885e-06,0.0014792767070975585,0.00014150828846959916,2.982282462022739e-07,5.350454019122012e-06,1.7705683822486731e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,20.539250419575087,-0.07787460874678942
200.0,3.1087836182,0.95,0.001897,0.034035,0.014068,0.027793139272607115,0.0001944047812773182,0.9826795219718968,5.611493647892814e-05,0.0012031353415681658,0.01606122775005615,0.7655776423614026,0.012285779978121875,0.2193170824976071,0.0028194951628683286,0.027311748814503913,1.5596102448323513e-06,3.343890811199976e-05,0.0004463919397463728,0.0001488319541140734,2.3884143694680384e-06,4.2636289453326857e-05,5.481233404498741e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.964105717578306,-0.09746184972948413
200.0,3.8337810877,0.95,0.001897,0.034035,0.014068,0.027785845058468685,0.0002399350909568423,0.9822647352870871,0.00011112454400991971,0.0023683913465354063,0.01525574882236746,0.6277169045260343,0.01973559266056985,0.35034358177490343,0.002203921038492421,0.02729305574108476,3.0876893620526137e-06,6.580775499265081e-05,0.00042389387302921836,0.00015061131258260155,4.735261220101016e-06,8.405971915930737e-05,5.287979948323773e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.81602074737068,-0.1677803116794898
200.0,4.5587785572,0.95,0.001897,0.034035,0.014068,0.027779333853989733,0.00028569092229455,0.9813122777113716,0.00016684306157798624,0.0035346448965606564,0.014986234330489838,0.5332482712622936,0.024924577288414664,0.43998041967338436,0.0018467317759073567,0.02726020137756328,4.634789108796647e-06,9.819008063685947e-05,0.0004163076066807995,0.00015234419042889903,7.120725473328979e-06,0.00012569841188803235,5.275945042896249e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.674409528342164,-0.2365443335018682
200.0,5.2837760267,0.95,0.001897,0.034035,0.014068,0.02777300271576833,0.000331671847360688,0.9802315262622189,0.00022322807743557112,0.004700761345492384,0.014844484314853119,0.46459063419855434,0.02877174527025857,0.5050371603953143,0.0016004601358728255,0.02722397284096234,6.19971400085386e-06,0.0001305542576145388,0.0004122759031905961,0.00015409163391110815,9.542777905577798e-06,0.00016750660797410999,5.308275698920778e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.534482921487154,-0.3031929406014662
200.0,6.0087734961,0.95,0.001897,0.034035,0.014068,0.02776673662600518,0.00037787779870665093,0.9791003469073225,0.00028028039740957215,0.005866543806182077,0.014752828889085861,0.41247175629710275,0.03176030201863692,0.5543497864149669,0.0014181552692933848,0.027186421463005928,7.782471976303654e-06,0.0001628947767711797,0.0004096379142517677,0.0001558639192982154,1.2001513013060922e-05,0.0002094764770039898,5.35889391384822e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.395334312262502,-0.3676532345865233
200.0,6.7337709656,0.95,0.001897,0.034035,0.014068,0.02776049801447821,0.00042430943375769696,0.9779441310909752,0.00033800683511204464,0.0070319267334712325,0.014685935340441573,0.3715774179026873,0.034166990753005895,0.5929783900284294,0.001277201315877368,0.027148216109421634,9.383238075007979e-06,0.00019520978812248438,0.0004076888788590836,0.00015766380378743637,1.44973764996124e-05,0.0002516063249035137,5.419285671345115e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.25667066668138,-0.42992777998391674
200.0,7.4587684351,0.95,0.001897,0.034035,0.014068,0.027754270993638152,0.00047096786819605946,0.976773625991983,0.00039641558083415487,0.008196874395856703,0.014633084031326135,0.33864782083221795,0.036161524161088913,0.6240258513861299,0.001164803620563302,0.027109639915220054,1.1002225456571605e-05,0.00022749827328342095,0.0004061305796781046,0.00015949224224659077,1.7030915944868344e-05,0.0002938961249265566,5.485850780437501e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,19.11836980652609,-0.49004075641594724
200.0,8.1837659046,0.95,0.001897,0.034035,0.014068,0.027748047718349156,0.0005178545018176967,0.9755941649688006,0.00045551524005654987,0.009361359327538935,0.014588960463603801,0.31157338861004763,0.037853720283032466,0.6494998461621893,0.001073044944730699,0.027070833443297276,1.2639658617524417e-05,0.00025975944532916333,0.00040481517110518747,0.00016134968193830783,1.9602719459116218e-05,0.0003363464192649911,5.55681155281514e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,18.980372538553127,-0.5480243189220424
200.0,8.908763374,0.95,0.001897,0.034035,0.014068,0.02774182389647543,0.0005649709183081716,0.9744086990142554,0.0005153145688653461,0.01052535622516476,0.014550630191714412,0.2889289153198319,0.039317768969026994,0.670756592641948,0.000996723069193167,0.027031874531247207,1.4295766020750593e-05,0.00029199257884619215,0.00040366102036127976,0.00016323643461402937,2.2213396040259715e-05,0.00037895796810618156,5.631195477010028e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,63.65845399182276,86.02971371321541,3.87,18.842647309219245,-0.6039143108550604
