T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_carbon monoxide,rhoL6_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_carbon monoxide,rhoV6_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.389076313,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027791573112677007,0.0001494712388957467,0.9890634647166097,5.3161748448802024e-08,1.6473346783821084e-05,2.4050431164846722e-06,1.9706554193807406e-05,0.010897897177548029,0.9903341448017687,5.295164033194547e-05,0.0018439981285055971,0.0006796080136623614,0.004635345726371922,0.0024539516893593316,0.027487629592749294,1.477448618812625e-09,4.5782022155304625e-07,6.683993161092434e-08,5.476761416761302e-07,0.0003028697061842624,0.00014802647154428018,7.914747281977877e-09,2.7562468478916993e-07,1.0158185176559071e-07,6.92850868430916e-07,3.6679519919884986e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.03736124220632,-0.012448200486470995,-0.013222436085950307
200.0,2.4839014733,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027782455537653305,0.00015540946368606382,0.9945683702255809,3.116447721405743e-07,9.18588418692957e-05,1.3891551329590617e-05,0.0001132854201193345,0.0052122823163285445,0.9594817702932313,0.0002973863788320869,0.009844840593057402,0.0037542317398351933,0.02548906512008224,0.0011327058749614545,0.027631551524948512,8.6582570255376e-09,2.5520641899740334e-06,3.8594140716337995e-07,3.147347147529786e-06,0.00014481000170309436,0.00014911254733782615,4.621665764183523e-08,1.5299813966418414e-06,5.834431412409856e-07,3.961241940171137e-06,1.760332125418133e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.959004010721824,-0.020436877492024053,-0.024815794792171886
200.0,2.5787266335,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027781410356974214,0.00016132375747578004,0.9946354328932138,6.204180926964502e-07,0.00017259192947843092,2.7116652808619464e-05,0.000219965009670888,0.0049442730967356,0.9258306625513275,0.0005701749425506064,0.017823452803337966,0.007059564114811661,0.04767892917135105,0.001037216416621233,0.02763237511679306,1.723608962609135e-08,4.794847217142244e-06,7.533388591838546e-07,6.110938197842741e-06,0.00013735887981735937,0.0001493584812690711,9.198276415080084e-08,2.8753463774267058e-06,1.1388754091425962e-06,7.691744006343931e-06,1.6732764964490142e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.942592872956915,-0.03489270435295566,-0.043277980963868146
200.0,2.6735517938,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027780627635524344,0.0001672413034772347,0.9945243659123871,9.510365086883283e-07,0.000249540816025372,4.071599744300642e-05,0.0003284931556527621,0.00485593308198315,0.8943800530299264,0.0008429584882334367,0.024867786623372655,0.010226605438430266,0.06869796593031015,0.0009846304897268862,0.027628511083867987,2.642039111565956e-08,6.932400489865745e-06,1.1311159637731226e-06,9.125746038007722e-06,0.000134900868773598,0.0001495772858727632,1.4097747634935917e-07,4.158921049486584e-06,1.710310823670455e-06,1.1489137368419731e-05,1.646708865453524e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.928363782019055,-0.04960288162087778,-0.0619601665190288
200.0,2.7683769541,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027779904994458197,0.00017316273543301872,0.9943711623948611,1.3044279647394366e-06,0.0003226814346371007,5.464950293134187e-05,0.0004384774128083081,0.0048117248267973926,0.8650246784867872,0.0011164953494869436,0.031070014512227573,0.013259542055363772,0.08858506828011958,0.0009442013160149374,0.027623536420558207,3.623688493257602e-08,8.96405959769413e-06,1.518157999427042e-06,1.2180860870030626e-05,0.0001336692585479074,0.0001497900395438396,1.933353888154034e-07,5.380168702880915e-06,2.296058572895942e-06,1.5339632741906247e-05,1.635004826806027e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.9147650244562,-0.06440260493407379,-0.08068852134363169
200.0,2.8632021144,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027779202990194537,0.0001790881245860409,0.994202474149536,1.6823543440300014e-06,0.0003921762264617579,6.890545800125093e-05,0.0005497598716591035,0.004785001939997802,0.8375814393211898,0.0013921360290358792,0.036527750202415415,0.0161687253810218,0.10742023285099014,0.00090971621534693,0.027618152342753596,4.6734462824244983e-08,1.0894343002809675e-05,1.914138704949074e-06,1.5271891070681536e-05,0.0001329235401996736,0.0001500008891561087,2.493150306086938e-07,6.541686279097953e-06,2.895626705433914e-06,1.923768804387965e-05,1.6291937091199264e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.901486880215455,-0.0792551140611586,-0.09942626915804098
200.0,2.9580272746,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027778508896269524,0.0001850174542227565,0.9940270294396375,2.086920505230716e-06,0.00045821119982316093,8.34768592492858e-05,0.0006622233307867327,0.00476697224999814,0.8118758239441664,0.0016713327935813076,0.04132841400875051,0.01896428250349226,0.12528114025186457,0.0008790064981451319,0.027612588680421338,5.797153982035874e-08,1.2728423890658008e-05,2.3188626772889246e-06,1.8395576685576492e-05,0.00013241938105484327,0.0001502111980911525,3.092257386274213e-07,7.646477946963125e-06,3.508723269957301e-06,2.3179197631524088e-05,1.6263154453207244e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.888423545493243,-0.09414497354948637,-0.11815934002655837
200.0,3.0528524349,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.02777781753741006,0.000190950685424031,0.9938484925259433,2.520538818241089e-06,0.0005209725937960646,9.835808680630015e-05,0.0007757641072170569,0.004753892147419148,0.7877507103729163,0.0019555955189375224,0.04554873965600734,0.021655411929308543,0.14223848005831588,0.0008510624645142091,0.0276069420852157,7.001506738906015e-08,1.447148165245833e-05,2.7321729886341453e-06,2.1549033822347222e-05,0.0001320527486635356,0.0001504215380889757,3.7342230475328346e-07,8.697563057515343e-06,4.135115751041204e-06,2.716053526080778e-05,1.6251096093765328e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.875527133006543,-0.10906285466302634,-0.13688007378090106
200.0,3.1476775952,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027777126547781212,0.00019688777253730347,0.9936686455369047,2.985956252576922e-06,0.0005806408984783577,0.00011354407433250139,0.0008902852786101325,0.0047438982554217825,0.7650662160010164,0.002246502758401379,0.04925585015113446,0.024250342006742774,0.1583557718278093,0.0008253172548956112,0.027601259713640955,8.294128469396773e-08,1.6128535715850724e-05,3.1539281214845675e-06,2.47295668475803e-05,0.00013177186217064936,0.0001506321831119836,4.423089241005555e-07,9.697874620688068e-06,4.774595820975387e-06,3.117831518360285e-05,1.624948759529988e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.862771561207516,-0.12400177516200372,-0.15558318929035053
200.0,3.2425027555,0.9899990100009901,3.8999961000039003e-05,0.0013619986380013621,0.0005009994990005011,0.0034179965820034185,0.0046809953190046815,0.027776434802583586,0.00020282866764545623,0.9934884417521482,3.486302442345694e-06,0.0006373888119489916,0.0001290300176208158,0.0010056943417308098,0.004735958774108729,0.7436979947035336,0.0025457262085569654,0.0525084742187227,0.02675640939291028,0.17368998736853897,0.0008014081077375395,0.027595566929448905,9.68370524919031e-08,1.7704388778997374e-05,3.5839938720208016e-06,2.7934603314413053e-05,0.0001315480501167548,0.00015084327339631528,5.163462550717281e-07,1.0650223865879313e-05,5.426966868140362e-06,3.522930872131688e-05,1.6254853873267138e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.850140611323468,-0.13895583389448163,-0.17426442703707323
