index,split
92,train
122,train
127,train
168,train
60,train
39,train
131,train
102,train
118,train
29,train
130,train
165,train
166,train
101,train
34,train
151,train
153,train
95,train
158,train
52,train
37,train
112,train
91,train
80,train
141,train
159,train
99,train
69,train
164,train
133,train
49,train
170,train
3,train
48,train
108,train
50,train
74,train
51,train
116,train
134,train
73,train
25,train
132,train
6,train
136,train
53,train
128,train
107,train
81,train
2,train
57,train
5,train
8,train
121,train
12,train
149,train
106,train
175,train
56,train
72,train
70,train
100,train
113,train
21,train
142,train
17,train
154,train
76,train
45,train
78,train
40,train
31,train
22,train
55,train
135,train
41,train
38,train
15,train
117,train
171,train
103,train
123,train
62,train
19,train
97,train
58,train
71,train
75,train
105,train
155,train
77,train
32,train
65,train
54,train
87,train
90,train
88,train
33,train
152,train
85,train
173,train
24,train
83,train
144,train
43,train
139,train
148,train
104,train
14,train
156,train
42,train
93,train
172,train
4,train
150,train
140,train
35,train
36,train
79,train
66,train
59,train
167,train
27,val
115,val
143,val
63,val
145,val
89,val
157,val
23,val
174,val
61,val
1,val
11,val
129,val
67,val
125,val
119,val
160,val
13,val
124,val
114,val
163,val
44,val
169,val
20,val
9,val
86,val
98,test
10,test
146,test
47,test
138,test
46,test
26,test
109,test
126,test
162,test
7,test
137,test
120,test
94,test
96,test
161,test
30,test
84,test
64,test
16,test
111,test
110,test
147,test
82,test
68,test
18,test
28,test
