feature,importance_mean,importance_std
temperature,25.971682348467272,0.23866164730071707
z_argon,0.5938673537188764,0.015456989963725147
pressure,0.5031715927388516,0.024026730709386247
z_methane,0.4641277109642026,0.016292909246008257
z_nitrogen,0.44196329159153097,0.012396951745493172
z_hydrogen,0.41302750681764244,0.011320732359247718
z_carbon monoxide,0.33961549106937206,0.03193249512570518
z_oxygen,0.3102103705691214,0.008399939919001828
z_hydrogen sulfide,0.3020004278219477,0.022158882562379873
z_carbon dioxide,0.2381237368343378,0.014424769532449443
