Complexity,Loss,Equation
1,817.65607,"82.765144"
3,691.76587,"3016.3743 * z_hydrogen"
4,358.4498,"sqrt(z_hydrogen * 297378.88)"
5,340.85675,"(Tc - 304.62064) * 58.002426"
6,283.24057,"(793.39874 - temperature) * sqrt(z_hydrogen)"
7,207.40186,"15069.99 * ((Tc - 304.70355) / temperature)"
9,115.33716,"((Tc - 305.76492) * (Tc - temperature)) + 66.2706"
11,41.58007,"(((Tc - 305.72537) / (temperature - 183.1907)) * 3017.818) + 63.736496"
13,41.017056,"64.55583 + ((-3.736251 + (3211.901 / (temperature - 182.5531))) * (Tc - 305.7344))"
14,19.080376,"(((Tc - 305.43106) * 3138.296) / (temperature - 181.30878)) + (square(temperature) * 0.0007498289)"
16,19.041447,"(((Tc - 305.43106) * 3138.296) / (temperature - 181.30878)) + (0.0007498289 * (square(temperature) - temperature))"
17,18.426807,"(((exp(z_hydrogen) * (Tc - 305.43106)) / (temperature - 181.30878)) * 3021.1848) + (square(temperature) * 0.0007498289)"
18,2.7987583,"((square(Pc) * (((((-4348.058 / Pc) + 62.88518) / temperature) + -0.129331) / temperature)) + 2.4642155) * Tc"
20,2.5366366,"Pc + ((((square(Pc) * ((((-4349.1855 / Pc) - -63.727016) / temperature) + -0.13602497)) / temperature) + 2.2744102) * 298.27277)"
