S_size,pool_idx,sigma2
3,936,0.9665441444150931
4,310,0.9443714476854561
5,203,0.9108462793130007
6,567,0.8739288259679434
7,152,0.8567756916936373
8,790,0.8316093282924202
9,770,0.7627802313939879
10,713,0.7155653364084325
11,22,0.6481664319598642
12,44,0.6239331750080386
13,835,0.5611049701379699
14,710,0.5005196368276484
15,511,0.48846600453346534
16,168,0.415063204146068
17,879,0.31272566681028713
18,797,0.29239757964572877
19,728,0.2705692778153107
20,305,0.26769234356801275
21,881,0.25682114564897096
22,98,0.25253985094286235
23,609,0.23690560533876348
24,16,0.2345995426187577
25,246,0.23167805027826938
26,860,0.2248994868888835
27,536,0.22050449388069482
28,453,0.21672315502359107
29,756,0.211769229157602
30,282,0.2096092227743327
31,5,0.18865023470779507
32,375,0.18799848942456476
33,258,0.18446987855189756
34,288,0.17630675096804238
35,883,0.17274365389185586
36,810,0.15578665515278867
37,833,0.155689136173639
38,381,0.15168105386984554
39,712,0.14255265949738827
40,290,0.13650929621034047
41,846,0.13237859097447724
42,746,0.12072584109979168
43,787,0.11915744027897368
44,975,0.11207066588790227
45,267,0.10840373720678109
46,771,0.10344197954191658
47,821,0.0991151370084048
48,784,0.09829403175706208
49,927,0.09431620812766883
50,743,0.09260493498746403
51,394,0.08851265070546543
52,583,0.0738313846426204
53,162,0.06787985603963587
54,245,0.06139089471593395
55,804,0.059031666537709304
56,942,0.05402771739234724
57,698,0.04859320999845229
58,495,0.04633688718276163
59,656,0.038082467237330664
60,920,0.03782342858100374
61,211,0.03471874438291633
62,337,0.03449895440536388
63,828,0.03290954188477524
64,54,0.03285384156916138
65,723,0.0322871697247169
66,383,0.0316506121034098
67,718,0.02949249702284229
68,189,0.026039371803850964
69,741,0.023645030085613805
70,355,0.023436833522481604
71,517,0.02315175452282392
72,544,0.0229388944063299
73,154,0.021483794111988086
74,80,0.020786367816747364
75,849,0.02044583130668387
76,814,0.020093098715265212
77,748,0.019023809011094128
78,807,0.01825564003284419
79,316,0.01819586525097039
80,334,0.01761825219027302
81,42,0.017494818864621564
82,458,0.01745007771463336
83,33,0.017101001385173342
84,688,0.016778437261079526
85,557,0.01643904492221593
86,764,0.01633264076411267
87,592,0.015759307699258818
88,751,0.015661600769882655
89,122,0.015198480263540426
90,562,0.014904579248595895
91,585,0.014744327208166541
92,471,0.014572859689699125
93,468,0.014345845376453892
94,776,0.014126395810760917
95,43,0.013961310077197142
96,385,0.013905585298737533
97,510,0.013858437713134442
98,811,0.013689487011128154
99,462,0.013657216393165084
100,854,0.013384970063953117
