T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_methane,rhoL6_oxygen,rhoL7_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_methane,rhoV6_oxygen,rhoV7_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_nitrogen,parachor_methane,parachor_oxygen,parachor_carbon monoxide,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.7357864775171485,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.027763463300419185,0.00017168188077005246,0.9997257009731033,6.662260747139722e-06,3.179409938568092e-05,4.212343991277338e-05,0.00018170852873097322,4.434466716533527e-07,1.1567251448249781e-05,0.9607947962196492,0.009772344081390305,0.005219847280471439,0.010335016677874247,0.012916455232542007,4.963185080693252e-05,0.0009119086572659348,0.0277558478094526,1.8496743175103698e-07,8.827143114642324e-07,1.1694925781056965e-06,5.04485806879554e-06,1.2311615394140894e-08,3.2114696107020344e-07,0.00016495105764906867,1.6777344114251782e-06,8.961531984437802e-07,1.77433510104731e-06,2.217521327204997e-06,8.52088949263282e-09,1.5655819336990885e-07,22.539601099191245,0.027764894130714313,0.00016472655891499764,302.7106577576344,75.51221489748221,2.6239816647333654,81.03764078270277,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,22.51570812053722,-0.011824585342989025
200.0,42.73429161376007,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.02779279234972468,0.0026009035009017046,0.9701320396083952,0.0073645215936932185,0.003986603365757632,0.007881890880161975,0.009898483120423745,3.7959911125658434e-05,0.0006985015204425724,0.08596482619900296,0.6717288875392433,0.047163849927039314,0.13684117733929885,0.05392675980053523,0.0003086471238210807,0.0040658520710593294,0.026962678328651006,0.0002046806194085791,0.00011079883952521537,0.00021905975655553048,0.00027510648594319194,1.0550119275294284e-06,1.9413307713627384e-05,0.00022358621741539337,0.0017471020152576254,0.00012266862239123914,0.00035591069720929336,0.00014025829835749738,8.027613848894908e-07,1.0574888885766656e-05,22.539601099191245,0.027764894130714313,0.00016472655891499764,302.7106577576344,75.51221489748221,2.6239816647333654,81.03764078270277,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,18.281881856344423,0.12628606385966634
209.5,4.71574067534005,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.027075371570429937,0.00028739153495890954,0.9985698293112155,4.177281023864848e-05,0.0001866264369143381,0.00024331845264475205,0.0009059366203417251,2.1043663991051603e-06,5.041200224579842e-05,0.8843065211418623,0.029723560693953623,0.015410520642042918,0.030870825130509396,0.036898409151293256,0.0001456718130913976,0.0026444914272470777,0.02703664916762196,1.1310143587524677e-06,5.052980124321106e-06,6.587937515298722e-06,2.4528570615011723e-05,5.697650217609988e-08,1.3649236924143406e-06,0.0002541422084851332,8.542299732279643e-06,4.428853181832674e-06,8.872013819705174e-06,1.0604290443532044e-05,4.1864845964584125e-08,7.600044504622152e-07,19.92948109896847,0.027082975568901334,0.0002525421916724062,302.7106577576344,75.51221489748221,4.138230455628559,80.75313475021731,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,19.81856210077021,-0.039904099689263006
219.0,6.695694873162951,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.026362062945928716,0.00039957060540548385,0.9988539362524725,3.7289470425547415e-05,0.00015658946450783037,0.00020340843320606233,0.0007124056770308252,1.5466214888713737e-06,3.4824080868224915e-05,0.9381240218628422,0.01566698986379681,0.008231500163388677,0.01640536675563419,0.020061059916483624,7.827401390445703e-05,0.0014327874239501107,0.02633185034127635,9.830273665786282e-07,4.128021320024695e-06,5.362265919910952e-06,1.8780483300923577e-05,4.077213304315314e-08,9.180346118822571e-07,0.00037484678336116323,6.2600686247588705e-06,3.2890655036805527e-06,6.555102326447752e-06,8.015809855905046e-06,3.127599512332116e-08,5.724997384051094e-07,17.38503539725471,0.026368503567702675,0.00037316960484161507,302.7106577576344,75.51221489748221,6.247354444905967,80.4569203043427,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,17.306549401304096,-0.020778513124291464
228.5,10.038119802967769,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.02559608751015858,0.0005903339819143521,0.9975701423437173,9.512503871424755e-05,0.00034442065683453496,0.00046494454340350797,0.001456290027676848,3.145420283408284e-06,6.593196937009074e-05,0.9146105396972039,0.022266142386153535,0.011323532399045981,0.02284112812018199,0.02687970264164446,0.00010802797534235271,0.001970926780427759,0.02553389266095114,2.434828815337103e-06,8.815821272643053e-06,1.1900761220326913e-05,3.727532698858786e-05,8.051045283034624e-08,1.6876004577139374e-06,0.000539925681800285,1.3144460496689949e-05,6.68466597046499e-06,1.3483894114602914e-05,1.5868001893115704e-05,6.377258484199653e-08,1.1635050543515528e-06,14.909733329935271,0.025610517518041023,0.0005352335118812639,302.7106577576344,75.51221489748221,9.086827945090384,80.16343705423049,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,14.761333517680072,-0.026656502763259482
238.0,13.846285156152186,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.024777508319931207,0.0008098027321682038,0.9973012698825905,0.00012113449021065208,0.0003811989436485083,0.0005369403072056864,0.0015896266428415996,3.3663845240892725e-06,6.646334897906791e-05,0.9342253414564085,0.01708415160556567,0.008726087379685245,0.017551236944472682,0.02080188884344524,8.33856464830706e-05,0.0015279081239396527,0.024710640511993842,3.001410839025057e-06,9.445159997799903e-06,1.3304042929095313e-05,3.938698736859205e-05,8.341062055370961e-08,1.6467961822993465e-06,0.0007565382339721726,1.3834792646962884e-05,7.066409401207594e-06,1.4213039630565495e-05,1.684542641968123e-05,6.752592434560254e-08,1.2373041732683252e-06,12.509480667762421,0.024794979672583532,0.0007497882243950186,302.7106577576344,75.51221489748221,12.802443088949174,79.89068088682421,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,12.363494170905005,-0.016817028584199534
247.5,18.976418913711786,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.023876459912463618,0.001114062848107817,0.9963195030986021,0.00019626029224539135,0.0005127564054597916,0.0007688099930389424,0.0021133876500886964,4.542710825012658e-06,8.473984974038337e-05,0.9369496138027019,0.01658873830266528,0.008363570629350331,0.016857769003853544,0.01968988969122131,8.001643890663936e-05,0.0014704021313008957,0.023788582675739443,4.686001000205481e-06,1.2242807759819655e-05,1.835646097909574e-05,5.046021550683845e-05,1.0846385290732927e-07,2.023287625314454e-06,0.0010438207552865572,1.8480897039982516e-05,9.317543315684917e-06,1.8780614149176755e-05,2.193577458833076e-05,8.914334182377578e-08,1.63812038626088e-06,10.193194320757563,0.023902814391501125,0.0010317758786711655,302.7106577576344,75.51221489748221,17.550381245525255,79.66350545552672,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,10.017122388832565,-0.0104395349063644
257.0,25.47975065162693,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.022865155434183142,0.0015191877275796163,0.9949232001805327,0.00032820975814927214,0.0006915945104810502,0.0011142684458911776,0.002824343711988228,6.3090199037596775e-06,0.00011207437305382759,0.937866510276631,0.01666254008252738,0.008249806425423604,0.016651757898448805,0.019034745926296236,7.886210119826895e-05,0.001455777289474548,0.02274907361720279,7.504567135098765e-06,1.5813415979577016e-05,2.5477921210707465e-05,6.457905797416862e-05,1.442567207368202e-07,2.5625979600643945e-06,0.00142479529252018,2.5313526403679045e-05,1.2533004676411004e-05,2.529714624195037e-05,2.891735240882534e-05,1.1980633631155196e-07,2.211598992258852e-06,7.973904647268468,0.022906312563984736,0.0014027681044743027,302.7106577576344,75.51221489748221,23.498474376626536,79.5206426394926,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,7.7610061694934,-0.0024362771716353038
266.5,32.892837552491315,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.021710397373882643,0.0020230999268924846,0.9946377410828237,0.0004007524510530588,0.0006990226990875602,0.0012025149966641091,0.002939893277152441,6.663690820471846e-06,0.00011341180239865054,0.9528381239698324,0.012382824065601157,0.006287707856148458,0.012567414954755258,0.014757156473879204,5.9830045675731516e-05,0.00110694263410791,0.0215939806019691,8.70049496091936e-06,1.5176060570554923e-05,2.610707842563097e-05,6.382625128378559e-05,1.4467137568913785e-07,2.46221529696296e-06,0.00192768673894374,2.50516904618402e-05,1.2720661304095247e-05,2.542513627619288e-05,2.9855202183445975e-05,1.2104216103254645e-07,2.239455562137887e-06,5.870877798953019,0.02176180972793703,0.0018966309578212215,302.7106577576344,75.51221489748221,30.829149726346433,79.53143141028617,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,5.677939595520242,0.005368320716982566
266.5,48.95587386759556,0.9700009700009701,0.007463007463007464,0.003993003993003994,0.007901007901007904,0.009905009905009908,3.800003800003801e-05,0.0006990006990006991,0.021566748022150802,0.002926135289358157,0.970106841974383,0.0074008830416498516,0.003983840974768753,0.007879548565016634,0.009893732503485533,3.791314627839623e-05,0.000697239794417739,0.725702207756615,0.1508146306881012,0.025136597912400176,0.05741826022232879,0.035927526959524184,0.0002385020156437402,0.004762274445386991,0.020922049815425985,0.00015961297970067134,8.591849446315734e-05,0.0001699362384300137,0.00021337563590123574,8.176632725131159e-07,1.5037194957223605e-05,0.002123502839681756,0.00044130401300797057,7.355308620588074e-05,0.00016801359749010604,0.00010512880449563028,6.978891645581995e-07,1.3935059312255419e-05,5.870877798953019,0.02176180972793703,0.0018966309578212215,302.7106577576344,75.51221489748221,30.829149726346433,79.53143141028617,32.246979826044466,56.55314388120362,61.076460800152155,75.52931842622704,55.44611640436787,63.65845255974809,4.741655511117062,0.08740133817595286
